,State,Organization Name,Capacity (kW),Prime Mover,Fuel Class - Primary Fuel,FIPS County,NAICS_2012
0,2,Golden Valley Electric Association,50000,Boiler/Steam Turbine,COAL - Coal,2068,339999
1,2,Unisea,17500,Reciprocating Engine,OIL - Distillate Fuel Oil,2016,311710
2,2,Arctic Slope Regional Corp. / Petro Star Inc. / Copper Valley Electric,5200,Combustion Turbine,OIL - Oil,2261,32411
3,2,Alaska Village Electric Cooperative,705,Reciprocating Engine,OIL - Oil,2282,311710
4,2,Westward Seafoods Inc.,6600,Reciprocating Engine,OIL - Distillate Fuel Oil,2016,311710
5,2,Alyeska Seafoods Inc.,5900,Reciprocating Engine,OIL - Distillate Fuel Oil,2016,311710
6,2,Andeavor,18400,Combustion Turbine,NG - Natural Gas,2180,32411
7,2,"Agrium, Inc.",12500,Combustion Turbine,NG - Natural Gas,2122,32512
8,1,Georgia-Pacific,101400,Boiler/Steam Turbine,WASTE - Black Liquor,1053,32213
9,1,Industrial Facility,750,Backpressure Steam Turbine,WASTE - Waste,1103,335991
10,1,Westervelt Renewable Energy,10000,Boiler/Steam Turbine,BIOMASS - Biomass,1065,322121
11,1,Westervelt Renewable Energy,8200,Boiler/Steam Turbine,WOOD - Wood Waste,1065,321113
12,1,Resolute Forest Products,30300,Boiler/Steam Turbine,WASTE - Black Liquor,1121,322299
13,1,WestRock,29700,Boiler/Steam Turbine,BIOMASS - Biomass,1091,32213
14,1,Boise White Paper,17300,Boiler/Steam Turbine,NG - Natural Gas,NaN,322121
15,1,Calpine - Morgan Energy Center,809000,Combined Cycle,NG - Natural Gas,1103,32411
16,1,Capital Power - Decatur Energy Center,805000,Combined Cycle,NG - Natural Gas,1103,325220
17,1,WestRock,31500,Boiler/Steam Turbine,WASTE - Black Liquor,1091,32211
18,1,LS Power,245000,Combined Cycle,NG - Natural Gas,1097,322121
19,1,Alabama Power Co.,273870,Combined Cycle,NG - Natural Gas,1097,325998
20,1,Alabama Power Co.,97000,Boiler/Steam Turbine,NG - Natural Gas,1085,325211
21,1,American Midstream,40000,Combustion Turbine,NG - Natural Gas,1097,32411
22,1,WestRock,112500,Boiler/Steam Turbine,WOOD - Wood Waste,1113,322121
23,1,Alabama Byproducts Company (ABC),3800,Boiler/Steam Turbine,WASTE - Waste Gas,1073,324199
24,1,"Boise, Inc.",18000,Boiler/Steam Turbine,NG - Natural Gas,NaN,322121
25,1,General Electric,760,Backpressure Steam Turbine,WASTE - Steam,1085,325
26,1,Scotch Lumber Company,2500,Boiler/Steam Turbine,WOOD - Wood,1025,321113
27,1,International Paper Company,80000,Combined Cycle,NG - Natural Gas,1047,322121
28,1,Naheola Cogeneration LP / Georgia Pacific,78300,Boiler/Steam Turbine,WASTE - Black Liquor,1023,322121
29,1,Georgia Pacific,69000,Boiler/Steam Turbine,WASTE - Black Liquor,1099,322121
30,1,Mobile Energy Services,43600,Boiler/Steam Turbine,NG - Natural Gas,1097,322121
31,1,International Paper Company,72900,Boiler/Steam Turbine,WOOD - Wood Waste,1111,322121
32,1,International Paper Company,85500,Boiler/Steam Turbine,WASTE - Black Liquor,1001,322121
33,1,Georgia-Pacific,48000,Boiler/Steam Turbine,WASTE - Black Liquor,1099,322121
34,1,Seminole Coal Resources,25000,Boiler/Steam Turbine,NG - Natural Gas,1073,325180
35,1,Alabama Power Co / Goodyear Tire & Rubber Co,130000,Boiler/Steam Turbine,COAL - Coal,1055,325212
36,1,M.C. Dixon Lumber Company Inc.,1960,Boiler/Steam Turbine,WOOD - Wood Waste,1005,321113
37,5,Calpine / Evergreen Packaging,216000,Combined Cycle,NG - Natural Gas,5069,322121
38,5,Quincy Soybean / Archer Daniels Midland Company,5200,Combustion Turbine,NG - Natural Gas,5107,311224
39,5,Caddo River Forest Products,9500,Boiler/Steam Turbine,WOOD - Wood Waste,5109,321113
40,5,Martin Resource Management / Cross Oil Refining & Marketing,3500,Reciprocating Engine,NG - Natural Gas,NaN,32411
41,5,Riceland Foods Inc.,18000,Boiler/Steam Turbine,NG - Natural Gas,5001,311224
42,5,West Fraser,7500,Boiler/Steam Turbine,WOOD - Wood,5053,321113
43,5,Domtar Corporation,156500,Boiler/Steam Turbine,WASTE - Black Liquor,5081,322121
44,5,Potlatch Corporation,15000,Boiler/Steam Turbine,WOOD - Wood Waste,5011,321113
45,5,Georgia-Pacific Corporation / Koch Industries,92000,Boiler/Steam Turbine,WASTE - Black Liquor,5003,32211
46,5,Clearwater Paper Corporation,20000,Boiler/Steam Turbine,WASTE - Black Liquor,5041,322121
47,5,Evergreen Packaging,85000,Boiler/Steam Turbine,WASTE - Black Liquor,5069,322299
48,4,Horizon Power Systems,70,Microturbine,NG - Natural Gas,0,339999
49,4,Yuma Cogeneration Associates,56500,Combined Cycle,NG - Natural Gas,4027,313110
50,6,California Ammonia Company,560,Reciprocating Engine,NG - Natural Gas,NaN,325130
51,6,Pacific Ethanol,3500,Combustion Turbine,WASTE - Waste Gas,NaN,325199
52,6,Sierra Nevada Brewing Co.,2000,Fuel Cell,NG - Natural Gas,6007,31212
53,6,Bear Republic Brewing Company / Cambrian Innovation,95,Microturbine,BIOMASS - Digester Gas,6097,31212
54,6,Golden Road Brewing,200,Microturbine,NG - Natural Gas,6037,31212
55,6,Cakebread Cellars,130,Microturbine,NG - Natural Gas,6055,31213
56,6,Brewery,95,Microturbine,NG - Natural Gas,6097,31212
57,6,Pixley Biogas / GFP Ethanol,5000,Combustion Turbine,NG - Natural Gas,NaN,325193
58,6,Vegetable Processing Plant,633,Reciprocating Engine,NG - Natural Gas,6083,311999
59,6,Techni-Cast Corp.,2487,Reciprocating Engine,NG - Natural Gas,6037,331314
61,6,Sierra Pacific Industries Inc.,30200,Boiler/Steam Turbine,WOOD - Wood Waste,6089,321113
62,6,Capstone Turbine Corporation Breitburn,850,Microturbine,NG - Natural Gas,6037,339999
63,6,Twisted Manzanita Brewery,30,Reciprocating Engine,NG - Natural Gas,6073,31212
64,6,CA SGIP Site,5534,Reciprocating Engine,NG - Natural Gas,NaN,311514
65,6,Pharmaceutical Manufacturer,2000,Microturbine,NG - Natural Gas,6067,325412
66,6,CP-Kelco / Monsanto Life Sicences,26950,Combustion Turbine,NG - Natural Gas,6073,325180
67,6,Southland Energy Great Western Malting Company,750,Reciprocating Engine,NG - Natural Gas,6001,311213
68,6,Stockton Biomass,45000,Boiler/Steam Turbine,BIOMASS - Biomass,NaN,321113
71,6,Chevron USA. Inc.,171600,Combined Cycle,NG - Natural Gas,6037,32411
72,6,Elk Grove Milling,1000,Reciprocating Engine,NG - Natural Gas,6067,311119
73,6,Frito Lay Inc. / International Power,2000,Combustion Turbine,NG - Natural Gas,6029,311919
