,State,Organization Name,Capacity (kW),Prime Mover,Fuel Class - Primary Fuel,FIPS County,NAICS_2012
0,2,Golden Valley Electric Association,50000,Boiler/Steam Turbine,COAL - Coal,2068.0,339999
1,2,Unisea,17500,Reciprocating Engine,OIL - Distillate Fuel Oil,2016.0,311710
2,2,Arctic Slope Regional Corp. / Petro Star Inc. / Copper Valley Electric,5200,Combustion Turbine,OIL - Oil,2261.0,32411
3,2,Alaska Village Electric Cooperative,705,Reciprocating Engine,OIL - Oil,2282.0,311710
4,2,Westward Seafoods Inc.,6600,Reciprocating Engine,OIL - Distillate Fuel Oil,2016.0,311710
5,2,Alyeska Seafoods Inc.,5900,Reciprocating Engine,OIL - Distillate Fuel Oil,2016.0,311710
6,2,Andeavor,18400,Combustion Turbine,NG - Natural Gas,2180.0,32411
7,2,"Agrium, Inc.",12500,Combustion Turbine,NG - Natural Gas,2122.0,32512
8,1,Georgia-Pacific,101400,Boiler/Steam Turbine,WASTE - Black Liquor,1053.0,32213
9,1,Industrial Facility,750,Backpressure Steam Turbine,WASTE - Waste,1103.0,335991
10,1,Westervelt Renewable Energy,10000,Boiler/Steam Turbine,BIOMASS - Biomass,1065.0,322121
11,1,Westervelt Renewable Energy,8200,Boiler/Steam Turbine,WOOD - Wood Waste,1065.0,321113
12,1,Resolute Forest Products,30300,Boiler/Steam Turbine,WASTE - Black Liquor,1121.0,322299
13,1,WestRock,29700,Boiler/Steam Turbine,BIOMASS - Biomass,1091.0,32213
14,1,Calpine - Morgan Energy Center,809000,Combined Cycle,NG - Natural Gas,1103.0,32411
15,1,Capital Power - Decatur Energy Center,805000,Combined Cycle,NG - Natural Gas,1103.0,325220
16,1,WestRock,31500,Boiler/Steam Turbine,WASTE - Black Liquor,1091.0,32211
17,1,LS Power,245000,Combined Cycle,NG - Natural Gas,1097.0,322121
18,1,Alabama Power Co.,273870,Combined Cycle,NG - Natural Gas,1097.0,325998
19,1,Alabama Power Co.,97000,Boiler/Steam Turbine,NG - Natural Gas,1085.0,325211
20,1,American Midstream,40000,Combustion Turbine,NG - Natural Gas,1097.0,32411
21,1,WestRock,112500,Boiler/Steam Turbine,WOOD - Wood Waste,1113.0,322121
22,1,Alabama Byproducts Company (ABC),3800,Boiler/Steam Turbine,WASTE - Waste Gas,1073.0,324199
23,1,General Electric,760,Backpressure Steam Turbine,WASTE - Steam,1085.0,325
24,1,Scotch Lumber Company,2500,Boiler/Steam Turbine,WOOD - Wood,1025.0,321113
25,1,International Paper Company,80000,Combined Cycle,NG - Natural Gas,1047.0,322121
26,1,Naheola Cogeneration LP / Georgia Pacific,78300,Boiler/Steam Turbine,WASTE - Black Liquor,1023.0,322121
27,1,Georgia Pacific,69000,Boiler/Steam Turbine,WASTE - Black Liquor,1099.0,322121
28,1,Mobile Energy Services,43600,Boiler/Steam Turbine,NG - Natural Gas,1097.0,322121
29,1,International Paper Company,72900,Boiler/Steam Turbine,WOOD - Wood Waste,1111.0,322121
30,1,International Paper Company,85500,Boiler/Steam Turbine,WASTE - Black Liquor,1001.0,322121
31,1,Georgia-Pacific,48000,Boiler/Steam Turbine,WASTE - Black Liquor,1099.0,322121
32,1,Seminole Coal Resources,25000,Boiler/Steam Turbine,NG - Natural Gas,1073.0,325180
33,1,Alabama Power Co / Goodyear Tire & Rubber Co,130000,Boiler/Steam Turbine,COAL - Coal,1055.0,325212
34,1,M.C. Dixon Lumber Company Inc.,1960,Boiler/Steam Turbine,WOOD - Wood Waste,1005.0,321113
35,5,Calpine / Evergreen Packaging,216000,Combined Cycle,NG - Natural Gas,5069.0,322121
36,5,Quincy Soybean / Archer Daniels Midland Company,5200,Combustion Turbine,NG - Natural Gas,5107.0,311224
37,5,Caddo River Forest Products,9500,Boiler/Steam Turbine,WOOD - Wood Waste,5109.0,321113
38,5,Riceland Foods Inc.,18000,Boiler/Steam Turbine,NG - Natural Gas,5001.0,311224
39,5,West Fraser,7500,Boiler/Steam Turbine,WOOD - Wood,5053.0,321113
40,5,Domtar Corporation,156500,Boiler/Steam Turbine,WASTE - Black Liquor,5081.0,322121
41,5,Potlatch Corporation,15000,Boiler/Steam Turbine,WOOD - Wood Waste,5011.0,321113
42,5,Georgia-Pacific Corporation / Koch Industries,92000,Boiler/Steam Turbine,WASTE - Black Liquor,5003.0,32211
43,5,Clearwater Paper Corporation,20000,Boiler/Steam Turbine,WASTE - Black Liquor,5041.0,322121
44,5,Evergreen Packaging,85000,Boiler/Steam Turbine,WASTE - Black Liquor,5069.0,322299
45,4,Yuma Cogeneration Associates,56500,Combined Cycle,NG - Natural Gas,4027.0,313110
46,6,Sierra Nevada Brewing Co.,2000,Fuel Cell,NG - Natural Gas,6007.0,31212
47,6,Bear Republic Brewing Company / Cambrian Innovation,95,Microturbine,BIOMASS - Digester Gas,6097.0,31212
48,6,Golden Road Brewing,200,Microturbine,NG - Natural Gas,6037.0,31212
49,6,Cakebread Cellars,130,Microturbine,NG - Natural Gas,6055.0,31213
50,6,Brewery,95,Microturbine,NG - Natural Gas,6097.0,31212
51,6,Vegetable Processing Plant,633,Reciprocating Engine,NG - Natural Gas,6083.0,311999
