County FIPS,County Area km2,County Available area km2,Percent County Land Available,Average Available DNI kWh/m2day
1001,1565.3898,603.1989,38.53346304,5.074282587
1003,4224.4092,1666.1214,39.44034115,5.110458983
1005,2342.7144,795.0879,33.93874644,5.176540409
1007,1621.7739,317.9979,19.60802921,4.995049033
1009,1685.1078,696.4623,41.33043002,4.909394764
1011,1619.1009,555.2712,34.29503374,5.161775149
1013,2014.7454,521.9802,25.9079981,5.127066354
1015,1585.9152,434.1357,27.37445861,4.905046551
1017,1562.1417,547.9245,35.07521117,5.08273664
1019,1553.9202,550.7271,35.44114427,4.865429689
1021,1814.9832,624.5991,34.41349209,5.048054752
1023,2384.883,605.9772,25.40909554,5.069880367
1025,3244.0662,741.7008,22.86330655,5.094531714
1027,1569.5856,269.9811,17.20078854,4.997300711
1029,1452.9861,276.7365,19.04605281,4.944557588
1031,1762.4709,727.6068,41.28333693,5.21573496
1033,1615.1481,660.0042,40.86338584,4.894207923
1035,2208.6108,662.1183,29.97894876,5.09757545
1037,1725.8022,340.9938,19.75856793,5.035463442
1039,2703.294,887.6466,32.8357404,5.151831073
1041,1582.2945,502.281,31.74383783,5.154838252
1043,1955.5506,1028.4084,52.58919917,4.915250859
1045,1457.3925,555.8463,38.13978046,5.238378386
1047,2574.0585,954.4716,37.080416,5.108945908
1049,2016.8757,1038.744,51.50262855,4.866904632
1051,1701.8991,602.3403,35.39224505,5.092713984
1053,2468.7504,926.9559,37.54757468,5.10211711
1055,1420.8534,543.9393,38.28257722,4.884746028
1057,1630.0926,431.3169,26.45965634,4.973967398
1059,1674.6426,627.3774,37.46336084,4.940600485
1061,1499.5287,850.3461,56.70755751,5.26818872
1063,1709.2053,538.569,31.50990697,5.061945405
1065,1700.4168,609.4278,35.83990702,5.094043701
1067,1471.932,711.3096,48.32489544,5.26974754
1069,1506.4623,886.059,58.81720372,5.317826949
1071,2918.3328,917.9082,31.4531708,4.803586329
1073,2910.5325,605.0295,20.78758784,4.937551911
1075,1567.9089,461.3436,29.424133,4.993192289
1077,1863.7047,944.9379,50.70212572,4.889171174
1079,1857.5406,899.5455,48.42669388,4.902703345
1081,1595.0034,550.0791,34.48764435,5.112866546
1083,1572.5826,936.0522,59.52324539,4.880687077
1085,1877.8878,804.5244,42.84198449,5.138733237
1087,1588.2723,548.5644,34.53843525,5.11280137
1089,2104.9146,943.3017,44.81425042,4.815460041
1091,2545.182,903.9114,35.5146076,5.085657741
1093,1925.7345,655.8084,34.05497487,4.946227953
1095,1613.9655,705.4857,43.71132468,4.905888033
1097,3253.0491,1097.1045,33.72542087,5.045288567
1099,2679.156,801.7299,29.92471883,5.119919983
1101,2071.5669,896.9697,43.29909403,5.138104066
1103,1551.5145,748.6344,48.25184682,4.872213711
1105,1874.9556,551.3022,29.40348027,5.091930005
1107,2305.3491,718.2756,31.15691242,5.030654856
1109,1742.958,614.4741,35.25467051,5.178678768
1111,1512.8694,533.7414,35.2800711,5.011011018
