SUBRGN,Coal,Oil,Natural_gas,Other_fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geothermal,Other,grid_losses
AKGD,0.116813791,0.070213811,0.660651449,0,0,0.114604868,0.011751797,0.025964284,0,0,0,0.0563
AKMS,0,0.086937475,0.10313415,0,0,0.78290144,0.005013329,0.022013605,0,0,0,0.0563
AZNM,0.212526487,0.000356382,0.390652975,4.78834E-05,0.235626902,0.064406976,0.004156779,0.017949493,0.045881465,0.028285558,0.000109098,0.0479
CAMX,0.004254113,0.000340003,0.624657116,0.007579125,0.08979113,0.084061259,0.034282997,0.065413506,0.042750486,0.043508194,0.003362072,0.0479
ERCT,0.332050258,0.000700823,0.452976241,0.004081193,0.106246292,0.000815686,0.003264403,0.098082321,0.000752357,0,0.001030424,0.0512
FRCC,0.216531101,0.008491872,0.614180102,0.00574001,0.126661525,0.00096076,0.019090062,0,0.00103527,0,0.007309299,0.0497
HIMS,0.015922148,0.607897089,0,0,0,0.0330348,0.03627788,0.138455088,0.005300475,0.089129585,0.073982935,0.0518
HIOA,0.199266711,0.706160401,0,0.034871391,0,0,0.03136293,0.025053428,0.003285138,0,0,0.0518
MROE,0.712805807,0.012828779,0.104679238,0.001056757,0,0.050370743,0.047067697,0.069052855,0,0,0.002138125,0.0497
MROW,0.583846718,0.001395579,0.031572834,0.001675337,0.129865154,0.056805232,0.013003761,0.179837025,1.27787E-05,0,0.00198558,0.0497
NEWE,0.045244036,0.019336521,0.431931433,0.016618054,0.332684225,0.063810224,0.068068463,0.018431252,0.003002671,0,0.000873121,0.0497
NWPP,0.362052809,0.001736127,0.119278545,0.002299241,0.027805968,0.397189076,0.010887425,0.067288873,0.000212846,0.010284189,0.000964902,0.0479
NYCW,0,0.020234108,0.551828836,0.004605639,0.418537747,0,0.004793669,0,0,0,0,0.0497
NYLI,0,0.07226919,0.840008663,0.040005624,0,0,0.041811779,0,0.005904744,0,0,0.0497
NYUP,0.054557941,0.005733342,0.259059554,0.003080641,0.305701087,0.304036558,0.020638314,0.047148425,4.41377E-05,0,0,0.0497
RFCE,0.233388609,0.00723307,0.30680437,0.006932519,0.405346662,0.011598631,0.013070584,0.012825379,0.002421322,0,0.000378854,0.0497
RFCM,0.596406192,0.012282471,0.146109563,0.017268718,0.160565669,0,0.022842682,0.044496379,0,0,2.83267E-05,0.0497
RFCW,0.600292183,0.005207995,0.09291,0.006896369,0.257472516,0.006495182,0.006007942,0.023604406,0.000462351,0,0.000651056,0.0497
RMPA,0.682642096,0.000439547,0.160011003,0,0,0.028634045,0.001670913,0.122615564,0.003363777,0,0.000623056,0.0479
SPNO,0.662117498,0.001536565,0.064715344,0.000368599,0.120760921,0.000228784,0.000997266,0.149275009,0,0,1.36869E-08,0.0497
SPSO,0.48407204,0.021392686,0.34512411,0.002601313,0,0.022021702,0.015739052,0.108090598,0.000621186,0,0.000337312,0.0497
SRMV,0.257581077,0.012298857,0.489729641,0.014378162,0.192251337,0.013865274,0.017276377,0,0,0,0.002619276,0.0497
SRMW,0.82396514,0.000665885,0.01177204,0.001007865,0.122417509,0.007833718,0.00120995,0.029211848,5.80927E-05,0,0.001857952,0.0497
SRSO,0.362251931,0.00167871,0.365082989,0.000353016,0.214870164,0.025735494,0.029582711,0,0.000444984,0,0,0.0497
SRTV,0.524314986,0.00592352,0.147909468,0.001087496,0.230283728,0.079181913,0.010933076,0.000216451,0.000136033,0,1.33301E-05,0.0497
SRVC,0.316703842,0.005710056,0.207599842,0.002931103,0.42162135,0.012724108,0.02915534,0,0.002470088,0,0.00108427,0.0497
