ORISPL,SUBRGN,SRNAME,PLPRMFL,PLFUELCT,NBFACTOR,RMBMFLAG,CHPFLAG,PLHTIAN,PLHTIOZ,PLHTIANT,PLHTIOZT,PLNGENAN,PLNGENOZ,PLHTRT
54452,AKGD,ASCC Alaska Grid,NG,GAS,,,Yes,,,,,,,
57053,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,22981,7871,22981,7871,2244.001,768,10241.08278
58982,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,,,,,
75,AKGD,ASCC Alaska Grid,NG,GAS,1,,,433079,165106.999,433079,165106.999,33641.999,12825.999,12873.16488
7462,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,18299.001,6263.001,18299.001,6263.001,1692.999,579.999,10808.63072
7182,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,27224,9324,27224,9324,2630,901,10351.3308
62,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,260385,102274,27380,10754,
7250,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
79,AKGD,ASCC Alaska Grid,SUB,COAL,0.171952578,,Yes,3038413.798,1030714.335,3038413.798,1030714.335,191062,67404,15902.76349
7173,AKMS,ASCC Miscellaneous,NG,GAS,0.868117872,,Yes,751795.999,286634,751795.999,286634,49637.001,18925.001,15145.87876
57583,AKGD,ASCC Alaska Grid,MWH,OTHF,,,,,,,,,,
6580,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,432780,169987,45507.999,17874.999,
96,AKGD,ASCC Alaska Grid,NG,GAS,0.715154495,,,8687990.999,5219424,8687990.999,5219424,1216481.001,448047,7141.904388
6292,AKGD,ASCC Alaska Grid,NG,GAS,1,,,388466,148119,388466,148119,17447,6651.999,22265.48977
6566,AKMS,ASCC Miscellaneous,DFO,OIL,0.69969622,,Yes,411759,140986.002,411759,140986.002,41962.998,14368.002,9812.430466
7752,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,201091,78985,21145,8305,
7367,AKGD,ASCC Alaska Grid,WAT,HYDRO,,,,0,0,4113790,1764097,432575,185499,
7112,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,2241,773,2241,773,-39,-13.354,-57461.53846
7168,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,56739,22286,5966,2343,
6311,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
6291,AKGD,ASCC Alaska Grid,WAT,HYDRO,,,,0,0,304796,119718,32050,12589,
421,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,4970,1701,4970,1701,306,105,16241.83007
56325,AKGD,ASCC Alaska Grid,DFO,OIL,1,,,1009,347,1009,347,-121,-41.431,-8338.842975
58511,AKGD,ASCC Alaska Grid,WND,WIND,,,,0,0,42795.999,20264,4500,2131,
109,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,177612,60819,177612,60819,18458.999,6320.001,9621.973543
7502,AKMS,ASCC Miscellaneous,DFO,OIL,0.992170128,,,427393.999,146336,427393.999,146336,46621.999,15962.999,9167.217369
50392,AKGD,ASCC Alaska Grid,SUB,COAL,0.945637111,,Yes,388446.2074,136033.9432,388446.207,136033.943,68264,26019.001,5690.352271
58989,AKGD,ASCC Alaska Grid,NG,GAS,,,,,,,,,,
77,AKGD,ASCC Alaska Grid,WAT,HYDRO,,,,0,0,790377,322437,83110,33905,
57060,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,12158,4164,12158,4164,1198,410,10148.58097
6314,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,33212.001,11372.001,33212.001,11372.001,3425.001,1173,9696.931767
58405,AKMS,ASCC Miscellaneous,MWH,OTHF,,,,,,,,,,
57935,AKGD,ASCC Alaska Grid,WND,WIND,,,,0,0,682617,323212,71779,33987,
6286,AKGD,ASCC Alaska Grid,RFO,OIL,1,,,168814,57777,168814,57777,7085,2469,23826.95836
56146,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,7887,2697,7887,2697,818,280,9641.809291
58425,AKGD,ASCC Alaska Grid,WND,WIND,,,,0,0,454699,215295,47813,22639,
54834,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,1334,452,1334,452,119.558,40.938,11157.76443
7437,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,63744.999,21825.999,63744.999,21825.999,5696.999,1950.999,11189.22419
57062,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,15119,5172,15119,5172,1512.999,518,9992.736281
