ORISPL,SUBRGN,SRNAME,PLPRMFL,PLFUELCT,NBFACTOR,RMBMFLAG,CHPFLAG,PLHTIAN,PLHTIOZ,PLHTIANT,PLHTIOZT,PLNGENAN,PLNGENOZ,PLHTRT
6559,AKGD,ASCC Alaska Grid,NG,GAS,0.980595896,,,4059277.51,2169953.45,4059277.51,2169953.45,493716.997,172928,8221.871102
6305,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,92309,31600.002,92309,31600.002,9104.001,3117,10139.38817
7751,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,143981,56553,15140,5947,
63,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,228.001,79,53809.001,21125,5652,2219.001,9520.346957
313,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,673232,264431,70792,27806,
7174,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,49833,17063,49833,17063,2279,779.999,21866.16937
69,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,2150.001,740.001,2150.001,740.001,-122.001,-41.774,-17622.81457
6288,AKGD,ASCC Alaska Grid,WC,COAL,0.895585149,,Yes,2527996.759,1038510.074,2527996.759,1038510.074,185905,76008,13598.32581
7463,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,42451,14530,42451,14530,4445,1522,9550.281215
6319,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,27820.998,9526,27820.998,9526,2808.998,962,9904.242723
7042,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,29481,11580,3100.001,1218,
423,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,663,226,663,226,13,4,51000
59793,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
6293,AKGD,ASCC Alaska Grid,NG,GAS,1,,,30921.001,11789.999,30921.001,11789.999,862.001,328.999,35871.18924
6801,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,12344,4230,12344,4230,250.999,86,49179.4788
58380,AKGD,ASCC Alaska Grid,LFG,BIOMASS,0.404093045,Yes,,546462,261294,546462,261294,56167,26857,9729.236028
7464,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,29273.001,10016.001,29273.001,10016.001,2682.999,918.999,10910.55233
56542,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,82165,32273,8640,3394,
57066,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,24499,8392.999,24499,8392.999,2626,899,9329.398324
84,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,232320,91250.001,24429,9594.999,
6323,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,14917.999,5111,14917.999,5111,1519.999,520,9814.479483
7493,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,Yes,861.4848045,295.8220889,36484.181,14287.455,3821.5,1497.169,9547.083944
57065,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,12278,4200.999,12278,4200.999,1193,408.001,10291.70159
7466,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
6281,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
57064,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,18922,6479,18922,6479,1920,657,9855.208333
6304,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,167890.001,57490,211083.995,77941.996,21293.995,7886.998,9912.84139
57059,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,12267,4200.999,12267,4200.999,1245,426,9853.012048
57085,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,795035,312274,83600,32836,
64,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,2428.002,835.002,2428.002,835.002,180.997,62.002,13414.59803
59027,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,,,,,
6555,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,22674,7762,22674,7762,2399,821,9451.438099
6329,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,26088,8925.999,26088,8925.999,2803,960.001,9307.170888
6301,AKMS,ASCC Miscellaneous,DFO,OIL,0.978217961,,Yes,206193.999,70600,206193.999,70600,20717.999,7094.002,9952.408966
7183,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,318.999,104.001,32585.999,12778.001,3425.001,1344.001,9514.157514
55966,AKGD,ASCC Alaska Grid,NG,GAS,0.426529348,,Yes,3204042.842,1163789.627,3204042.842,1163789.627,371284,146114,8629.628107
57051,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,17632,6037,17632,6037,1776,608,9927.927928
6330,AKMS,ASCC Miscellaneous,DFO,OIL,0.984398782,,,18877,6462,18877,6462,1834,628,10292.80262
6285,AKGD,ASCC Alaska Grid,JF,OIL,1,,,1829569.5,1015713.5,1829569.5,1015713.5,313855.005,106588,5829.346261
7169,AKGD,ASCC Alaska Grid,DFO,OIL,1,,,12619,4323,12619,4323,1158,396,10897.23661
7487,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,42200.001,14447.999,42200.001,14447.999,3963.998,1357,10645.81793
7482,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,37231,12748.999,37231,12748.999,3372.999,1155,11037.95169
7483,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,48683,16662,48683,16662,4492,1538,10837.71149
7484,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,83898.001,31557.999,83898.001,31557.999,6597.999,2480.999,12715.67349
7485,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,57239,19605,57239,19605,5759,1971.999,9939.051919
7486,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,36484,12493,36484,12493,3542,1213,10300.39526
7488,AKMS,ASCC Miscellaneous,DFO,OIL,0.966825792,,Yes,68586,23483.001,68586,23483.001,6357,2177.001,10789.05144
6333,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
7723,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
789,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,72604,24856.001,72604,24856.001,7570,2591.999,9591.017173
6702,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,30,0,30,0,1100,430.88,27.27272727
91,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,7715,2640,132372,51603,13840,5399.999,9564.450867
57187,AKMS,ASCC Miscellaneous,WND,WIND,,,,0,0,221802,105021,23323,11043,
57058,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,17149,5868,17149,5868,1698,581,10099.52886
6282,AKMS,ASCC Miscellaneous,DFO,OIL,,,,,,,,,,
7862,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,157152,61726,16525,6491,
6302,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,148926.999,58496.001,15660,6150.999,
57057,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,17284,5918,17284,5918,1689.999,578.999,10227.22499
59037,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,,,,,
93,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,387121.999,152053.999,40707.001,15989.001,
85,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,16452.001,5633.001,16452.001,5633.001,-262902.001,-90017.251,-62.57845485
65,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,210320,82610,22116,8687,
57052,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,18373.001,6289,18373.001,6289,1901,651,9664.91373
57056,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,17054.999,5841,17054.999,5841,1680,575,10151.78512
6341,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,24560,8408.999,24560,8408.999,2567,879,9567.588625
6283,AKGD,ASCC Alaska Grid,DFO,OIL,1,,,4176,1419,4176,1419,444,152,9405.405405
92,AKGD,ASCC Alaska Grid,DFO,OIL,1,,,1135,394,1135,394,49.002,16.998,23162.31991
6345,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,16762,5744,16762,5744,1624.999,556,10315.08327
57063,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,16021,5486,16021,5486,1583,542,10120.65698
6581,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,130506,51261,13723,5390,
66,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,564,187,28571,11187,3002,1177,9517.321785
90,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,270604,92654.002,270604,92654.002,30342.001,10389.001,8918.462563
78,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,2716047,908529.001,285599.001,95534.001,
57206,AKGD,ASCC Alaska Grid,NG,GAS,1,,,502124,265310,502124,265310,46481,24559,10802.77963
390,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,522621,205274,54955,21585,
56265,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,55871,21945,5875,2308,
57036,AKGD,ASCC Alaska Grid,NG,GAS,0.484814759,,,4684235,2875884,4684235,2875884,909355.999,372166,5151.156428
6338,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,31309,10715,31309,10715,2958,1013.001,10584.51657
57061,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,16915,5796,16915,5796,1704,583,9926.643192
57055,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,13952.999,4779.001,13952.999,4779.001,1496,512,9326.870989
70,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,629440,247231,66187,25997,
71,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,1274634.999,500651.001,134031,52644.999,
52184,AKGD,ASCC Alaska Grid,NG,GAS,0,,Yes,827270,315432,827270,315432,67069,25573,12334.61062
7414,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,348,127,348,127,-24,-8.218,-14500
58278,AKMS,ASCC Miscellaneous,NG,GAS,0.843961172,,,1050774,400644,1050774,400644,66104,25205,15895.7703
58117,AKMS,ASCC Miscellaneous,NG,GAS,1,,,82444,31435,82444,31435,9104,3471,9055.799649
6348,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,29744.001,10188,29744.001,10188,3011.001,1031,9878.44275
406,AKGD,ASCC Alaska Grid,DFO,OIL,1,,,86478.999,29614.001,86478.999,29614.001,8901.999,3047.999,9714.559505
57067,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,26261.001,8998,26261.001,8998,2540,870,10338.97677
6299,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,32039,10974,32039,10974,3440,1178,9313.662791
7503,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,691,237,691,237,68,23,10161.76471
54422,AKMS,ASCC Miscellaneous,DFO,OIL,1,Yes,Yes,462230,170811.999,462230,170811.999,31721.999,11722.999,14571.27591
50711,AKGD,ASCC Alaska Grid,SUB,COAL,1,,Yes,281722.2003,103493.9867,281722.2,103493.987,47355.275,18956.322,5949.119719
57054,AKMS,ASCC Miscellaneous,JF,OIL,1,,Yes,13162,4511.001,13162,4511.001,1285,440,10242.80156
50308,AKGD,ASCC Alaska Grid,SUB,COAL,0.732597717,,Yes,445163.6309,145767.1624,445163.631,145767.162,71042.994,28591.972,6266.115853
6306,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,32801,11234.998,32801,11234.998,2006.999,686.999,16343.3066
7841,AKMS,ASCC Miscellaneous,WO,OIL,0.571688062,,Yes,238054.577,81509.09331,238054.577,81509.093,21217,7265,11219.99232
56147,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,0,0,0,0,-15,-5.137,0
54305,AKMS,ASCC Miscellaneous,DFO,OIL,0.792335426,,Yes,171818.001,58835.001,171818.001,58835.001,18767.001,6426,9155.325403
58977,AKMS,ASCC Miscellaneous,WAT,HYDRO,,,,0,0,,,,,
95,AKMS,ASCC Miscellaneous,DFO,OIL,1,,,9315.001,3192.001,9315.001,3192.001,673,230.001,13841.01189
6637,AKMS,ASCC Miscellaneous,DFO,OIL,1,,Yes,61523,21067,61523,21067,5414.001,1854,11363.68464
56076,SRTV,SERC Tennessee Valley,COG,COAL,0.647049988,,Yes,81564.50851,40284.76399,81564.509,40284.764,13707,6769.894,5950.573321
54429,SRSO,SERC South,BLQ,BIOMASS,1,Yes,Yes,499845.5848,184595.2793,499845.585,184595.279,75571,18464,6614.251298
10216,SRSO,SERC South,BLQ,BIOMASS,1,Yes,Yes,151961.2362,59063.12545,151961.236,59063.125,11305,3815,13441.94924
7924,SRTV,SERC Tennessee Valley,DFO,OIL,,,,,,,,,,
56018,SRSO,SERC South,NG,GAS,1,,,317408.2,225602.9,317408.2,225602.9,29378,13077,10804.28212
7708,,,NG,GAS,,,,,,,,,,
7876,,,NG,GAS,,,,,,,,,,
7877,,,NG,GAS,,,,,,,,,,
2,SRSO,SERC South,WAT,HYDRO,,,,0,0,450688,114421,47391,12032,
3,SRSO,SERC South,BIT,COAL,0.464160581,,,111834375.3,54374516.85,111834375.3,54374516.85,12981029,6067073,8615.216507
702,SRSO,SERC South,WAT,HYDRO,,,,0,0,3422942.001,1009590,359931,106161.001,
6150,SRTV,SERC Tennessee Valley,DFO,OIL,,,,,,,,,,
55044,SRSO,SERC South,BLQ,BIOMASS,0.028714696,Yes,Yes,699324.9555,285383.7087,699324.955,285383.709,123427.36,52508.244,5665.882795
46,SRTV,SERC Tennessee Valley,NUC,NUCLEAR,,,,0,0,279658845,119412130,26738300,11417044,
55409,SRSO,SERC South,NG,GAS,1,,,341733.858,25134.328,341733.858,25134.328,28639,2291,11932.46475
56,SRSO,SERC South,BIT,COAL,0.669598703,,,23068747.23,12984499.18,23068747.23,12984499.18,1876861,1060359,12291.1325
47,SRTV,SERC Tennessee Valley,BIT,COAL,0.958777722,,,53586578.5,22564419.5,53586578.5,22564419.5,3594781,1474938,14906.77137
54985,SRSO,SERC South,DFO,OIL,1,,Yes,6967,1764,6967,1764,724,182.999,9622.928177
55292,SRTV,SERC Tennessee Valley,NG,GAS,1,,Yes,7578426.525,3733092.469,7578426.525,3733092.469,991669.001,479627.001,7642.092792
58061,SRTV,SERC Tennessee Valley,LFG,BIOMASS,0,Yes,,118966,60151,118966,60151,12392,6266,9600.225952
54743,SRSO,SERC South,WH,OTHF,,,,0,0,,,,,
7897,SRSO,SERC South,NG,GAS,0.973651415,,,33966445.3,16553327.6,33966445.3,16553327.6,4790497,2280131,7090.380247
26,SRSO,SERC South,BIT,COAL,0.731617955,,,74402022.33,34738580.55,74402022.33,34738580.55,6432761,2907053,11566.11015
54550,SRSO,SERC South,NG,GAS,0.195760401,,Yes,777594.9689,243496.7972,777594.969,243496.797,71749,21383,10837.71159
7,SRTV,SERC Tennessee Valley,BIT,COAL,1,Yes,Yes,2924558.002,1120952.704,2924558.002,1120952.704,216750,93263,13492.77048
53,SRSO,SERC South,WAT,HYDRO,,,,0,0,65923,16737,6932,1760,
54789,SRSO,SERC South,NG,GAS,0.904658532,Yes,Yes,1596650.448,657634.8222,1596650.448,657634.822,261136,109030,6114.248698
10699,SRSO,SERC South,NG,GAS,0.721523878,Yes,Yes,1502333.748,626922.6707,1502333.748,626922.671,251787,113704,5966.685125
707,SRSO,SERC South,WAT,HYDRO,,,,0,0,1318371.002,334708.002,138630,35195,
8,SRSO,SERC South,BIT,COAL,0.628618113,,,50147461.1,24211942.83,50147461.1,24211942.83,5247433,2531787,9556.57006
10,SRSO,SERC South,BIT,COAL,0.911302091,,,29359317.2,13956874.28,29359317.2,13956874.28,2857923.999,1355044,10272.9524
48,SRTV,SERC Tennessee Valley,WAT,HYDRO,,,,0,0,6784121,2055882,713367,216181,
11,SRTV,SERC Tennessee Valley,WAT,HYDRO,,,,0,0,1888383,479421.999,198567.999,50412,
6188,SRSO,SERC South,WAT,HYDRO,,,,0,0,1407272,332746,147978,34989,
55411,SRSO,SERC South,NG,GAS,0.170702751,,,35149510.15,17558121.25,35149510.15,17558121.25,5027955,2496811,6990.816376
55241,SRSO,SERC South,NG,GAS,1,,Yes,3515045.97,1021637.012,3515045.97,1021637.012,468635,134422,7500.604884
12,SRSO,SERC South,WAT,HYDRO,,,,0,0,686840,174375,72223,18336,
50245,SRTV,SERC Tennessee Valley,NG,GAS,1,Yes,,,,,,35425.535,0,
52140,SRSO,SERC South,BLQ,BIOMASS,0.179115267,Yes,Yes,4351544.545,1848577.458,4351544.545,1848577.458,544778,233995,7987.739125
54096,SRSO,SERC South,NG,GAS,0.328327081,Yes,Yes,278594.6598,278594.6598,278594.66,278594.66,550417,235492,506.1519899
6002,SRSO,SERC South,SUB,COAL,0.087523004,,,207539268.1,95854124.58,207539268.1,95854124.58,18478397,8479511,11231.45412
6131,SRSO,SERC South,WAT,HYDRO,,,,0,0,2809768,713343,295454,75010,
13,SRSO,SERC South,WAT,HYDRO,,,,0,0,2796576,709994,294067,74658,
6001,SRSO,SERC South,NUC,NUCLEAR,,,,0,0,151713473,67172114,14505389,6422354,
711,SRSO,SERC South,WAT,HYDRO,,,,0,0,,,,,
15,SRSO,SERC South,WAT,HYDRO,,,,0,0,5344030.002,1220542.002,561937.998,128343,
18,SRSO,SERC South,WAT,HYDRO,,,,0,0,2316685,727459,243605,76494,
14,SRSO,SERC South,WAT,HYDRO,,,,0,0,3290793.999,765347.001,346035,80478,
54745,SRSO,SERC South,WDS,BIOMASS,,,,,,,,,,
16,SRSO,SERC South,WAT,HYDRO,,,,0,0,3309936.999,825696.001,348048.001,86823.999,
7063,SRSO,SERC South,NG,GAS,1,,,1422200.861,601804.245,1422200.861,601804.245,123544,50448,11511.69511
533,SRSO,SERC South,NG,GAS,0.404341448,,,23606146.52,7923560.547,23606146.52,7923560.547,3193339.001,1054407.002,7392.308336
54802,SRSO,SERC South,WDS,BIOMASS,0,Yes,Yes,4435365.267,2110600.475,4435365.267,2110600.475,813320.16,345085.162,5453.406278
38,SRSO,SERC South,WAT,HYDRO,,,,0,0,3387510,860021.001,356205,90432.999,
17,SRSO,SERC South,WAT,HYDRO,,,,0,0,4434929.999,1040222,466344,109381.999,
50407,SRSO,SERC South,NG,GAS,0.830637304,Yes,Yes,2128186.107,873659.8677,2128186.107,873659.868,288525,121547,7376.089097
55293,SRTV,SERC Tennessee Valley,NG,GAS,0.522131744,,Yes,29734378.7,12336545.7,29734378.7,12336545.7,3837307.999,1582350.001,7748.759991
7710,SRSO,SERC South,NG,GAS,0.612535166,,,70852963.93,31461548.33,70852963.93,31461548.33,10167617,4462953,6968.49261
55,SRSO,SERC South,WAT,HYDRO,,,,0,0,73834,18744.999,7764,1971.001,
54216,SRSO,SERC South,BIT,COAL,0.93742685,Yes,Yes,,,,,115281,49802,
54763,SRSO,SERC South,BLQ,BIOMASS,0.985680764,Yes,Yes,861394.5638,386146.1164,861394.564,386146.116,153490,73155,5612.056575
7698,SRSO,SERC South,NG,GAS,0.279845125,,Yes,5120132.876,2040741.065,5120132.876,2040741.065,537102,215928,9532.887377
59710,SRTV,SERC Tennessee Valley,LFG,BIOMASS,0.058520381,Yes,,366347.001,185228.001,366347.001,185228.001,32162.001,16260.999,11390.67812
54730,SRSO,SERC South,NG,GAS,0.503021757,,Yes,303799,135231,303799,135231,14838,6605,20474.39008
50359,SRTV,SERC Tennessee Valley,COG,COAL,1,,Yes,166790.8744,78110.13178,166790.874,78110.132,29687.82,14710.05,5618.158369
55440,SRSO,SERC South,NG,GAS,0.414649115,,,35069543.1,16062298.99,35069543.1,16062298.99,4476599,2023488.001,7833.970186
55271,SRSO,SERC South,NG,GAS,0.718455083,,,22883276.98,14768378.19,22883276.98,14768378.19,3035952.999,1903629,7537.427946
7721,SRSO,SERC South,NG,GAS,0.418627519,,Yes,12960906.65,5597500.3,12960906.65,5597500.3,1525962,658296,8493.597252
19,SRSO,SERC South,WAT,HYDRO,,,,0,0,2171561.001,551316,228344.999,57971.999,
50730,SRTV,SERC Tennessee Valley,PRG,OTHF,0.900355436,,Yes,4023112.105,4023112.105,4023112.105,4023112.105,186610.01,73280.06,21558.9298
4,SRSO,SERC South,WAT,HYDRO,,,,0,0,5612051.001,1133696.001,590121,119211,
55138,SRSO,SERC South,NG,GAS,1,,,43194.856,2546.868,43194.856,2546.868,3380,1505,12779.5432
7697,SRSO,SERC South,NG,GAS,0.045964961,,Yes,9206038.725,3885417.075,9206038.725,3885417.075,828885,346489,11106.53314
20,SRTV,SERC Tennessee Valley,WAT,HYDRO,,,,0,0,1996074,506763,209892,53286.999,
57467,SRSO,SERC South,WDS,BIOMASS,0.645915491,Yes,Yes,354600,151596,354600,151596,31795,13592.731,11152.69696
54752,SRSO,SERC South,BLQ,BIOMASS,0.199725477,Yes,Yes,3495572.303,1476905.194,3495572.303,1476905.194,461168,200616,7579.824061
49,SRTV,SERC Tennessee Valley,WAT,HYDRO,,,,0,0,11861803,3098605.001,1247297.998,325826,
50,SRTV,SERC Tennessee Valley,BIT,COAL,0.975175244,,,57330260.55,27647724.14,57330260.55,27647724.14,3705848,1726887,15470.21371
6440,SRTV,SERC Tennessee Valley,WAT,HYDRO,,,,0,0,23283665,5810990.006,2448334.998,611039.999,
21,SRSO,SERC South,WAT,HYDRO,,,,0,0,1316193,334154,138401,35137,
54311,SRMV,SERC Mississippi Valley,NG,GAS,,,,,,,,,,
8055,SRMV,SERC Mississippi Valley,NUC,NUCLEAR,,,,0,0,151485865,57390293,14478259,5481742,
54104,SPSO,SPP South,BLQ,BIOMASS,0.459156977,Yes,Yes,4131889.078,1631365.317,4131889.078,1631365.317,719066,296154,5746.188915
182,SPSO,SPP South,WAT,HYDRO,,,,0,0,1200590,380467,126245,40007,
197,SRMV,SERC Mississippi Valley,WAT,HYDRO,,,,0,0,1601968,699956,168451,73602,
198,SPSO,SPP South,WAT,HYDRO,,,,0,0,4885070,1826006,513677,192009,
202,SRMV,SERC Mississippi Valley,NG,GAS,1,,,50015.65,49889.44,50015.65,49889.44,3132,3132,15969.23691
166,SRMV,SERC Mississippi Valley,WAT,HYDRO,,,,0,0,1017389,444532,106981,46744,
167,SRMV,SERC Mississippi Valley,NG,GAS,1,,,0,0,0,0,0,0,
56505,SRMV,SERC Mississippi Valley,NG,GAS,1,,,249183.8,106380.5,249183.8,106380.5,25108,10845,9924.478254
50638,SRMV,SERC Mississippi Valley,BLQ,BIOMASS,0.199134323,Yes,Yes,695580.4228,279113.6438,695580.423,279113.644,119227,49332,5834.084753
56182,SRMV,SERC Mississippi Valley,WDS,BIOMASS,0.685692542,Yes,Yes,41310.41603,16906.24373,41310.416,16906.244,6808,2785.872,6067.922448
58077,SRMV,SERC Mississippi Valley,NG,GAS,0.418406175,,Yes,132334.4996,63296.80354,132334.5,63296.804,16831,8050,7862.54528
7246,SRMV,SERC Mississippi Valley,WAT,HYDRO,,,,0,0,3711276,1702317.999,390249.999,179003.001,
199,SPSO,SPP South,WAT,HYDRO,,,,0,0,4608415,2236334,484586,235156,
187,SRMV,SERC Mississippi Valley,WAT,HYDRO,,,,0,0,81547,31440,75645,40143,
55340,SRMV,SERC Mississippi Valley,NG,GAS,1,,,1339147.378,574337.477,1339147.378,574337.477,156765.996,65501,8542.333237
56489,SPSO,SPP South,NG,GAS,1,,,6024.999,2882.001,6024.999,2882.001,473.001,225.999,12737.81451
