MECS_Region,naics,Emp_Size,End_use,MECS_FT,MMBtu_fraction,MECS_FT_byp
Midwest,311221.0,n100_249,CHP and/or Cogeneration Process,Coal,0.3926539123058319,Coal
Midwest,311221.0,n100_249,CHP and/or Cogeneration Process,Natural_gas,0.47811388969421387,Natural_gas
Midwest,311221.0,n100_249,CHP and/or Cogeneration Process,Other,0.0010573543841019273,Waste_gas
Midwest,311221.0,n100_249,CHP and/or Cogeneration Process,Other,0.11525163054466248,Steam
Midwest,311221.0,n100_249,Conventional Boiler Use,Coal,0.19581648707389832,Coal
Midwest,311221.0,n100_249,Conventional Boiler Use,Diesel,0.0024529469665139914,Diesel
Midwest,311221.0,n100_249,Conventional Boiler Use,Natural_gas,0.7834305167198181,Natural_gas
Midwest,311221.0,n100_249,Conventional Boiler Use,Other,1.6636433429084718e-05,Waste_gas
Midwest,311221.0,n100_249,Conventional Boiler Use,Other,0.0018133712001144886,Steam
Midwest,311221.0,n100_249,Process Heating,Coal,0.032074641436338425,Coal
Midwest,311221.0,n100_249,Process Heating,Diesel,0.003616122994571924,Diesel
Midwest,311221.0,n100_249,Process Heating,LPG_NGL,0.0018678579945117235,LPG_NGL
Midwest,311221.0,n100_249,Process Heating,Natural_gas,0.9624413847923279,Natural_gas
Midwest,311221.0,n1_49,CHP and/or Cogeneration Process,Coal,0.22054608166217804,Coal
Midwest,311221.0,n1_49,CHP and/or Cogeneration Process,Natural_gas,0.6190674304962158,Natural_gas
Midwest,311221.0,n1_49,CHP and/or Cogeneration Process,Other,0.0013122530654072762,Waste_gas
Midwest,311221.0,n1_49,CHP and/or Cogeneration Process,Other,0.14303557574748993,Steam
Midwest,311221.0,n1_49,Conventional Boiler Use,Coal,0.09539628028869629,Coal
Midwest,311221.0,n1_49,Conventional Boiler Use,Diesel,0.005072542000561953,Diesel
Midwest,311221.0,n1_49,Conventional Boiler Use,Natural_gas,0.8798322677612305,Natural_gas
Midwest,311221.0,n1_49,Conventional Boiler Use,Other,1.7908119843923487e-05,Waste_gas
Midwest,311221.0,n1_49,Conventional Boiler Use,Other,0.0019519850611686707,Steam
Midwest,311221.0,n1_49,Process Heating,Coal,0.014129789546132088,Coal
Midwest,311221.0,n1_49,Process Heating,Diesel,0.006761957425624132,Diesel
Midwest,311221.0,n1_49,Process Heating,LPG_NGL,0.0017239097505807877,LPG_NGL
Midwest,311221.0,n1_49,Process Heating,Natural_gas,0.9773843288421631,Natural_gas
Midwest,311221.0,n50_99,CHP and/or Cogeneration Process,Coal,0.23416952788829803,Coal
Midwest,311221.0,n50_99,CHP and/or Cogeneration Process,Natural_gas,0.6962321996688843,Natural_gas
