COUNTY_FIPS,naics,MECS_FT,MECS_FT_byp,MMBtu_fraction
1001,322130,Coal,Coal,1.0
1001,322130,Natural_gas,Natural_gas,1.0
1001,322130,Other,Biomass,0.971926264699801
1001,322130,Other,Petroleum_coke,0.018765008160701563
1001,322130,Other,Waste_oils_tars_waste_materials,0.00930872713949735
1009,311615,Natural_gas,Natural_gas,1.0
1015,325199,Natural_gas,Natural_gas,1.0
1015,331511,Coke_and_breeze,Coke_and_breeze,1.0
1015,331511,Natural_gas,Natural_gas,1.0
1017,327993,Natural_gas,Natural_gas,1.0
1023,322110,Coal,Coal,1.0
1023,322110,Diesel,Diesel,1.0
1023,322110,Natural_gas,Natural_gas,1.0
1023,322110,Other,Biomass,1.0
1025,322121,Diesel,Diesel,1.0
1025,322121,Natural_gas,Natural_gas,1.0
1025,322121,Other,Biomass,1.0
1033,322121,Natural_gas,Natural_gas,1.0
1033,325311,Diesel,Diesel,1.0
1033,325311,Natural_gas,Natural_gas,1.0
1033,331314,Natural_gas,Natural_gas,1.0
1033,331315,LPG_NGL,LPG_NGL,1.0
1033,331315,Natural_gas,Natural_gas,1.0
1043,311613,Diesel,Diesel,1.0
1043,311613,Natural_gas,Natural_gas,1.0
1043,311613,Other,Biomass,1.0
1047,322121,Natural_gas,Natural_gas,1.0
1047,322121,Other,Biomass,1.0
1047,331110,Natural_gas,Natural_gas,1.0
1053,322130,Natural_gas,Natural_gas,1.0
1053,322130,Other,Biomass,1.0
1053,322130,Residual_fuel_oil,Residual_fuel_oil,1.0
1053,324110,Natural_gas,Natural_gas,1.0
1053,324110,Other,Waste_gas,1.0
1055,311615,Natural_gas,Natural_gas,1.0
1055,311615,Other,Biomass,1.0
1071,322121,Diesel,Diesel,1.0
1071,322121,Natural_gas,Natural_gas,1.0
1071,322121,Other,Biomass,1.0
1071,327420,Natural_gas,Natural_gas,1.0
1071,331110,Natural_gas,Natural_gas,1.0
1073,324199,Natural_gas,Natural_gas,1.0
1073,324199,Other,Blast_furnace_coke_oven_gases,1.0
1073,327310,Natural_gas,Natural_gas,1.0
1073,331110,Natural_gas,Natural_gas,1.0
1073,331110,Other,Blast_furnace_coke_oven_gases,1.0
1073,331210,Natural_gas,Natural_gas,1.0
1073,331511,Coke_and_breeze,Coke_and_breeze,1.0
1073,331511,Natural_gas,Natural_gas,1.0
1075,331492,Natural_gas,Natural_gas,1.0
1077,327120,Natural_gas,Natural_gas,1.0
1079,322121,Coal,Coal,1.0
1079,322121,Diesel,Diesel,1.0
1079,322121,Natural_gas,Natural_gas,1.0
1079,322121,Other,Biomass,0.9954517841138025
1079,322121,Other,Waste_oils_tars_waste_materials,0.004548215886197455
1085,325211,Natural_gas,Natural_gas,1.0
1089,336413,Diesel,Diesel,1.0
1089,336413,Natural_gas,Natural_gas,1.0
1091,322130,Coal,Coal,1.0
1091,322130,Diesel,Diesel,1.0
1091,322130,LPG_NGL,LPG_NGL,1.0
1091,322130,Natural_gas,Natural_gas,1.0
1091,322130,Other,Biomass,1.0
1091,327310,Coal,Coal,1.0
1091,327310,Natural_gas,Natural_gas,1.0
1091,327310,Other,Biomass,0.07216304959800295
1091,327310,Other,Other,0.0
1091,327310,Other,Waste_gas,0.020098746520250597
1091,327310,Other,Waste_oils_tars_waste_materials,0.9077382038817464
1093,326113,Natural_gas,Natural_gas,1.0
1095,311224,Diesel,Diesel,1.0
1095,311224,Natural_gas,Natural_gas,1.0
1097,322121,Natural_gas,Natural_gas,1.0
1097,322130,Natural_gas,Natural_gas,1.0
1097,324110,Natural_gas,Natural_gas,1.0
1097,324110,Other,Waste_gas,1.0
1097,325180,Natural_gas,Natural_gas,1.0
1097,325199,Natural_gas,Natural_gas,1.0
1097,325220,Natural_gas,Natural_gas,1.0
1097,331110,Natural_gas,Natural_gas,1.0
1097,331410,Natural_gas,Natural_gas,1.0
1099,322110,Diesel,Diesel,1.0
1099,322110,Natural_gas,Natural_gas,1.0
1099,322110,Other,Biomass,1.0
1101,331110,Natural_gas,Natural_gas,1.0
1101,336111,Natural_gas,Natural_gas,1.0
1101,336111,Other,Other,1.0
1103,311224,Natural_gas,Natural_gas,1.0
1103,325110,Diesel,Diesel,1.0
1103,325110,Natural_gas,Natural_gas,1.0
1103,325110,Other,Biomass,0.03632514178013505
1103,325110,Other,Waste_gas,0.963674858219865
1103,325120,Natural_gas,Natural_gas,1.0
1103,325199,Coal,Coal,1.0
1103,325199,Diesel,Diesel,1.0
1103,325211,Diesel,Diesel,1.0
1103,325211,Natural_gas,Natural_gas,1.0
1103,325220,Natural_gas,Natural_gas,1.0
1103,331110,Diesel,Diesel,1.0
1103,331110,Natural_gas,Natural_gas,1.0
1109,331492,Natural_gas,Natural_gas,1.0
1113,322121,Diesel,Diesel,1.0
1113,322121,LPG_NGL,LPG_NGL,1.0
1113,322121,Natural_gas,Natural_gas,1.0
1113,322121,Other,Biomass,1.0
1113,325180,Natural_gas,Natural_gas,1.0
1113,327993,Coke_and_breeze,Coke_and_breeze,1.0
1113,327993,Natural_gas,Natural_gas,1.0
1115,327310,Coal,Coal,1.0
1115,327310,Natural_gas,Natural_gas,1.0
1115,327310,Other,Biomass,0.9305408507556253
1115,327310,Other,Other,1.7579169198310296e-05
1115,327310,Other,Waste_oils_tars_waste_materials,0.06944157007517637
1117,327310,Diesel,Diesel,1.0
1117,327310,LPG_NGL,LPG_NGL,1.0
1117,327410,Coal,Coal,1.0
1117,327410,Coke_and_breeze,Coke_and_breeze,1.0
1117,327410,Diesel,Diesel,1.0
1117,327410,Natural_gas,Natural_gas,1.0
1117,327410,Other,Petroleum_coke,1.0
1121,322110,Coal,Coal,1.0
1121,322110,Diesel,Diesel,1.0
1121,322110,Natural_gas,Natural_gas,1.0
1121,322110,Other,Biomass,1.0
1121,331523,Natural_gas,Natural_gas,1.0
1121,336112,Diesel,Diesel,1.0
1121,336112,LPG_NGL,LPG_NGL,1.0
1121,336112,Natural_gas,Natural_gas,1.0
1125,324110,Natural_gas,Natural_gas,1.0
1125,324110,Other,Waste_gas,1.0
1125,331110,Diesel,Diesel,1.0
1125,331110,Natural_gas,Natural_gas,1.0
1125,336111,Natural_gas,Natural_gas,1.0
1129,325199,Natural_gas,Natural_gas,1.0
1129,331110,Natural_gas,Natural_gas,1.0
1131,322130,Coal,Coal,1.0
1131,322130,Natural_gas,Natural_gas,1.0
1131,322130,Other,Biomass,0.984503732726237
1131,322130,Other,Petroleum_coke,0.015496267273763055
