EPA_FUEL_TYPE,MECS_FT_byp
Agricultural Byproducts,Biomass
Rendered Animal Fat,Biomass
Blast Furnace Gas,Blast_furnace_coke_oven_gases
Coke Oven Gas,Blast_furnace_coke_oven_gases
Anthracite,Coal
Bituminous,Coal
Subbituminous,Coal
Lignite,Coal
Mixed (Commercial sector),Coal
Mixed (Industrial coking),Coal
Mixed (Industrial sector),Coal
Mixed (Electric Power sector),Coal
Mixture (Bituminous & Subbituminous Coal),Coal
Blend (bituminous/subituminous),Coal
Coal Blend,Coal
Waste Coal,Coal
Waste Coal - NPC,Coal
Waste coal,Coal
Blend (solid),Coal
Bituminous Coal and Coke Blend,Coal
Blend (solid),Coal
70/30 Coal/Coke Blend,Coal
70/30 Coal/Pet Coke Blend,Coal
Lignite Activation,Coal
Subbitumious,Coal
Coal Coke,Coke_and_breeze
Coke,Coke_and_breeze
Distillate Fuel Oil No. 1,Diesel
Distillate Fuel Oil No. 2,Diesel
Distillate Fuel Oil No. 4,Diesel
Ultra-Low Sulfur Diesel,Diesel
Diesel fuel,Diesel
Diesel #2  ultra low sulfur,Diesel
#2 Diesel,Diesel
diesel,Diesel
Liquefied petroleum gases (LPG),LPG_NGL
Propane,LPG_NGL
Propylene,LPG_NGL
Ethane,LPG_NGL
Ethylene,LPG_NGL
Isobutane,LPG_NGL
Isobutylene,LPG_NGL
Butane,LPG_NGL
Butylene,LPG_NGL
Natural Gasoline,LPG_NGL
Pentanes Plus,LPG_NGL
Propane Gas,LPG_NGL
Acetylene,LPG_NGL
Jet A (Tier 1),LPG_NGL
Off Spec Jet A (Tier 3),LPG_NGL
Butane (gaseous),LPG_NGL
Natural Gas (Weighted U.S. Average),Natural_gas
Kerosene,Other
Ethanol,Biomass
Naphtha (<401 deg F),Other
Other Oil (>401 deg F),Other
Petrochemical Feedstocks,Other
Special Naphtha,Other
Unfinished Oils,Other
Heavy Gas Oils,Other
Lubricants,Other
Motor Gasoline,Other
Aviation Gasoline,Other
Kerosene-Type Jet Fuel,Other
Crude Oil,Other
Peat,Biomass
Biomass Ethanol,Biomass
Biodiesel,Biomass
Ethanol (100%),Biomass
Biodiesel (100%),Biomass
Wood Oil,Biomass
Light Straight Run Gasoline,Other
Corn Syrup from Ethanol Production,Biomass
PSA Off-gas,Other
FXG,Other
LOP-RFG,Other
CF-RFG,Other
LSR,Other
Sweet Fuel Gas,Other
Biogenic Process Derived Fuel,Biomass
Biogenic Process Derived Fuel (PDF),Biomass
Biogenic Process Derived Fuel (Glidfuel),Biomass
Petroleum Coke,Petroleum_coke
Residual Fuel Oil No. 5,Residual_fuel_oil
Residual Fuel Oil No. 6,Residual_fuel_oil
No.6 oil & Used Oil Blend,Residual_fuel_oil
