,MECS_NAICS,MECS_Region,MECS_FT_byp,MECS_FT,End_use,Byp_fraction
0,311,Midwest,Waste_gas,Other,CHP and/or Cogeneration Process,0.06923076859592688
1,311,Midwest,Waste_gas,Other,Conventional Boiler Use,0.007692307621769652
2,311,Midwest,Waste_gas,Other,Process Heating,0.0
3,311,Northeast,Waste_gas,Other,CHP and/or Cogeneration Process,0.07500000093132259
4,311,Northeast,Waste_gas,Other,Conventional Boiler Use,0.00833333343681362
5,311,Northeast,Waste_gas,Other,Process Heating,0.0
6,311,South,Waste_gas,Other,CHP and/or Cogeneration Process,0.014742014741834831
7,311,South,Waste_gas,Other,Conventional Boiler Use,0.0016380016379816478
8,311,South,Waste_gas,Other,Process Heating,0.0
9,311,US,Waste_gas,Other,CHP and/or Cogeneration Process,0.034394904458598725
10,311,US,Waste_gas,Other,Conventional Boiler Use,0.003821656050955414
11,311,US,Waste_gas,Other,Process Heating,0.0
12,311,West,Waste_gas,Other,CHP and/or Cogeneration Process,0.18000000000000002
13,311,West,Waste_gas,Other,Conventional Boiler Use,0.020000000000000004
14,311,West,Waste_gas,Other,Process Heating,0.0
15,311,Midwest,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
16,311,Midwest,Petroleum_coke,Other,Conventional Boiler Use,0.0
17,311,Midwest,Petroleum_coke,Other,Process Heating,0.0
18,311,Northeast,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
19,311,Northeast,Petroleum_coke,Other,Conventional Boiler Use,0.0
20,311,Northeast,Petroleum_coke,Other,Process Heating,0.0
21,311,South,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
22,311,South,Petroleum_coke,Other,Conventional Boiler Use,0.0
23,311,South,Petroleum_coke,Other,Process Heating,0.0
24,311,US,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
25,311,US,Petroleum_coke,Other,Conventional Boiler Use,0.0
26,311,US,Petroleum_coke,Other,Process Heating,0.0
27,311,West,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
28,311,West,Petroleum_coke,Other,Conventional Boiler Use,0.0
29,311,West,Petroleum_coke,Other,Process Heating,0.0
30,311,Midwest,Waste_oils_tars_waste_materials,Other,CHP and/or Cogeneration Process,0.03461538429796344
31,311,Midwest,Waste_oils_tars_waste_materials,Other,Conventional Boiler Use,0.003846153810884826
32,311,Midwest,Waste_oils_tars_waste_materials,Other,Process Heating,0.0
33,311,Northeast,Waste_oils_tars_waste_materials,Other,CHP and/or Cogeneration Process,0.07500000093132259
34,311,Northeast,Waste_oils_tars_waste_materials,Other,Conventional Boiler Use,0.00833333343681362
35,311,Northeast,Waste_oils_tars_waste_materials,Other,Process Heating,0.0
36,311,South,Waste_oils_tars_waste_materials,Other,CHP and/or Cogeneration Process,0.0007371007480753984
37,311,South,Waste_oils_tars_waste_materials,Other,Conventional Boiler Use,8.190008311948871e-05
38,311,South,Waste_oils_tars_waste_materials,Other,Process Heating,0.0
39,311,US,Waste_oils_tars_waste_materials,Other,CHP and/or Cogeneration Process,0.0057324840764331215
40,311,US,Waste_oils_tars_waste_materials,Other,Conventional Boiler Use,0.0006369426751592357
41,311,US,Waste_oils_tars_waste_materials,Other,Process Heating,0.0
42,311,West,Waste_oils_tars_waste_materials,Other,CHP and/or Cogeneration Process,0.0
43,311,West,Waste_oils_tars_waste_materials,Other,Conventional Boiler Use,0.0
44,311,West,Waste_oils_tars_waste_materials,Other,Process Heating,0.0
45,311,Midwest,Biomass,Other,CHP and/or Cogeneration Process,0.0761538471061097
46,311,Midwest,Biomass,Other,Conventional Boiler Use,0.008461538567345522
47,311,Midwest,Biomass,Other,Process Heating,0.0
48,311,Northeast,Biomass,Other,CHP and/or Cogeneration Process,0.15000000186264517
49,311,Northeast,Biomass,Other,Conventional Boiler Use,0.01666666687362724
50,311,Northeast,Biomass,Other,Process Heating,0.0
51,311,South,Biomass,Other,CHP and/or Cogeneration Process,0.6346437233887248
52,311,South,Biomass,Other,Conventional Boiler Use,0.07051596926541386
53,311,South,Biomass,Other,Process Heating,0.0
54,311,US,Biomass,Other,CHP and/or Cogeneration Process,0.5331210191082802
55,311,US,Biomass,Other,Conventional Boiler Use,0.05923566878980892
56,311,US,Biomass,Other,Process Heating,0.0
57,311,West,Biomass,Other,CHP and/or Cogeneration Process,0.45
58,311,West,Biomass,Other,Conventional Boiler Use,0.05
59,311,West,Biomass,Other,Process Heating,0.0
60,311,Midwest,Steam,Other,CHP and/or Cogeneration Process,0.7200000000000001
61,311,Midwest,Steam,Other,Conventional Boiler Use,0.08000000000000002
62,311,Midwest,Steam,Other,Process Heating,0.0
63,311,Northeast,Steam,Other,CHP and/or Cogeneration Process,0.5999999962747097
64,311,Northeast,Steam,Other,Conventional Boiler Use,0.06666666625274552
65,311,Northeast,Steam,Other,Process Heating,0.0
66,311,South,Steam,Other,CHP and/or Cogeneration Process,0.24987716112136502
67,311,South,Steam,Other,Conventional Boiler Use,0.027764129013485003
68,311,South,Steam,Other,Process Heating,0.0
69,311,US,Steam,Other,CHP and/or Cogeneration Process,0.3267515923566879
70,311,US,Steam,Other,Conventional Boiler Use,0.03630573248407643
71,311,US,Steam,Other,Process Heating,0.0
72,311,West,Steam,Other,CHP and/or Cogeneration Process,0.27
73,311,West,Steam,Other,Conventional Boiler Use,0.03
74,311,West,Steam,Other,Process Heating,0.0
75,312,Midwest,Waste_gas,Other,CHP and/or Cogeneration Process,0.0
76,312,Midwest,Waste_gas,Other,Conventional Boiler Use,0.0
77,312,Midwest,Waste_gas,Other,Process Heating,0.0
78,312,Northeast,Waste_gas,Other,CHP and/or Cogeneration Process,0.9
79,312,Northeast,Waste_gas,Other,Conventional Boiler Use,0.1
80,312,Northeast,Waste_gas,Other,Process Heating,0.0
81,312,South,Waste_gas,Other,CHP and/or Cogeneration Process,0.04090909146326632
82,312,South,Waste_gas,Other,Conventional Boiler Use,0.0045454546070295915
83,312,South,Waste_gas,Other,Process Heating,0.0
84,312,US,Waste_gas,Other,CHP and/or Cogeneration Process,0.022499999916180968
85,312,US,Waste_gas,Other,Conventional Boiler Use,0.0024999999906867745
86,312,US,Waste_gas,Other,Process Heating,0.0
87,312,West,Waste_gas,Other,CHP and/or Cogeneration Process,0.04500000067055226
88,312,West,Waste_gas,Other,Conventional Boiler Use,0.005000000074505806
89,312,West,Waste_gas,Other,Process Heating,0.0
90,312,Midwest,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
91,312,Midwest,Petroleum_coke,Other,Conventional Boiler Use,0.0
92,312,Midwest,Petroleum_coke,Other,Process Heating,0.0
93,312,Northeast,Petroleum_coke,Other,CHP and/or Cogeneration Process,0.0
94,312,Northeast,Petroleum_coke,Other,Conventional Boiler Use,0.0
95,312,Northeast,Petroleum_coke,Other,Process Heating,0.0
