State,Data Item,Value
ALABAMA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,430"
ALABAMA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,590"
ARIZONA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,600"
ARIZONA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",7600
ARKANSAS,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,850"
ARKANSAS,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,610"
CALIFORNIA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","12,830"
CALIFORNIA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,010"
COLORADO,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,160"
COLORADO,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",845
DELAWARE,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","8,600"
FLORIDA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,190"
FLORIDA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","5,360"
GEORGIA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,210"
GEORGIA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,730"
IDAHO,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,930"
IDAHO,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,560"
ILLINOIS,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,300"
ILLINOIS,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,170"
INDIANA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","6,210"
INDIANA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,450"
IOWA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,260"
IOWA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,720"
KANSAS,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,160"
KANSAS,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,390"
KENTUCKY,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,300"
KENTUCKY,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,030"
LOUISIANA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,880"
LOUISIANA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,830"
MARYLAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,370"
MARYLAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE", (D)
MICHIGAN,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,500"
MICHIGAN,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,590"
MINNESOTA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,810"
MINNESOTA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,700"
MISSISSIPPI,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,080"
MISSISSIPPI,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,430"
MISSOURI,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,490"
MISSOURI,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,980"
MONTANA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","1,040"
MONTANA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",680
NEBRASKA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,390"
NEBRASKA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,050"
NEVADA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE", (D)
NEVADA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE", (D)
NEW JERSEY,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","13,700"
NEW JERSEY,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","13,400"
NEW MEXICO,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","1,550"
NEW MEXICO,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",417
NEW YORK,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,810"
NEW YORK,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,530"
NORTH CAROLINA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,180"
NORTH CAROLINA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","4,810"
NORTH DAKOTA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","1,920"
NORTH DAKOTA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",820
OHIO,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","6,400"
OHIO,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,350"
OKLAHOMA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","1,670"
OKLAHOMA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,460"
OREGON,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,080"
OREGON,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",750
OTHER STATES,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,900"
OTHER STATES,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","6,530"
PENNSYLVANIA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","7,030"
PENNSYLVANIA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,290"
SOUTH CAROLINA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,830"
SOUTH CAROLINA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,240"
SOUTH DAKOTA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,130"
SOUTH DAKOTA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,050"
TENNESSEE,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,910"
TENNESSEE,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","3,860"
TEXAS,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","1,930"
TEXAS,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,660"
UTAH,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,970"
UTAH,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","1,240"
VIRGINIA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,720"
VIRGINIA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","4,020"
WASHINGTON,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","2,630"
WASHINGTON,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",766
WEST VIRGINIA,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","3,280"
WEST VIRGINIA,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,120"
WISCONSIN,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","4,850"
WISCONSIN,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","2,310"
WYOMING,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","1,520"
WYOMING,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",575
