,Lifetime,Nominal Discount Rate,O&M Escalation Rate,Fuel Escalation Rate,Capital Cost,Operating Cost,Capital Multiplier,Operating Multiplier,Fuel Price,LCOH Value US c/kwh
0,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1,1,2.56,2.4346967336315037
0,35,0.14729132998068606,0.007057711013932835,0.016025070281709002,3141680.7426907024,443301.79532842315,2.7483202571561485,2.216723250686082,5.308740283215631,4.283935965796866
1,38,0.1334392785528044,0.01341537308230822,0.01755006905762925,3141680.7426907024,443301.79532842315,2.2394326588236684,1.711467828431212,4.499161677780197,3.5659924351883427
2,37,0.1379054946145522,0.02805736871639128,0.0268782048717866,3141680.7426907024,443301.79532842315,1.1441217396587207,3.02610472089749,6.79387428003553,5.371946399396081
3,25,0.05483903825819251,0.028866273952258454,0.0014970135239937832,3141680.7426907024,443301.79532842315,1.1355255354285725,2.6834817674972964,6.615254619138273,4.3415468014116225
4,39,0.13763293755849043,1.6773491207725533e-05,0.02557797958202927,3141680.7426907024,443301.79532842315,1.2333179929102553,1.0861504161489481,5.7233686670548956,3.8464914697429444
5,36,0.0760715328717533,0.002003208660646464,0.028694759393786674,3141680.7426907024,443301.79532842315,1.5839023328024493,1.2111731704062363,6.771494636019073,4.9055586460099025
6,35,0.07805401284448764,0.0092156498144323,0.028833870560646343,3141680.7426907024,443301.79532842315,2.147569697714664,1.871409406767702,7.016073706821128,5.407785886113723
7,35,0.09854992705163446,0.01973660808702039,0.0068181645023583605,3141680.7426907024,443301.79532842315,1.7143480122574504,1.189618493330347,6.954137229976192,4.107298112062377
8,38,0.06191157331618801,0.004951992677931229,0.005553437441086711,3141680.7426907024,443301.79532842315,1.918078717697544,2.0899142712321295,3.336140491512229,2.5786728639397447
9,25,0.05968964930807035,0.021388363977884725,0.002664475113344443,3141680.7426907024,443301.79532842315,1.7663228849042056,1.5484103441924506,6.534750715208361,3.8590061362113293
10,29,0.0567327753914806,0.027142129510201885,0.006309884282262492,3141680.7426907024,443301.79532842315,2.364169125411977,2.724776074996778,6.690721152673806,4.744489696347784
11,37,0.1311102481035274,0.008587131583033236,0.016145951252134288,3141680.7426907024,443301.79532842315,1.7896268708649066,1.035455767425033,5.356557020493856,3.564824651629571
12,33,0.14461736811682574,0.012021593963875418,0.005913701173867596,3141680.7426907024,443301.79532842315,1.2569083672328132,1.0470606378916272,5.697617243757402,3.3848754648168526
13,26,0.05887725391493002,0.005222913323769904,0.015981620750695084,3141680.7426907024,443301.79532842315,2.3340681901805214,1.4988982942063127,3.0415088694240002,2.456656468304396
14,31,0.14431815235358392,0.021339564420944174,0.01576610860101888,3141680.7426907024,443301.79532842315,2.892762771559248,1.4559606282760944,4.061163798411088,3.4808813281666184
15,38,0.0965068059923687,0.016610517059661895,0.02026018495981315,3141680.7426907024,443301.79532842315,2.331013713994828,3.962076256284449,5.475667411493649,5.0520869241225395
16,35,0.06239894391498449,0.011201104504638895,0.012902096140429618,3141680.7426907024,443301.79532842315,3.7244532832407504,1.3311634102912113,4.351869629281608,3.2738809291616073
17,27,0.12184004295944324,0.00398280950382095,0.02492754192399044,3141680.7426907024,443301.79532842315,1.0601283564465942,1.0121836772853197,6.35290166920542,4.0580113904239425
18,29,0.1059784091276263,0.0043455218640973,0.018499878655265395,3141680.7426907024,443301.79532842315,1.0223568745463778,2.6333833817154146,2.809145038767094,2.6141962597533657
19,38,0.05381519537463978,0.021880564733849275,0.005021339918313577,3141680.7426907024,443301.79532842315,1.3274806244448842,2.898925997799431,3.445886833364052,3.119651263537919
20,29,0.09930845811863241,0.02540730840009518,0.026678080865144747,3141680.7426907024,443301.79532842315,1.2746679265485246,1.1022624229824598,7.144245188964431,4.7953226182112285
21,27,0.09370975228910863,0.007805437441821825,0.0049180136872942525,3141680.7426907024,443301.79532842315,1.8907246345079671,2.1157549197907053,7.096306547178235,4.408763070329857
