,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CE INDEX,,,,,,,,,218.8,238.7,261.1,297,314,317,322.6,325.3,318.3,323.7,342.4,355.5,357.6,361.3,358.2,359.2,368.1,381.1,381.7,386.5,389.5,390.6,394.1,394.3,395.6,402,444.237,468.2,499.6,525.4,575.4,521.9,550.8,585.7,584.6,567.3,576.1,556.8,541.7,567.5,603.1,
Equipment,,,,,,,,,240.2,264.7,291.8,323.9,336.2,335.9,343.9,347.1,336.2,343.8,372.6,391.1,392.2,397,392.2,391.3,406.9,427.3,427.4,433.2,436,435.5,438,437.3,437.5,445.1,508.111,543.7,588,624.4,696.8,615.7,659.4,712.9,712.5,686.9,699.4,670.3,646.7,684.4,734.1,
Heat Exchangers and Tanks,,,,,,,,,238.6,261.6,291.6,321.8,326.3,327.3,334.2,336.3,314.5,321.5,357.1,373.4,370.9,369.1,361.3,359.5,367.5,391.2,387.1,385.3,382.8,371.2,370.6,363.9,356.9,363.6,464.826,513.9,548,592.1,687.6,558.3,610.4,674.7,661.7,623,640.7,598.4,557.1,599.9,649.6,
Process Machinery,,,,,,,,,228.3,249.9,271.8,301.5,312.3,322.3,329,332.2,327.7,333,345.6,359.3,366.3,375.4,378.2,392.2,393.5,408.6,415.5,424.8,430.8,433.6,439.4,439.5,444.2,450.3,490.979,519.7,549.7,598.3,643.4,598.6,622.5,666.7,668.7,654.7,665.3,660.2,653.2,681.9,718.4,
"Pipe, valves and fittings",,,,,,,,,269.4,300.3,330,360.1,383.2,366.5,381.1,384.9,374.4,388.3,431.1,463.6,469.8,481.1,468,457.9,494.7,520.7,513.7,532.8,534.8,531.6,545.9,548.1,555.8,570.7,600.618,623.7,708,733.6,827.6,760.7,824.4,889.2,913.7,874,877.4,832.3,810,878.1,957.2,
Process Instruments,,,,,,,,,215.9,231.5,249.5,287.9,297.6,308.4,319.1,322.8,324,329.9,341.9,352.3,353.3,353.8,356.7,376.1,365.4,377.7,372.1,371.5,365.3,363.5,368.5,362.9,363.5,363.4,374.326,381.8,420.1,425.2,434.6,397.4,422.2,437.8,425.8,412.2,411.8,396.1,387.1,405.7,420.6,
Pumps and Compressors,,,,,,,,,257.5,280.3,330.2,388.5,412.2,412.2,413.1,419.3,422.4,430.2,450.6,482.8,502.9,531,552.6,550.9,584.2,600.8,614.5,632.2,648.5,658.4,665.3,683.2,699.2,705.4,719.427,752.5,785.7,831.2,871.7,897.3,902.6,903.6,920.1,921.3,937.7,956.2,970,983.5,1023.5,
Electrical equipment,,,,,,,,,167.7,183.2,206.1,222.4,235.4,242.7,247.9,251.8,251.9,256.1,269.5,286.4,297.1,304.2,307.8,313,315.3,326.9,332.1,331.9,333.6,335.8,339.4,341.2,341.4,341.6,351.007,372.1,403.1,430.5,458.5,461.5,478.8,506.3,512.5,513.4,515.5,511.5,509.6,518.2,540.6,
Structural supports,,,,,,,,,248.8,273.5,297.7,322,338.4,338.4,343.2,346.8,342.2,344.6,370.4,371.3,349.4,344.7,329.6,344.1,346.1,363.7,376,377.6,394.3,413.1,408.7,413.9,415.4,428.6,537.493,584.8,625.3,662.6,748.6,629.2,680,755,754.6,741,767.6,734.2,706.9,735.3,799.8,
Construction Labor,,,,,,,,,185.8,194.8,204.3,242.4,263.9,267.5,264.5,265.5,263,262.5,265.6,270.4,271.4,274.8,273,270.9,272.9,274.3,277.5,281.9,287.4,292.5,299.2,302.3,305.8,309.3,307.756,305.6,309.3,315.1,321.7,327.3,328.9,327.5,322.6,319.6,321.3,322.1,325.4,328,334.7,
