,Lifetime,Nominal Discount Rate,O&M Escalation Rate,Fuel Escalation Rate,Capital Cost,Operating Cost,Capital Multiplier,Operating Multiplier,Fuel Price,LCOH Value US c/kwh
0,20,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1,1,2.56,4.015957634942896
0,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
1,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
2,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
3,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
4,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
5,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
6,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
7,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
8,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
9,25,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.022847321211363
10,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
11,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
12,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
13,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
14,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
15,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
16,26,0.15,0.02,0.014499999999999999,13476503.673956115,5053688.877733542,1.0,1.0,2.56,4.024852378475876
