percent,energy,multiplier
2.815533981,4960,5.166666667
3.398058252,4560,4.75
3.980582524,4120,4.291666667
4.854368932,3760,3.916666667
5.72815534,3480,3.625
6.893203883,3160,3.291666667
8.349514563,2920,3.041666667
10.38834951,2640,2.75
12.13592233,2440,2.541666667
13.59223301,2320,2.416666667
15.9223301,2160,2.25
18.25242718,2040,2.125
20.87378641,1920,2
23.2038835,1840,1.916666667
25.53398058,1760,1.833333333
28.44660194,1680,1.75
30.77669903,1600,1.666666667
33.68932039,1520,1.583333333
36.31067961,1480,1.541666667
40.38834951,1400,1.458333333
44.17475728,1360,1.416666667
47.96116505,1320,1.375
52.33009709,1280,1.333333333
57.86407767,1200,1.25
64.85436893,1160,1.208333333
72.7184466,1080,1.125
79.41747573,1040,1.083333333
86.11650485,1000,1.041666667
91.65048544,1000,1.041666667
97.47572816,960,1
100,960,1
