,Lifetime,Nominal Discount Rate,O&M Escalation Rate,Fuel Escalation Rate,Capital Cost,Operating Cost,Capital Multiplier,Operating Multiplier,Fuel Price,LCOH Value US c/kwh
0,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1,1,2.56,1.9536148433185911
0,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
1,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
2,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
3,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
4,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
5,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
6,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
7,20,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9536148433185911
8,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
9,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
10,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
11,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
12,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
13,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
14,21,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9542407118228085
15,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
16,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
17,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
18,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
19,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
20,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
21,22,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9550105321206477
22,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
23,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
24,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
25,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
26,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
27,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
28,23,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9558764684129277
29,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
30,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
31,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
32,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
33,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
34,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
35,24,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9568013355279554
36,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
37,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
38,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
39,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
40,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
41,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
42,25,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9577563500110688
43,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
44,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
45,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
46,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
47,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
48,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
49,26,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9587193877493199
50,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
51,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
52,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
53,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
54,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
55,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
56,27,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9596736202488867
57,28,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9606064379119537
58,28,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9606064379119537
59,28,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9606064379119537
60,28,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9606064379119537
61,28,0.15,0.02,0.014499999999999999,3141680.7426907024,443301.79532842315,1.0,1.0,2.56,1.9606064379119537
