County,Price Per Acre
1001,40800
1003,108500
1005,24600
1007,14700
1009,15400
1013,14900
1015,25400
1017,15800
1019,46100
1021,19900
1025,14300
1029,9000
1031,43100
1033,55100
1037,22300
1039,23900
1043,31900
1045,14800
1047,18000
1049,15600
1051,65900
1053,22900
1055,33200
1057,12300
1059,16000
1061,10000
1065,16700
1067,44400
1069,31400
1071,19600
1073,101200
1077,35600
1079,14200
1081,52600
1083,53300
1089,58800
1091,25000
1093,9600
1095,29200
1097,67300
1099,16000
1101,78900
1103,40500
1107,12500
1109,39800
1111,72500
1113,23600
1115,33000
1117,75500
1121,23800
1123,131900
1125,45000
1127,19200
1129,7600
1133,75000
2020,330600
2050,129800
2090,39000
2110,313200
2122,48900
2130,191900
2150,180500
2170,40200
2220,370000
2261,86700
4001,29300
4003,61900
4005,214300
4007,85000
4009,52400
4012,160400
4013,237000
4015,80600
4017,61100
4019,162900
4021,110400
4023,42700
4025,88100
4027,170100
5001,41400
5003,15800
5005,32500
5007,59600
5009,20800
5015,29500
5017,38200
5019,10600
5023,36500
5027,24800
5031,36700
5033,22200
5035,72400
5037,28100
5041,9800
5043,17000
5045,34600
5047,13500
5049,9900
5051,56800
5053,17200
5055,38100
5057,18500
5059,10300
5061,14800
5063,21000
5069,20700
5071,11700
5083,14400
5085,26600
5089,19700
5091,36200
5093,23700
5111,20100
5115,16300
5119,101600
5121,10100
5123,12100
5125,30600
5131,43900
5135,17500
5137,18600
5139,33500
5141,26800
5143,59100
5145,29800
5149,9200
6001,1767400
6003,186900
6005,52700
6007,142500
6009,71500
6011,98400
6013,841700
6015,62200
6017,193500
6019,206600
6021,84900
6023,289500
6025,110600
6027,287400
6029,150100
6031,138100
6033,58100
6035,28700
6037,1655400
6039,82300
6041,1665200
6043,58400
6045,136200
6047,96100
6051,431900
6053,688300
6055,609300
6057,157700
6059,2388200
6061,288100
6063,119500
6065,291600
6067,361700
6069,393500
6071,273500
6073,925600
6075,9200400
6077,261200
6079,627400
6081,3079600
6083,983900
6085,3093100
6087,1029600
6089,105100
6091,70700
6093,43500
6095,382900
6097,501100
6099,220200
6101,138000
6103,62200
6105,67900
6107,140500
6109,64800
6111,1058100
6113,642000
6115,85400
8001,233900
8005,328800
8007,51300
8013,600600
8014,449000
8015,123200
8019,78500
8027,35900
8029,64800
8031,844100
8035,368900
8037,624700
8039,69900
8041,218500
8043,55100
8045,206500
8047,48200
8049,192400
8051,203000
8053,114300
8059,311700
8063,33100
8065,101000
8067,226500
8069,226600
8075,67100
8077,146500
8081,112100
8083,87700
8085,75000
8087,68000
8091,161800
8093,33200
8095,49600
8097,3004300
8101,50800
8107,495200
8113,1006800
8117,471400
8119,53000
8123,150300
9001,452700
9003,151300
9005,102500
9007,161100
9009,178300
9011,144600
9013,81700
9015,55900
10001,122300
10003,207100
10005,241500
11001,3448300
12001,85300
12003,27000
12005,115700
12007,21900
12009,125200
12011,428300
12015,123700
12017,33900
12019,68500
12021,478500
12023,20500
12027,21900
12031,147900
12033,93400
12035,98000
12037,163600
12039,16500
12041,31600
12043,44600
12045,99400
12051,25700
12053,41600
12055,44900
