DATE,WPU061
1/1/1933,17.4
2/1/1933,17.4
3/1/1933,17.2
4/1/1933,17.2
5/1/1933,17.3
6/1/1933,17.3
7/1/1933,17.2
8/1/1933,17.2
9/1/1933,17.2
10/1/1933,17.2
11/1/1933,17.4
12/1/1933,17.4
1/1/1934,17.4
2/1/1934,17.4
3/1/1934,17.4
4/1/1934,17.3
5/1/1934,17.3
6/1/1934,17.3
7/1/1934,17.1
8/1/1934,17.2
9/1/1934,17.2
10/1/1934,17.2
11/1/1934,17.2
12/1/1934,17.3
1/1/1935,17.3
2/1/1935,17.4
3/1/1935,17.4
4/1/1935,17.4
5/1/1935,17.5
6/1/1935,17.5
7/1/1935,17.5
8/1/1935,17.9
9/1/1935,17.9
10/1/1935,17.9
11/1/1935,17.9
12/1/1935,17.9
1/1/1936,17.8
2/1/1936,17.8
3/1/1936,17.6
4/1/1936,17.6
5/1/1936,17.5
6/1/1936,17.5
7/1/1936,17.4
8/1/1936,17.3
9/1/1936,17.3
10/1/1936,17.4
11/1/1936,17.3
12/1/1936,17.4
1/1/1937,17.4
2/1/1937,17.6
3/1/1937,17.6
4/1/1937,17.6
5/1/1937,17.6
6/1/1937,17.6
7/1/1937,17.8
8/1/1937,17.5
9/1/1937,17.5
10/1/1937,17.4
11/1/1937,17.4
12/1/1937,17.4
1/1/1938,17.4
2/1/1938,17.4
3/1/1938,17.3
4/1/1938,17.3
5/1/1938,17.2
6/1/1938,17.2
7/1/1938,17.2
8/1/1938,17.1
9/1/1938,17.1
10/1/1938,17.1
11/1/1938,17
12/1/1938,17
1/1/1939,17
2/1/1939,16.9
3/1/1939,16.8
4/1/1939,16.8
5/1/1939,16.8
6/1/1939,16.7
7/1/1939,16.7
8/1/1939,16.7
9/1/1939,16.8
10/1/1939,17
11/1/1939,17
12/1/1939,17
1/1/1940,17
2/1/1940,17
3/1/1940,17
4/1/1940,16.9
5/1/1940,17
6/1/1940,17
7/1/1940,16.9
8/1/1940,16.8
9/1/1940,16.8
10/1/1940,16.9
11/1/1940,17
12/1/1940,17
1/1/1941,17
2/1/1941,17.1
3/1/1941,17.1
4/1/1941,17.2
5/1/1941,17.3
6/1/1941,17.3
7/1/1941,17.4
8/1/1941,17.4
9/1/1941,17.6
10/1/1941,17.6
11/1/1941,17.6
12/1/1941,17.6
1/1/1942,18.9
2/1/1942,19.2
3/1/1942,19.2
4/1/1942,19.2
5/1/1942,19.2
6/1/1942,19.2
7/1/1942,19.2
8/1/1942,19.2
9/1/1942,19.2
10/1/1942,19.2
11/1/1942,19.2
12/1/1942,19.1
1/1/1943,19.3
2/1/1943,19.3
3/1/1943,19.2
4/1/1943,19.2
5/1/1943,19.2
6/1/1943,19.2
7/1/1943,19.2
8/1/1943,19.2
9/1/1943,19.2
10/1/1943,19.2
11/1/1943,19.2
12/1/1943,19.2
1/1/1944,19.2
2/1/1944,19.2
3/1/1944,19.2
4/1/1944,19.2
5/1/1944,19.2
6/1/1944,19.2
7/1/1944,19.2
8/1/1944,19.2
9/1/1944,19.1
10/1/1944,19.1
11/1/1944,19
12/1/1944,19
1/1/1945,19
2/1/1945,19
3/1/1945,19
4/1/1945,19
5/1/1945,19
6/1/1945,19.1
7/1/1945,19.1
8/1/1945,19.1
9/1/1945,19.1
10/1/1945,19.2
11/1/1945,19.3
12/1/1945,19.3
1/1/1946,19.3
2/1/1946,19.3
3/1/1946,19.3
4/1/1946,19.3
5/1/1946,19.5
6/1/1946,19.5
7/1/1946,19.6
8/1/1946,19.6
9/1/1946,19.6
10/1/1946,19.7
11/1/1946,21.2
12/1/1946,22.2
1/1/1947,22.5
2/1/1947,22.7
3/1/1947,23
4/1/1947,23.6
5/1/1947,23.3
6/1/1947,23.4
7/1/1947,23.2
8/1/1947,22.8
9/1/1947,23
10/1/1947,23.6
11/1/1947,24.1
12/1/1947,24.2
1/1/1948,24.5
2/1/1948,24.7
3/1/1948,24.8
4/1/1948,24.9
5/1/1948,24.8
6/1/1948,24.8
7/1/1948,25.2
8/1/1948,24.9
9/1/1948,24.8
10/1/1948,24.9
11/1/1948,24.4
12/1/1948,24.1
1/1/1949,23.9
2/1/1949,23.3
3/1/1949,23
4/1/1949,22.6
5/1/1949,22.5
6/1/1949,22.4
7/1/1949,22.5
8/1/1949,22.5
9/1/1949,22.4
10/1/1949,22.3
11/1/1949,22.2
12/1/1949,22.2
1/1/1950,22.3
2/1/1950,22.3
3/1/1950,22.2
4/1/1950,22.4
5/1/1950,22.4
6/1/1950,22.7
7/1/1950,23.1
8/1/1950,23.7
9/1/1950,24.8
10/1/1950,26.1
11/1/1950,26.3
12/1/1950,27.5
1/1/1951,28.3
2/1/1951,28.4
3/1/1951,28.4
4/1/1951,28.5
5/1/1951,28.5
6/1/1951,28.5
7/1/1951,28.4
8/1/1951,28.4
9/1/1951,28.4
10/1/1951,28.5
11/1/1951,28.5
12/1/1951,28.4
1/1/1952,27.8
2/1/1952,27.7
3/1/1952,27.5
4/1/1952,27.5
5/1/1952,27.1
6/1/1952,27.1
7/1/1952,27
8/1/1952,27
9/1/1952,26.9
10/1/1952,26.8
11/1/1952,26.5
12/1/1952,26.4
1/1/1953,26.5
2/1/1953,26.6
3/1/1953,26.8
4/1/1953,27.5
5/1/1953,27.8
6/1/1953,28.1
7/1/1953,28.3
8/1/1953,28.3
9/1/1953,28.3
10/1/1953,28.2
11/1/1953,28.1
12/1/1953,27.9
1/1/1954,27.9
2/1/1954,27.9
3/1/1954,27.8
4/1/1954,27.7
5/1/1954,27.6
6/1/1954,27.5
7/1/1954,27.6
8/1/1954,27.7
9/1/1954,27.7
10/1/1954,27.7
11/1/1954,27.7
12/1/1954,27.7
1/1/1955,27.6
2/1/1955,27.7
3/1/1955,27.7
4/1/1955,27.8
5/1/1955,27.7
6/1/1955,27.7
7/1/1955,27.9
8/1/1955,27.8
9/1/1955,27.9
10/1/1955,28
11/1/1955,28.1
12/1/1955,28.1
1/1/1956,28.3
2/1/1956,28.3
3/1/1956,28.3
4/1/1956,28.5
5/1/1956,28.4
6/1/1956,28.5
7/1/1956,28.8
8/1/1956,28.8
9/1/1956,28.7
10/1/1956,28.9
11/1/1956,28.8
12/1/1956,28.8
1/1/1957,29.1
2/1/1957,29
3/1/1957,29
4/1/1957,29.1
5/1/1957,29.1
6/1/1957,29.2
7/1/1957,29.1
8/1/1957,29.1
9/1/1957,29.1
10/1/1957,29.1
11/1/1957,29.1
12/1/1957,29.2
1/1/1958,29.2
2/1/1958,29.1
3/1/1958,29.2
4/1/1958,29.3
5/1/1958,29.2
6/1/1958,29.1
7/1/1958,29
8/1/1958,28.9
9/1/1958,28.9
10/1/1958,29.1
11/1/1958,29.1
12/1/1958,29.2
1/1/1959,29.2
2/1/1959,29.2
3/1/1959,29.1
4/1/1959,29.2
5/1/1959,29.2
6/1/1959,29.2
7/1/1959,29.2
8/1/1959,29.2
9/1/1959,29.2
10/1/1959,29.2
11/1/1959,29.2
12/1/1959,29.2
1/1/1960,29.2
2/1/1960,29.3
3/1/1960,29.3
4/1/1960,29.3
5/1/1960,29.4
6/1/1960,29.4
7/1/1960,29.4
8/1/1960,29.4
9/1/1960,29.3
10/1/1960,29.1
11/1/1960,29.1
12/1/1960,29.1
1/1/1961,29
2/1/1961,29
3/1/1961,29
4/1/1961,29
5/1/1961,28.9
6/1/1961,28.8
7/1/1961,28.5
8/1/1961,28.4
9/1/1961,28.4
10/1/1961,28.3
11/1/1961,28.3
12/1/1961,28.3
1/1/1962,28.3
2/1/1962,28.2
3/1/1962,28.1
4/1/1962,28.1
5/1/1962,28.1
6/1/1962,28
7/1/1962,28
8/1/1962,27.9
9/1/1962,27.9
10/1/1962,28
11/1/1962,27.9
12/1/1962,27.9
1/1/1963,28
2/1/1963,27.7
3/1/1963,27.8
4/1/1963,27.7
5/1/1963,27.7
6/1/1963,27.7
7/1/1963,27.6
8/1/1963,27.5
9/1/1963,27.5
10/1/1963,27.4
11/1/1963,27.4
12/1/1963,27.5
1/1/1964,27.5
2/1/1964,27.4
3/1/1964,27.5
4/1/1964,27.5
5/1/1964,27.5
6/1/1964,27.5
7/1/1964,27.5
8/1/1964,27.3
9/1/1964,27.3
10/1/1964,27.5
11/1/1964,27.4
12/1/1964,27.4
1/1/1965,27.5
