SIC,load_factor
262,0.95
281,0.88
2821,0.76
2831,0.87
286,0.91
307,0.75
324,0.86
327,0.71
331,0.83
331,0.83
332,0.72
339,0.58
344,0.49
346,0.67
347,0.52
349,0.58
351,0.62
3533,0.59
356,0.58
371,0.76
20,0.76
22,0.65
23,0.61
24,0.68
25,0.5
26,0.87
27,0.73
28,0.92
29,0.9
30,0.81
31,0.58
32,0.86
33,0.82
34,0.68
35,0.62
36,0.69
37,0.66
38,0.63
39,0.61
