hour,saturday,SIC,sunday,weekday
1,0.61,20,0.54,0.685
10,0.605,20,0.48,0.96
11,0.605,20,0.47,0.975
12,0.605,20,0.47,0.975
13,0.605,20,0.48,0.975
14,0.605,20,0.48,1
15,0.595,20,0.48,0.975
16,0.57,20,0.48,0.95
17,0.55,20,0.48,0.9
18,0.54,20,0.48,0.88
19,0.53,20,0.48,0.87
2,0.6,20,0.52,0.68
20,0.525,20,0.49,0.85
21,0.52,20,0.495,0.85
22,0.515,20,0.505,0.84
23,0.51,20,0.54,0.83
24,0.495,20,0.56,0.8
3,0.58,20,0.551,0.675
4,0.57,20,0.51,0.67
5,0.56,20,0.5,0.7
6,0.56,20,0.495,0.75
7,0.575,20,0.49,0.81
8,0.6,20,0.49,0.9
9,0.605,20,0.485,0.95
1,0.29,22,0.19,0.641
10,0.29,22,0.18,0.98
11,0.29,22,0.18,0.99
12,0.28,22,0.18,0.98
13,0.275,22,0.18,0.97
14,0.27,22,0.18,1
15,0.25,22,0.17,0.96
16,0.24,22,0.17,0.92
17,0.23,22,0.17,0.88
18,0.23,22,0.17,0.84
19,0.22,22,0.17,0.83
2,0.29,22,0.19,0.641
20,0.22,22,0.18,0.82
21,0.22,22,0.19,0.82
22,0.21,22,0.2,0.8
23,0.205,22,0.24,0.76
24,0.19,22,0.29,0.68
3,0.28,22,0.19,0.641
4,0.28,22,0.19,0.641
5,0.28,22,0.19,0.641
6,0.28,22,0.18,0.68
7,0.28,22,0.18,0.72
8,0.28,22,0.18,0.84
9,0.29,22,0.18,0.95
1,0.32,23,0.19,0.51
10,0.43,23,0.25,0.95
11,0.42,23,0.25,0.96
12,0.41,23,0.23,0.96
13,0.4,23,0.21,0.97
14,0.39,23,0.21,0.98
15,0.37,23,0.21,0.97
16,0.32,23,0.195,0.91
17,0.31,23,0.17,0.8
18,0.28,23,0.17,0.71
19,0.28,23,0.17,0.66
2,0.3,23,0.19,0.5
20,0.27,23,0.17,0.64
21,0.27,23,0.2,0.62
22,0.27,23,0.27,0.62
23,0.24,23,0.275,0.6
24,0.21,23,0.325,0.58
3,0.28,23,0.18,0.49
4,0.25,23,0.17,0.48
5,0.25,23,0.17,0.5
6,0.28,23,0.17,0.56
7,0.35,23,0.22,0.74
8,0.4,23,0.24,0.88
9,0.42,23,0.245,0.92
1,0.245,25,0.16,0.3
10,0.72,25,0.2,0.97
11,0.7,25,0.2,0.97
12,0.63,25,0.18,0.92
13,0.61,25,0.17,0.91
14,0.64,25,0.16,0.98
15,0.62,25,0.16,0.96
16,0.51,25,0.16,0.82
17,0.4,25,0.16,0.59
18,0.24,25,0.16,0.46
19,0.22,25,0.16,0.43
2,0.22,25,0.155,0.28
20,0.21,25,0.16,0.42
21,0.21,25,0.16,0.41
22,0.21,25,0.16,0.4
23,0.2,25,0.17,0.38
24,0.19,25,0.19,0.365
3,0.2,25,0.16,0.25
4,0.195,25,0.155,0.24
5,0.21,25,0.155,0.25
6,0.3,25,0.16,0.32
7,0.44,25,0.17,0.6
8,0.62,25,0.19,0.84
9,0.7,25,0.2,0.97
1,0.64,26,0.57,0.95
10,0.61,26,0.57,0.95
11,0.61,26,0.57,0.95
12,0.61,26,0.57,0.95
13,0.61,26,0.57,0.95
14,0.61,26,0.57,0.95
15,0.61,26,0.56,0.95
16,0.6,26,0.56,0.95
17,0.6,26,0.56,0.95
18,0.6,26,0.56,0.96
19,0.6,26,0.56,0.96
2,0.64,26,0.57,0.95
20,0.6,26,0.56,0.96
21,0.6,26,0.56,0.97
22,0.6,26,0.57,0.97
23,0.6,26,0.58,0.97
24,0.59,26,0.6,0.96
3,0.64,26,0.57,0.95
4,0.64,26,0.57,0.95
5,0.63,26,0.57,0.95
6,0.63,26,0.57,0.95
7,0.62,26,0.57,0.95
8,0.62,26,0.57,0.95
9,0.61,26,0.57,0.95
1,0.6,27,0.57,0.71
10,0.62,27,0.46,0.92
11,0.63,27,0.46,0.94
12,0.63,27,0.46,0.94
13,0.61,27,0.46,0.96
14,0.64,27,0.46,1
15,0.61,27,0.45,0.96
16,0.59,27,0.44,0.88
17,0.56,27,0.44,0.86
18,0.54,27,0.44,0.82
19,0.54,27,0.44,0.8
2,0.6,27,0.61,0.71
20,0.54,27,0.45,0.8
21,0.58,27,0.47,0.81
22,0.57,27,0.47,0.81
23,0.57,27,0.48,0.8
24,0.57,27,0.49,0.79
3,0.58,27,0.61,0.68
4,0.56,27,0.56,0.64
5,0.52,27,0.49,0.61
6,0.51,27,0.45,0.61
7,0.52,27,0.44,0.68
8,0.56,27,0.45,0.8
9,0.58,27,0.45,0.87
1,0.78,28,0.76,0.95
10,0.77,28,0.75,0.97
11,0.77,28,0.75,0.97
12,0.78,28,0.75,0.97
13,0.78,28,0.76,0.97
14,0.78,28,0.76,0.97
15,0.78,28,0.76,0.97
16,0.78,28,0.76,0.97
17,0.77,28,0.75,0.97
18,0.77,28,0.75,0.96
19,0.77,28,0.75,0.96
2,0.78,28,0.76,0.95
20,0.77,28,0.75,0.96
21,0.77,28,0.75,0.96
22,0.77,28,0.75,0.96
23,0.77,28,0.75,0.96
24,0.76,28,0.76,0.96
3,0.78,28,0.76,0.95
4,0.78,28,0.76,0.95
5,0.77,28,0.75,0.95
6,0.77,28,0.75,0.95
7,0.76,28,0.75,0.95
8,0.77,28,0.75,0.96
9,0.77,28,0.75,0.97
1,0.65,29,0.65,0.96
10,0.65,29,0.64,0.96
11,0.65,29,0.64,0.96
12,0.65,29,0.64,0.96
13,0.65,29,0.64,0.96
14,0.65,29,0.64,0.96
15,0.65,29,0.64,0.96
16,0.65,29,0.64,0.96
17,0.64,29,0.64,0.95
18,0.64,29,0.64,0.95
19,0.64,29,0.64,0.96
2,0.65,29,0.65,0.96
20,0.65,29,0.65,0.96
21,0.65,29,0.65,0.96
22,0.65,29,0.65,0.96
23,0.65,29,0.65,0.96
24,0.65,29,0.65,0.96
3,0.66,29,0.65,0.96
4,0.65,29,0.65,0.96
5,0.65,29,0.65,0.96
6,0.65,29,0.65,0.96
7,0.65,29,0.64,0.96
8,0.65,29,0.64,0.96
