PRIMARY_NAICS_CODE,month,dayofweek,OP_HOUR,mean,high,low
211111.0,1,saturday,0.0,0.860209,0.8862208,0.83419716
211111.0,1,saturday,1.0,0.8562265,0.8807097,0.8317433
211111.0,1,saturday,2.0,0.8490957,0.8826362,0.8155552
211111.0,1,saturday,3.0,0.84761685,0.88394904,0.81128466
211111.0,1,saturday,4.0,0.8341334,0.92484075,0.743426
211111.0,1,saturday,5.0,0.8507839,0.88448375,0.817084
211111.0,1,saturday,6.0,0.8554255,0.8878957,0.82295525
211111.0,1,saturday,7.0,0.8645269,0.89873356,0.8303203
211111.0,1,saturday,8.0,0.8591347,0.90010154,0.8181678
211111.0,1,saturday,9.0,0.84412515,0.932258,0.7559923
211111.0,1,saturday,10.0,0.84248066,0.885346,0.7996153
211111.0,1,saturday,11.0,0.8330399,0.88314885,0.7829309
211111.0,1,saturday,12.0,0.82762915,0.87813824,0.77712005
211111.0,1,saturday,13.0,0.8296351,0.87856126,0.7807089
211111.0,1,saturday,14.0,0.83276904,0.88321173,0.78232634
211111.0,1,saturday,15.0,0.83773893,0.8839166,0.79156125
211111.0,1,saturday,16.0,0.8456671,0.883312,0.80802226
211111.0,1,saturday,17.0,0.86790496,0.9599815,0.7758284
211111.0,1,saturday,18.0,0.8877217,0.9708358,0.8046076
211111.0,1,saturday,19.0,0.89889026,0.9516747,0.8461058
211111.0,1,saturday,20.0,0.8927813,0.94066477,0.84489787
211111.0,1,saturday,21.0,0.8920928,0.9339833,0.8502023
211111.0,1,saturday,22.0,0.8788646,0.9148189,0.8429103
211111.0,1,saturday,23.0,0.86830616,0.90215874,0.8344536
211111.0,1,sunday,0.0,0.8638783,0.8926459,0.8351107
211111.0,1,sunday,1.0,0.85764855,0.88981986,0.82547724
211111.0,1,sunday,2.0,0.84955376,0.8829796,0.81612796
211111.0,1,sunday,3.0,0.84915996,0.8805936,0.8177263
211111.0,1,sunday,4.0,0.8456722,0.87922806,0.8121163
211111.0,1,sunday,5.0,0.84740555,0.8786057,0.8162054
211111.0,1,sunday,6.0,0.85201794,0.8816199,0.822416
211111.0,1,sunday,7.0,0.8573466,0.88988334,0.82480985
211111.0,1,sunday,8.0,0.84283286,0.8823381,0.8033276
