,NAICS,Description,Utilization Rate,UR_Standard Error,Weekly_op_hours,Hours_Standard Error,Q,Year
0,31-33,All manufacturing 1/,66.170048013,0.9872904949,59.54144300000001,0.8678336073,q1,2010
1,31191,Snack food mfg.,66.595190553,2.8512415263,99.097664,9.5907219108,q1,2010
2,31192,Coffee and tea mfg.,60.224306931,0.3513407164,70.70456,2.9996799873,q1,2010
3,3121,Beverage mfg.,67.699206085,3.3679501832,66.71746,11.233467412,q1,2010
4,3122,Tobacco mfg.,67.356000665,0.1,100.60895,1.5963709898,q1,2010
5,3131,"Fiber, yarn, and thread mills",87.541502599,2.3729657854,134.49776,11.063542846,q1,2010
6,3132,Fabric mills,61.198942103,3.1414211984,81.44747,10.539869237,q1,2010
7,3133,"Textile and fabric finishing, and fabric coating mills",63.120214544,6.7966745664,57.334984,12.214069856,q1,2010
8,3141,Textile furnishings mills,57.074209616,4.0307380148,55.002990000000004,9.865666994,q1,2010
9,3149,Other textile product mills,68.09067711,2.7531694821,53.07069,6.8956259328,q1,2010
10,31511,Hosiery and sock mills,45.659972311,3.4886674281,89.52762,10.957622406,q1,2010
11,31519,Other apparel knitting mills,71.638842138,0.951585978,57.861959999999996,6.0022120001,q1,2010
12,31521,Cut and sew apparel contractors,55.960087409,3.5454093389,39.978120000000004,0.8252934978,q1,2010
13,31522,Men's and boy's cut and sew apparel mfg.,80.605352611,2.5223266699,42.2255,1.6851874154,q1,2010
14,31523,Women's and girl's cut and sew apparel mfg.,81.358841859,3.5292596483,37.00667,2.6347288581,q1,2010
15,31529,Other cut and sew apparel mfg.,68.82610025,0.3857009973,41.553043,0.5946136874,q1,2010
16,3159,Apparel accessories and other apparel mfg.,63.788052371,3.0131825185,40.74212,1.6621489286,q1,2010
17,3161,Leather and hide tanning and finishing,75.687736136,0.4939656492,50.074905,1.220781303,q1,2010
18,3162,Footwear mfg.,64.712677223,1.8406005775,49.61032,2.3488318357,q1,2010
19,3169,Other leather and allied product mfg.,54.924869277,4.6377141847,40.999897,1.1084342605,q1,2010
20,3211,Sawmills and wood preservation,61.673871272,4.5421441049,50.70288,5.9281003541,q1,2010
21,3212,"Veneer, plywood, and engineered wood product mfg.",47.76335017,7.1801772461,48.10566,5.7851880083,q1,2010
22,3219,Other wood product mfg.,54.58354725,7.235964965,41.050391999999995,1.3021325816,q1,2010
23,32211,Pulp mills,87.550543071,0.523559242,144.46143999999998,3.8012600087,q1,2010
24,32212,Paper mills,86.882663118,1.882109878,142.3057,10.444754391,q1,2010
25,32213,Paperboard mills,94.31055051,1.8927988223,91.39628,31.713810922,q1,2010
26,3222,Converted paper product mfg.,67.669544872,2.7366247835,86.20591999999999,6.6204029081,q1,2010
27,3231,Printing and related support activities,47.948920368,6.9091722214,55.580505,3.4233321583,q1,2010
28,32411,Petroleum refineries,82.031316116,3.209546469,158.24286,6.4239103958,q1,2010
29,32511,Petrochemical mfg.,84.866403736,2.5963866326,137.10384,14.93756874,q1,2010
30,325193,Ethyl Alcohol mfg.,93.206173774,3.9104393036,150.12453,7.2803630752,q1,2010
31,325211,Plastics material and resin mfg.,75.306206525,5.5706294387,113.37603,7.7914805509,q1,2010
32,325212,Synthetic rubber mfg.,69.766164527,1.467107161,64.69126,18.928322283,q1,2010
33,32522,Artificial and synthetic fibers and filaments mfg.,84.385289936,2.2931221899,155.68774,3.5559581399,q1,2010
34,32531,Fertilizer mfg.,82.282733594,1.2093980772,82.424225,11.548168061,q1,2010
35,32532,Pesticide and other agricultural chemical mfg.,60.163319182,2.5358496395,44.75581,2.57056063,q1,2010
36,3254,Pharmaceutical and medicine mfg.,67.216405987,4.1106878115,63.221027,7.051813568,q1,2010
37,3255,"Paint, coating, and adhesive mfg.",50.413615898,7.1474705433,47.289707,2.7530003233,q1,2010
38,3256,"Soap, cleaning compound, and toilet preparation mfg.",57.35655573,6.1313279123,47.761837,2.4314065417,q1,2010
