,PRIMARY_NAICS_CODE,month,HEAT_INPUT_MMBtu
0,211111.0,1,0.8343806
1,211111.0,2,0.83748764
2,211111.0,3,0.7063809
3,211111.0,4,0.77757823
4,211111.0,5,0.8004992
5,211111.0,6,0.81644404
6,211111.0,7,0.8552601
7,211111.0,8,0.8744521
8,211111.0,9,0.85579103
9,211111.0,10,0.78383595
10,211111.0,11,0.73436826
11,211111.0,12,0.8348914
12,212210.0,1,0.7956909
13,212210.0,2,0.92921156
14,212210.0,3,0.6883532
15,212210.0,4,0.8087323
16,212210.0,5,0.65052795
17,212210.0,6,0.46992102
18,212210.0,7,0.51150537
19,212210.0,8,0.5774447
20,212210.0,9,0.48692492
21,212210.0,10,0.6448992
22,212210.0,11,0.75946224
23,212210.0,12,0.77160287
24,213112.0,1,0.96116114
25,213112.0,2,0.9491396
26,213112.0,3,0.91804016
27,213112.0,4,0.57813734
28,213112.0,5,0.51953965
29,213112.0,6,0.75440377
30,213112.0,7,0.538449
31,213112.0,8,0.2776862
32,213112.0,9,0.66675293
33,213112.0,10,0.4552306
34,213112.0,11,0.6335875
35,213112.0,12,0.5021927
36,311221.0,1,0.65379
37,311221.0,2,0.6635952
38,311221.0,3,0.6422908
39,311221.0,4,0.5305299
40,311221.0,5,0.6131729
41,311221.0,6,0.6556083
42,311221.0,7,0.64163154
43,311221.0,8,0.71276593
44,311221.0,9,0.6818493
45,311221.0,10,0.62054175
46,311221.0,11,0.5968942
47,311221.0,12,0.6552178
48,311312.0,1,0.0038871944
49,311312.0,9,0.37470424
50,311312.0,10,0.6617935
51,311312.0,11,0.63718027
52,311312.0,12,0.23961228
53,322110.0,4,0.5402778
54,322110.0,5,0.51157254
55,322110.0,6,0.49953422
56,322110.0,7,0.45823202
57,322110.0,8,0.50709945
58,322110.0,9,0.5171735
59,322121.0,1,0.6442358
60,322121.0,2,0.5802022
61,322121.0,3,0.5711272
62,322121.0,4,0.48704553
63,322121.0,5,0.5738324
64,322121.0,6,0.581948
65,322121.0,7,0.56430006
66,322121.0,8,0.55894774
67,322121.0,9,0.55153
68,322121.0,10,0.4676346
69,322121.0,11,0.5127673
70,322121.0,12,0.66640687
71,322122.0,5,0.20308958
72,322122.0,6,0.22564161
73,322122.0,7,0.22062801
74,322122.0,8,0.22953092
75,322122.0,9,0.21296063
76,322130.0,1,0.76505786
77,322130.0,2,0.8004669
78,322130.0,3,0.80365
79,322130.0,4,0.7032004
80,322130.0,5,0.7115952
81,322130.0,6,0.6687351
82,322130.0,7,0.6967637
83,322130.0,8,0.7305173
84,322130.0,9,0.73279566
85,322130.0,10,0.64879584
86,322130.0,11,0.70025486
87,322130.0,12,0.72554666
88,324110.0,1,0.7313284
89,324110.0,2,0.78025377
90,324110.0,3,0.723003
91,324110.0,4,0.7612104
92,324110.0,5,0.6597421
93,324110.0,6,0.7416918
94,324110.0,7,0.7380821
95,324110.0,8,0.72984654
96,324110.0,9,0.7314814
97,324110.0,10,0.71531475
98,324110.0,11,0.74866587
99,324110.0,12,0.7808643
100,324199.0,5,0.60379565
101,324199.0,6,0.5874582
102,324199.0,7,0.7161917
103,324199.0,8,0.66728586
104,324199.0,9,0.62043864
105,325110.0,4,1.0
106,325110.0,5,0.76439047
107,325110.0,6,0.74835736
108,325110.0,7,0.63046
109,325110.0,8,0.64685744
110,325110.0,9,0.77498674
111,325120.0,1,0.6906133
112,325120.0,2,0.7675144
113,325120.0,3,0.7382816
114,325120.0,4,0.76039034
115,325120.0,5,0.74619895
116,325120.0,6,0.7832851
117,325120.0,7,0.80654645
118,325120.0,8,0.80217016
119,325120.0,9,0.71670943
120,325120.0,10,0.67736304
