,carbon_content,carbon_content_uom,facility_id,facility_name,fuel_combusted,fuel_combusted_uom,fuel_type,high_heat_value,high_heat_value_uom,molecular_weight,molecular_weight_uom,month,reporting_year,unit_name
0,0.61,"percent by weight, expressed as a decimal fraction",1006878,American Crystal Sugar Company - Drayton,13672,short tons/month,Subbituminous,,,,,April,2016,BL1
1,0.5329,"percent by weight, expressed as a decimal fraction",1001906,RAYONIER PERFORMANCE FIBERS LLC Fernandina Mill,20811,short tons/month,Wood and Wood Residuals (dry basis),,,,,April,2016,No 6 Power Boiler
2,0.882,"percent by weight, expressed as a decimal fraction",1002172,RAIN CII CARBON LLC,1229.7,short tons/month,Petroleum Coke,,,,,April,2016,AA-001
3,0.3593,"percent by weight, expressed as a decimal fraction",1006024,Duluth Steam One,3545,short tons/month,Subbituminous,,,,,April,2016,GP-1
4,0.900,"percent by weight, expressed as a decimal fraction",1005132,RAIN CII CARBON LLC/CHALMETTE COKE PLANT,340.8,short tons/month,Petroleum Coke,,,,,April,2016,UNF0001/Kiln 1
5,0.902,"percent by weight, expressed as a decimal fraction",1005716,Rain CII CARBON LLC - NORCO COKE PLANT,0,short tons/month,Petroleum Coke,,,,,April,2016,Kiln 1
6,0.7933,"percent by weight, expressed as a decimal fraction",1001644,"METTIKI COAL, LLC",1344,short tons/month,Bituminous,,,,,April,2016,Thermal Dryer
7,0.7355,"percent by weight, expressed as a decimal fraction",1001921,MEDICAL CENTER COMPANY,4967.295,short tons/month,Bituminous,,,,,April,2016,GP-Coal_Boilers
8,0.904,"percent by weight, expressed as a decimal fraction",1005645,Rain CII CARBON LLC - GRAMERCY COKE PLANT,7.4,short tons/month,Petroleum Coke,,,,,April,2016,"GRP 001, Kiln"
9,0.772,"percent by weight, expressed as a decimal fraction",1003048,SAPPI FINE PAPER (S.D. WARREN ) MILL,549.35,short tons/month,Tires,,,,,April,2016,Hogged Fuel Boiler No.2
10,0.772,"percent by weight, expressed as a decimal fraction",1003048,SAPPI FINE PAPER (S.D. WARREN ) MILL,808.25,short tons/month,Tires,,,,,April,2016,Hogged Fuel Boiler No.1
11,0.104100,"percent by weight, expressed as a decimal fraction",1012516,Ingredion Incorporated,75.28,short tons/month,Agricultural Byproducts,,,,,April,2016,Keeler Boiler/ES-62C
12,0.091033,"percent by weight, expressed as a decimal fraction",1012516,Ingredion Incorporated,10235.00,short tons/month,Wood and Wood Residuals (dry basis),,,,,April,2016,Keeler Boiler/ES-62C
13,0.535100,"percent by weight, expressed as a decimal fraction",1012516,Ingredion Incorporated,366.00,short tons/month,Bituminous,,,,,April,2016,Keeler Boiler/ES-62C
14,0.540,"percent by weight, expressed as a decimal fraction",1007985,NATIONAL CEMENT COMPANY INC.,5049,short tons/month,Bituminous,,,,,April,2016,Kiln #1
