,FACILITY_ID,FACILITY_NAME,ADDRESS1,ADDRESS2,CITY,STATE,STATE_NAME,ZIP,COUNTY_FIPS,COUNTY,LATITUDE,LONGITUDE,YEAR,CEMS_USED,PARENT_COMPANY,ADDITIONAL_NAICS_CODES,COGENERATION_UNIT_EMISS_IND,PLANT_CODE_INDICATOR,PRIMARY_NAICS_CODE,SECONDARY_NAICS_CODE,EPA_VERIFIED
0,1000001,PSE Ferndale Generating Station,5105 LAKE TERRELL ROAD,,FERNDALE,WA,WASHINGTON,98248,53073,WHATCOM COUNTY,48.828707,-122.685533,2014,,PUGET SOUND ENERGY (100%),,N,Y,221112,,
1,1000002,Ardagh Glass Inc. (Dunkirk),524 E. CENTER STREET,,DUNKIRK,IN,INDIANA,47336,18075,JAY COUNTY,40.371053,-85.198134,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
2,1000003,Ardagh Glass Inc. (Henderson),620 Facet Road,,Henderson,NC,NORTH CAROLINA,27537,37181,VANCE COUNTY,36.291066,-78.391883,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
3,1000004,Ardagh Glass Inc. (Lincoln),1200 NORTH LOGAN STREET,,LINCOLN,IL,ILLINOIS,62656,17107,LOGAN COUNTY,40.157643,-89.353796,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
4,1000005,Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,,MADERA,CA,CALIFORNIA,93637,06039,MADERA COUNTY,36.92375,-120.10412,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
5,1000006,Ardagh Glass Inc. (Milford),1 NATIONAL STREET,,MILFORD,MA,MASSACHUSETTS,01757,25027,WORCESTER,42.127778,-71.510556,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
6,1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,,BERNALILLO,NM,NEW MEXICO,87004,35043,SANDOVAL,35.329352,-106.525777,2014,,EAGLE MATERIALS INC (100%),,N,Y,327420,,
7,1000010,SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,,MILTON,FL,FLORIDA,32583,12113,SANTA ROSA COUNTY,30.5804,-87.0621,2014,,SANTA ROSA BOARD OF COUNTY COMMISSIONERS (100%),,N,N,562212,,
8,1000011,Central Hudson Gas and Electric Corporation,284 South Avenue,,Poughkeepsie,NY,NEW YORK,12601,36027,DUTCHESS,41.690648,-73.931605,2014,,CENTRAL HUDSON GAS AND ELECTRIC CORPORATION (100%),221210,NA,N,221122,221121,
9,1000015,"TYSON FARMS, INC.",704 FACTORY STREET,,WILKESBORO,NC,NORTH CAROLINA,28697,37193,WILKES COUNTY,36.143889,-81.163333,2014,,"TYSON FOODS, INC (100%)",,NA,N,311615,,
10,1000016,TYSON FARMS INCORPORATED HARMONY,501 SHEFFIELD ROAD,,HARMONY,NC,NORTH CAROLINA,28634,37097,IREDELL COUNTY,35.95458,-80.72108,2014,,"TYSON FOODS, INC (100%)",,N,N,311613,,
11,1000017,BASF CORPORATION,3150 HWY JJ,,PALMYRA,MO,MISSOURI,63461,29127,MARION,39.834118,-91.436791,2014,,BASF CORP (100%),,N,N,325320,,
12,1000019,WESTERN SUGAR COMPANY,2100 E. OVERLAND DR.,,SCOTTSBLUFF,NE,NEBRASKA,69361,31157,SCOTTS BLUFF COUNTY,41.859603,-103.637032,2014,,WESTERN SUGAR COOPERATIVE (100%),,Y,Y,311313,,
13,1000020,Ardagh Glass Inc. (Port Allegany),ONE GLASS PLACE,,PORT ALLEGANY,PA,PENNSYLVANIA,16743,42083,MCKEAN COUNTY,41.81787,-78.28699,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
14,1000021,Ardagh Glass Inc. (Ruston),4241 HIGHWAY 563,,SIMSBORO,LA,LOUISIANA,71275,22061,LINCOLN PARISH,32.546411,-92.763639,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
15,1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,4501 ATTWATER AVENUE,,TEXAS CITY,TX,TEXAS,77590,48167,GALVESTON COUNTY,29.42807,-94.995369,2014,,ASHLAND INC (100%),,N,N,325199,,
16,1000023,Ardagh Glass Inc. (Sapulpa),1000 NORTH MISSION STREET,,SAPULPA,OK,OKLAHOMA,74066,40037,CREEK COUNTY,36.009924,-96.099233,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
17,1000024,Ardagh Glass Inc. (Seattle),5801 EAST MARGINAL WAY SOUTH,,SEATTLE,WA,WASHINGTON,98134,53033,KING COUNTY,47.551767,-122.337152,2014,,ARDAGH HOLDINGS USA INC (100%),,N,N,327213,,
