,carbon_content,carbon_content_uom,facility_id,facility_name,fuel_combusted,fuel_combusted_uom,fuel_type,high_heat_value,high_heat_value_uom,molecular_weight,molecular_weight_uom,month,reporting_year,unit_name
0,0.875,"percent by weight, expressed as a decimal fraction",1005132,RAIN CII CARBON LLC/CHALMETTE COKE PLANT,222.1,short tons/month,Petroleum Coke,,,,,April,2017,UNF0001/Kiln 1
1,0.7955,"percent by weight, expressed as a decimal fraction",1001644,"METTIKI COAL, LLC",1220,short tons/month,Bituminous,,,,,April,2017,Thermal Dryer
2,0.4332,"percent by weight, expressed as a decimal fraction",1004719,CHENA POWER PLANT,1786,short tons/month,Subbituminous,,,,,April,2017,Chena 2
3,0.4332,"percent by weight, expressed as a decimal fraction",1004719,CHENA POWER PLANT,1954,short tons/month,Subbituminous,,,,,April,2017,Chena 3
4,0.4332,"percent by weight, expressed as a decimal fraction",1004719,CHENA POWER PLANT,12131,short tons/month,Subbituminous,,,,,April,2017,Chena 5
5,0.894,"percent by weight, expressed as a decimal fraction",1005645,Rain CII CARBON LLC - GRAMERCY COKE PLANT,6541.5,short tons/month,Petroleum Coke,,,,,April,2017,"GRP 001, Kiln"
6,0.3153,"percent by weight, expressed as a decimal fraction",1003703,UNIVERSITY OF MISSOURI MU POWER PLANT,9591,short tons/month,Wood and Wood Residuals (dry basis),,,,,April,2017,Boiler BFB-1 (EP19)
7,0.534925,"percent by weight, expressed as a decimal fraction",1012516,Ingredion Incorporated,288.0,short tons/month,Bituminous,,,,,April,2017,Keeler Boiler/ES-62C
8,0.741,"percent by weight, expressed as a decimal fraction",1005991,Ahlstrom-Munksjo NA Specialty Solutions LLC,6746,short tons/month,,,,,,April,2017,B26
9,0.656,"percent by weight, expressed as a decimal fraction",1000183,Pixelle Specialty Solutions LLC,946,short tons/month,Tires,,,,,April,2017,B013
10,0.897,"percent by weight, expressed as a decimal fraction",1005939,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,3793.6,short tons/month,Petroleum Coke,,,,,April,2017,Unit 02 Kiln 1
11,0.896,"percent by weight, expressed as a decimal fraction",1005939,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,4205.5,short tons/month,Petroleum Coke,,,,,April,2017,Unit 2 Kiln 2
12,0.6289,"percent by weight, expressed as a decimal fraction",1003703,UNIVERSITY OF MISSOURI MU POWER PLANT,918,short tons/month,Bituminous,,,,,April,2017,"GP-Boilers 789 (EP07, EP08, EP09)"
13,,,1003703,UNIVERSITY OF MISSOURI MU POWER PLANT,,,Bituminous,,,,,April,2017,Boiler 10 (EP10)
14,0.918,"percent by weight, expressed as a decimal fraction",1006015,"United States Pipe and Foundry Company, LLC",2667.333,short tons/month,Coal Coke,,,,,April,2017,Cupola
15,0.60,"percent by weight, expressed as a decimal fraction",1006878,American Crystal Sugar Company - Drayton,16745,short tons/month,Subbituminous,,,,,April,2017,BL1
16,0.086925,"percent by weight, expressed as a decimal fraction",1012516,Ingredion Incorporated,7349.0,short tons/month,Wood and Wood Residuals (dry basis),,,,,April,2017,Keeler Boiler/ES-62C
17,0.103500,"percent by weight, expressed as a decimal fraction",1012516,Ingredion Incorporated,72.5,short tons/month,Agricultural Byproducts,,,,,April,2017,Keeler Boiler/ES-62C
18,0.5254,"percent by weight, expressed as a decimal fraction",1002877,"Barrick Goldstrike Mines, Inc.",20.55,short tons/month,Subbituminous,,,,,April,2017,Roaster 2
19,0.0066,"percent by weight, expressed as a decimal fraction",1002877,"Barrick Goldstrike Mines, Inc.",417311.4,short tons/month,,,,,,April,2017,Roaster 2
20,0.5254,"percent by weight, expressed as a decimal fraction",1002877,"Barrick Goldstrike Mines, Inc.",20.55,short tons/month,Subbituminous,,,,,April,2017,Roaster 1
21,0.0066,"percent by weight, expressed as a decimal fraction",1002877,"Barrick Goldstrike Mines, Inc.",417311.4,short tons/month,,,,,,April,2017,Roaster 1
22,0.8285,"percent by weight, expressed as a decimal fraction",1000348,Resolute FP US Inc. - Catawba Operations,34,short tons/month,Tires,,,,,April,2017,08-2605
23,0.8285,"percent by weight, expressed as a decimal fraction",1000348,Resolute FP US Inc. - Catawba Operations,54,short tons/month,Tires,,,,,April,2017,08-3705
24,0.889,"percent by weight, expressed as a decimal fraction",1005848,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,0,short tons/month,Petroleum Coke,,,,,April,2017,EQT 0003 Kiln 2 Kiln Stack
25,0.889,"percent by weight, expressed as a decimal fraction",1005848,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,0,short tons/month,Petroleum Coke,,,,,April,2017,EQT 0002 Kiln 1 Kiln Stack
26,0.5614,"percent by weight, expressed as a decimal fraction",1007985,NATIONAL CEMENT COMPANY INC.,3802,short tons/month,Bituminous,,,,,April,2017,Kiln #1
27,0.5699,"percent by weight, expressed as a decimal fraction",1005040,Tata Chemicals (Soda Ash) Partners,15734.999,short tons/month,Bituminous,,,,,April,2017,C Boiler (GR-2-L)
28,0.5699,"percent by weight, expressed as a decimal fraction",1005040,Tata Chemicals (Soda Ash) Partners,25265.001,short tons/month,Bituminous,,,,,April,2017,D Boiler (GR-3-W)
29,0.5156,"percent by weight, expressed as a decimal fraction",1006852,Lake Road,9944,short tons/month,Subbituminous,,,,,April,2017,EU-0050
30,0.654,"percent by weight, expressed as a decimal fraction",1003048,SAPPI FINE PAPER (S.D. WARREN ) MILL,1190.86,short tons/month,Tires,,,,,April,2017,Hogged Fuel Boiler No.1
31,0.654,"percent by weight, expressed as a decimal fraction",1003048,SAPPI FINE PAPER (S.D. WARREN ) MILL,1230.14,short tons/month,Tires,,,,,April,2017,Hogged Fuel Boiler No.2
32,0.9177,"percent by weight, expressed as a decimal fraction",1004965,UNITED STATES PIPE & FOUNDRY CO LLC,479.4,short tons/month,Coal Coke,,,,,April,2017,GP-Combustion and Annealing
33,0,"percent by weight, expressed as a decimal fraction",1005707,AMALGAMATED SUGAR CO LLC,0,short tons/month,Bituminous,,,,,April,2017,S-B3
34,0.641,"percent by weight, expressed as a decimal fraction",1007033,"CEMEX de Puerto Rico, Inc.",215,short tons/month,Bituminous,,,,,April,2017,Kiln 1 (Lime Plant)
35,0.890,"percent by weight, expressed as a decimal fraction",1005716,Rain CII CARBON LLC - NORCO COKE PLANT,0,short tons/month,Petroleum Coke,,,,,April,2017,Kiln 1
36,0.891,"percent by weight, expressed as a decimal fraction",1002172,RAIN CII CARBON LLC,72,short tons/month,Petroleum Coke,,,,,April,2017,AA-001
37,0.4332,"percent by weight, expressed as a decimal fraction",1004719,CHENA POWER PLANT,1806,short tons/month,Subbituminous,,,,,April,2017,Chena 1
38,0.898,"percent by weight, expressed as a decimal fraction",1005132,RAIN CII CARBON LLC/CHALMETTE COKE PLANT,203.7,short tons/month,Petroleum Coke,,,,,August,2017,UNF0001/Kiln 1
