,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
0,1000166,2010,KapStone Paper and Packaging Corp,551091.2,175.13,08-PU-012,Chemical Recovery Furnace,29.189,,
1,1000166,2010,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
2,1000183,2010,P H Glatfelter Company - Chillicothe Fac,,,P001,Pulp Mill Lime Kiln,,,
3,1000183,2010,P H Glatfelter Company - Chillicothe Fac,537620,172.1,B011,Chemical Recovery Furnace,28.7,,
4,1000196,2010,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
5,1000196,2010,International Paper - Pensacola Mill,322327.3,102.43,No. 2 Recovery Boiler,Chemical Recovery Furnace,17.07,,
6,1000196,2010,International Paper - Pensacola Mill,344419.9,109.46,#1 Recovery Boiler,Chemical Recovery Furnace,18.24,,
7,1000228,2010,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
8,1000228,2010,International Paper - New Bern Mill,717210.4,227.93,Recovery Furnace,Chemical Recovery Furnace,37.988,,
9,1000229,2010,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
10,1000229,2010,Domtar Paper Company LLC - Plymouth,1087114,345.5,No. 5 Recovery Furnace,Chemical Recovery Furnace,57.58,,
11,1000230,2010,Blue Ridge Paper Products Inc.,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
12,1000230,2010,Blue Ridge Paper Products Inc.,547200.2,174.61,Recovery Furnace No.10,Chemical Recovery Furnace,29.101,,
13,1000230,2010,Blue Ridge Paper Products Inc.,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
14,1000230,2010,Blue Ridge Paper Products Inc.,626413.2,199.89,Recovery Furnace No.11,Chemical Recovery Furnace,33.314,,
15,1000256,2010,"WestRock Virginia, Covington",823616.7,263.37,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,43.895,,
16,1000256,2010,"WestRock Virginia, Covington",521194.7,166.67,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,27.778,,
17,1000256,2010,"WestRock Virginia, Covington",,,No. 1 Lime Kiln REC045,Pulp Mill Lime Kiln,,,
18,1000256,2010,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
19,1000258,2010,International Paper-Franklin Mill,225932.6,72.13,Recovery Boiler 6,Chemical Recovery Furnace,12.02,,
20,1000258,2010,International Paper-Franklin Mill,835.6,.27,Recovery Boiler 5,Chemical Recovery Furnace,0,,
21,1000258,2010,International Paper-Franklin Mill,,,Lime Kiln 3,Pulp Mill Lime Kiln,,,
22,1000258,2010,International Paper-Franklin Mill,,,Lime Kiln 4,Pulp Mill Lime Kiln,,,
23,1000262,2010,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
24,1000262,2010,"WestRock Coated Board, LLC",482591.3,153.53,No 1. Recovery Furnace,Chemical Recovery Furnace,25.59,,
25,1000262,2010,"WestRock Coated Board, LLC",611363.7,194.5,No. 2 Recovery Furnace,Chemical Recovery Furnace,32.416,,
26,1000262,2010,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
27,1000273,2010,"GP Big Island, LLC",61773,18.25,REC 13,Chemical Recovery Combustion Unit,3.042,,
28,1000305,2010,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
29,1000305,2010,Resolute Forest Product - Coosa Pines Operation,395738,125.76,Z003,Chemical Recovery Furnace,20.961,,
30,1000311,2010,Resolute Forest Products Calhoun Operation,652016.2,208.3,No. 3 Recovery Furnace,Chemical Recovery Furnace,34.717,,
31,1000311,2010,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
32,1000319,2010,"WestRock CP, LLC - Florence Mill",777063,247,RF1,Chemical Recovery Furnace,41,,
33,1000319,2010,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
34,1000319,2010,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
35,1000324,2010,Marlboro Paper Mill,773256,246,Recovery Boiler,Chemical Recovery Furnace,41,,
36,1000324,2010,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
37,1000345,2010,"Foley Cellulose, LLC",380226.9,120.83,No. 3 Recovery Boiler,Chemical Recovery Furnace,20.139,,
38,1000345,2010,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
39,1000345,2010,"Foley Cellulose, LLC",392982.2,124.89,No. 2 Recovery Boiler,Chemical Recovery Furnace,20.815,,
40,1000345,2010,"Foley Cellulose, LLC",564072.7,179.26,No. 4 Recovery Boiler,Chemical Recovery Furnace,29.877,,
41,1000348,2010,Resolute FP US Inc. - Catawba Operations,381058.9,121.1,07-2505,Chemical Recovery Furnace,20.183,,
42,1000348,2010,Resolute FP US Inc. - Catawba Operations,728476.6,231.51,07-5105,Chemical Recovery Furnace,38.585,,
43,1000348,2010,Resolute FP US Inc. - Catawba Operations,,,07-2723,Pulp Mill Lime Kiln,,,
44,1000353,2010,Sonoco Products Co.,3972.2,1.15,Chemical Recovery Kiln,Chemical Recovery Combustion Unit,.19,,
45,1000377,2010,International Paper-Courtland Mill,,,Lime Kiln 2,Pulp Mill Lime Kiln,,,
46,1000377,2010,International Paper-Courtland Mill,857655.3,273.75,Recovery 3,Chemical Recovery Furnace,45.62,,
47,1000377,2010,International Paper-Courtland Mill,,,Lime Kiln 1,Pulp Mill Lime Kiln,,,
48,1000377,2010,International Paper-Courtland Mill,654899.1,209.04,Recovery 2,Chemical Recovery Furnace,34.84,,
49,1000377,2010,International Paper-Courtland Mill,,,Lime Kiln 3,Pulp Mill Lime Kiln,,,
50,1000426,2010,KapStone Charleston Kraft LLC,410938.5,131.08,No. 9 Recovery Boiler/REC007,Chemical Recovery Furnace,21.85,,
51,1000426,2010,KapStone Charleston Kraft LLC,560139,178.67,No. 1 Recovery Boiler/REC004,Chemical Recovery Furnace,29.78,,
52,1000426,2010,KapStone Charleston Kraft LLC,,,No. 5 Lime Kiln/CP002,Pulp Mill Lime Kiln,,,
53,1000426,2010,KapStone Charleston Kraft LLC,,,No. 4 Lime Kiln/CP001,Pulp Mill Lime Kiln,,,
54,1000434,2010,International Paper - Vicksburg Mill,,,LK1 (AA003),Pulp Mill Lime Kiln,,,
55,1000434,2010,International Paper - Vicksburg Mill,544410.2,173.46,RB1 (AA005),Chemical Recovery Furnace,28.91,,
56,1000593,2010,VERSO ANDROSCOGGIN LLC,,,B Lime Kiln,Pulp Mill Lime Kiln,,,
57,1000593,2010,VERSO ANDROSCOGGIN LLC,500232,160.8,Recovery Boiler 2,Chemical Recovery Furnace,26.8,,
58,1000593,2010,VERSO ANDROSCOGGIN LLC,,,A Lime Kiln,Pulp Mill Lime Kiln,,,
59,1000593,2010,VERSO ANDROSCOGGIN LLC,347947,111,Recovery Boiler 1,Chemical Recovery Furnace,18.5,,
60,1000602,2010,GRAPHIC PACKAGING INTERNATIONAL INC - WEST MONROE MILL #31,391226.9,124.33,No. 4 Recovery Boiler (L03004/L03005),Chemical Recovery Furnace,20.722,,
61,1000602,2010,GRAPHIC PACKAGING INTERNATIONAL INC - WEST MONROE MILL #31,,,No. 2 Lime Kiln (L04003),Pulp Mill Lime Kiln,,,
62,1000602,2010,GRAPHIC PACKAGING INTERNATIONAL INC - WEST MONROE MILL #31,,,No. 1 Lime Kiln (L04002),Pulp Mill Lime Kiln,,,
63,1000602,2010,GRAPHIC PACKAGING INTERNATIONAL INC - WEST MONROE MILL #31,360847.2,114.68,No. 5 Recovery Boiler (L03007/L03008),Chemical Recovery Furnace,19.113,,
64,1000624,2010,WestRock Tacoma Mill,,,Lime kilns,Pulp Mill Lime Kiln,,,
65,1000624,2010,WestRock Tacoma Mill,625025,199,Recovery Boiler #4,Chemical Recovery Furnace,33,,
66,1000961,2010,DOMTAR PAPER CO LLC HAWESVILLE MILL,587319.8,188.04,No. 4 Recovery Furnace,Chemical Recovery Furnace,31.34,,
67,1000961,2010,DOMTAR PAPER CO LLC HAWESVILLE MILL,,,No. 3 Lime Kiln,Pulp Mill Lime Kiln,,,
68,1000961,2010,DOMTAR PAPER CO LLC HAWESVILLE MILL,339554.6,108.72,No. 3 Recovery Furnace,Chemical Recovery Furnace,18.12,,
69,1001237,2010,Luke Paper Company,,,Lime Kiln,Pulp Mill Lime Kiln,,,
70,1001237,2010,Luke Paper Company,662603.4,158.2,Recovery Boiler #3,Chemical Recovery Furnace,26.4,,
71,1001237,2010,Luke Paper Company,11148.7,2.7,Recovery Boiler #2,Chemical Recovery Furnace,.4,,
72,1001733,2010,International Paper - Red River Mill,711859,226.23,RB3 (NA-41-41),Chemical Recovery Furnace,37.7,,
73,1001733,2010,International Paper - Red River Mill,,,LK (1224-06-06),Pulp Mill Lime Kiln,,,
74,1001807,2010,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",,,D Lime Kiln,Pulp Mill Lime Kiln,,,
75,1001807,2010,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",600306,192,No. 5 Recovery Furnace,Chemical Recovery Furnace,32,,
76,1001807,2010,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",994535,313,No. 6 Recovery Furnace,Chemical Recovery Furnace,52,,
77,1001889,2010,WOODLAND PULP LLC,,,Unit 15,Pulp Mill Lime Kiln,,,
78,1001889,2010,WOODLAND PULP LLC,709985.6,227.32,Unit 02,Chemical Recovery Furnace,37.886,,
79,1001892,2010,"Verso Quinnesec, LLC",727390.1,232.9,Recovery Boiler,Chemical Recovery Furnace,38.8,,
80,1001892,2010,"Verso Quinnesec, LLC",,,Lime Kiln,Pulp Mill Lime Kiln,,,
81,1001906,2010,RAYONIER PERFORMANCE FIBERS LLC Fernandina Mill,254283,83.71,Recovery Boiler,Chemical Recovery Combustion Unit,13.951,,
82,1001995,2010,SAPPI CLOQUET LLC,853471,27,EU 005,Chemical Recovery Furnace,46,,
83,1001995,2010,SAPPI CLOQUET LLC,,,EU 033,Pulp Mill Lime Kiln,,,
84,1002024,2010,KIMBERLY CLARK WORLD WIDE,250902,86,No 10 Recovery Boiler,Chemical Recovery Furnace,14,,
85,1002098,2010,GREEN BAY PACKAGING/ARK KRAFT,,,Unit 2 (#2 Lime Kiln  SN-08),Pulp Mill Lime Kiln,,,
86,1002098,2010,GREEN BAY PACKAGING/ARK KRAFT,404000,128,Unit 1 (Recover Boiler  SN-05A),Chemical Recovery Furnace,21.4,,
87,1002113,2010,International Paper - Pine Hill Mill,,,LK1,Pulp Mill Lime Kiln,,,
