,boiler_heat_uom,boiler_ratio_b,facility_id,facility_name,fuel_type,mass_of_steam,mass_of_steam_uom,month,reporting_year,unit_name
0,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,19031514,pounds steam,April,2014,2
1,mmBtu/pounds steam,0.001712,1006792,SIERRA POWER CORPORATION,Agricultural Byproducts,0,pounds steam,April,2014,Biomass Cogeneration
2,mmBtu/pounds steam,0.00172,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,93771000,pounds steam,April,2014,GP-1
3,mmBtu/pounds steam,0.00146,1000362,CAMDEN CNTY RESOURCE RECOVERY ASSOC,Municipal Solid Waste,164753000,pounds steam,April,2014,GP-Facility Emissions
4,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),18181824,pounds steam,April,2014,2
5,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10163782,pounds steam,April,2014,Unit 2
6,mmBtu/pounds steam,0.001712,1006792,SIERRA POWER CORPORATION,Wood and Wood Residuals (dry basis),0,pounds steam,April,2014,Biomass Cogeneration
7,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9636685.5,pounds steam,April,2014,Unit 1
8,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,14636759,pounds steam,April,2014,1
9,mmBtu/pounds steam,0.001203,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,20763608.6,pounds steam,April,2014,Unit 3
10,mmBtu/pounds steam,0.0013,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,24803400,pounds steam,April,2014,A Boiler
11,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,28057590,pounds steam,April,2014,Boiler B
12,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),13981228,pounds steam,April,2014,1
13,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,32903920,pounds steam,April,2014,Boiler A
14,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,103739500,pounds steam,April,2014,GP-Combustors
15,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,62477813,pounds steam,April,2014,2
16,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,57910916,pounds steam,April,2014,GP-01
17,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,61807019,pounds steam,April,2014,1
18,mmBtu/pounds steam,0.00141,1004618,BAY COUNTY WASTE - TO - ENERGY FACILITY,Municipal Solid Waste,27800000.3,pounds steam,April,2014,MWC Unit No. 2
19,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,72491828,pounds steam,April,2014,EU 002
20,mmBtu/pounds steam,0.0013,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,40626300,pounds steam,April,2014,B Boiler
21,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,46904193,pounds steam,April,2014,EU 001
22,mmBtu/pounds steam,0.00141,1004618,BAY COUNTY WASTE - TO - ENERGY FACILITY,Municipal Solid Waste,25208000.1,pounds steam,April,2014,MWC Unit No. 1
23,mmBtu/pounds steam,0.00141,1004618,BAY COUNTY WASTE - TO - ENERGY FACILITY,Municipal Solid Waste,24433000.4,pounds steam,August,2014,MWC Unit No. 1
24,mmBtu/pounds steam,0.00146,1000362,CAMDEN CNTY RESOURCE RECOVERY ASSOC,Municipal Solid Waste,203691600,pounds steam,August,2014,GP-Facility Emissions
25,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10163782,pounds steam,August,2014,Unit 2
