,boiler_heat_uom,boiler_ratio_b,facility_id,facility_name,fuel_type,mass_of_steam,mass_of_steam_uom,month,reporting_year,unit_name
0,mmBtu/pounds steam,0.001938,1010895,Sierra Pacific Industries - Aberdeen,Wood and Wood Residuals (dry basis),112741393,pounds steam,April,2017,McBurney Boiler
1,mmBtu/pounds steam,0.0013,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,47488800,pounds steam,April,2017,B Boiler
2,mmBtu/pounds steam,0.00172,1010898,Sierra Pacific Industries - Burlington,Wood and Wood Residuals (dry basis),165259000,pounds steam,April,2017,McBurney Boiler
3,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,127967416.67,pounds steam,April,2017,GP-Boilers 1 and 2
4,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,39094348,pounds steam,April,2017,GP-Facility Stack
5,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15596800,pounds steam,April,2017,North Unit
6,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12226875,pounds steam,April,2017,South Unit
7,mmBtu/pounds steam,0.001449,1003244,HUNTSVILLE SOLID WASTE DISPOSAL AUTHORIT,Municipal Solid Waste,118958250,pounds steam,April,2017,"GP-MWC 1 & 2, PB 1, 2, 3, & 4"
8,mmBtu/pounds steam,0.001685,1002561,SUSQUEHANNA RESOURCE MGMT COMPLEX,Municipal Solid Waste,45667666,pounds steam,April,2017,MWC Unit 2
9,mmBtu/pounds steam,0.001685,1002561,SUSQUEHANNA RESOURCE MGMT COMPLEX,Municipal Solid Waste,44954166,pounds steam,April,2017,MWC Unit 3
10,mmBtu/pounds steam,0.00141,1004618,BAY COUNTY WASTE - TO - ENERGY FACILITY,Municipal Solid Waste,21055000,pounds steam,April,2017,MWC Unit No. 1
11,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),18485065,pounds steam,April,2017,1
12,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,15100483,pounds steam,April,2017,1
13,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),19241373,pounds steam,April,2017,2
14,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,15717119,pounds steam,April,2017,2
15,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),41005,pounds steam,April,2017,EU 001
16,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,52372638,pounds steam,April,2017,EU 001
17,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),68294,pounds steam,April,2017,EU 002
18,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,72476418,pounds steam,April,2017,EU 002
19,mmBtu/pounds steam,0.001685,1002561,SUSQUEHANNA RESOURCE MGMT COMPLEX,Municipal Solid Waste,48941083,pounds steam,April,2017,MWC Unit 1
20,mmBtu/pounds steam,0.00215,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,101857860,pounds steam,April,2017,EU 002 - Boiler No. 2
21,mmBtu/pounds steam,0.00141,1004618,BAY COUNTY WASTE - TO - ENERGY FACILITY,Municipal Solid Waste,19219300,pounds steam,April,2017,MWC Unit No. 2
22,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21376374.0,pounds steam,April,2017,Unit 3
23,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10003521.2,pounds steam,April,2017,Unit 1
24,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10368175.7,pounds steam,April,2017,Unit 2
25,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,31870000,pounds steam,April,2017,Boiler A
26,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,35355000,pounds steam,April,2017,Boiler B
27,mmBtu/pounds steam,0.00172,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,141606500,pounds steam,April,2017,GP-1
28,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,,,April,2017,1
29,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,65504884,pounds steam,April,2017,2
30,mmBtu/pounds steam,0.00215,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,105222730,pounds steam,April,2017,EU 001 - Boiler No. 1
