,FACILITY_ID,REPORTING_YEAR,N2O_EMISSIONS_CO2E,TOTAL_ANNUAL_HEAT_INPUT,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,CH4_EMISSIONS_CO2E,OTHER_OR_BLEND_FUEL_TYPE
0,1000001,2016,100.1,3359796,PSE Ferndale Generating Station,CT-1A,Electricity Generator,Natural Gas (Weighted U.S. Average),,,84,
1,1000001,2016,95.4,3201856,PSE Ferndale Generating Station,CT-1B,Electricity Generator,Natural Gas (Weighted U.S. Average),,,80,
2,1000049,2016,4.2,140380,Lange,CT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.5,
3,1000050,2016,4180.1,8767065,Wygen I,001,Electricity Generator,Subbituminous,,,219.2,
4,1000051,2016,7,234166,"Mariposa Energy, LLC",GT-4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,5.9,
5,1000051,2016,6.8,228035,"Mariposa Energy, LLC",GT-3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,5.7,
6,1000051,2016,6.9,233063,"Mariposa Energy, LLC",GT-2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,5.8,
7,1000051,2016,6.8,227834,"Mariposa Energy, LLC",GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,5.7,
8,1000052,2016,230,7719181,Mesquite Generating Station,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,193,
9,1000052,2016,212.9,7144073,Mesquite Generating Station,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,178.6,
10,1000052,2016,280.1,9398713,Mesquite Generating Station,6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,235,
11,1000052,2016,266.5,8944163,Mesquite Generating Station,5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,223.6,
12,1000059,2016,90.4,3033728.00,Tenaska Kiamichi Generating Station,CTGDB2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,75.8,
13,1000059,2016,87.7,2942770,Tenaska Kiamichi Generating Station,CTGDB1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,73.6,
14,1000059,2016,101,3390517.00,Tenaska Kiamichi Generating Station,CTGDB4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,84.8,
15,1000059,2016,101.7,3411813.00,Tenaska Kiamichi Generating Station,CTGDB3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,85.3,
16,1000060,2016,0,0,Limon Generating Station,L1,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
17,1000060,2016,12.5,418852,Limon Generating Station,L1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,10.5,
18,1000060,2016,.1,671,Limon Generating Station,L2,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
19,1000060,2016,7.3,243621,Limon Generating Station,L2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,6.1,
20,1000061,2016,0,200,Frank Knutson Station,BR1,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
21,1000061,2016,3.8,127307,Frank Knutson Station,BR1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.2,
22,1000061,2016,.1,670,Frank Knutson Station,BR2,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
23,1000061,2016,2.7,90259,Frank Knutson Station,BR2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.3,
24,1000067,2016,2.8,93767,Cuyamaca Energy Facility,GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.3,
25,1000068,2016,352.6,11832272,Apex Generating Station,CTG01,Electricity Generator,Natural Gas (Weighted U.S. Average),,,295.8,
26,1000068,2016,362.7,12171928,Apex Generating Station,CTG02,Electricity Generator,Natural Gas (Weighted U.S. Average),,,304.3,
27,1000069,2016,12.3,412028,"Wallingford Energy, LLC",CT03,Electricity Generator,Natural Gas (Weighted U.S. Average),,,10.3,
28,1000069,2016,10.8,361457,"Wallingford Energy, LLC",CT02,Electricity Generator,Natural Gas (Weighted U.S. Average),,,9,
29,1000069,2016,11.2,374534,"Wallingford Energy, LLC",CT01,Electricity Generator,Natural Gas (Weighted U.S. Average),,,9.4,
30,1000069,2016,13.3,445158,"Wallingford Energy, LLC",CT05,Electricity Generator,Natural Gas (Weighted U.S. Average),,,11.1,
31,1000069,2016,9.7,325484,"Wallingford Energy, LLC",CT04,Electricity Generator,Natural Gas (Weighted U.S. Average),,,8.1,
32,1000070,2016,224.1,7521122,High Desert Power Project,CTG2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,188,
33,1000070,2016,226.1,7588275,High Desert Power Project,CTG3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,189.7,
34,1000070,2016,247,8290181,High Desert Power Project,CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,207.3,
35,1000071,2016,124,4161084.0,York Energy Center,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,104,
36,1000071,2016,1.9,10455,York Energy Center,2,Electricity Generator,Distillate Fuel Oil No. 2,,,.8,
37,1000071,2016,123.3,4136147.7,York Energy Center,3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,103.4,
38,1000071,2016,0,13.9853,York Energy Center,3,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
39,1000071,2016,124.3,4171097.8,York Energy Center,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,104.3,
40,1000071,2016,2.1,11583.2,York Energy Center,1,Electricity Generator,Distillate Fuel Oil No. 2,,,.9,
41,1000074,2016,9.8,327367,"Escondido Energy Center, LLC",CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,8.2,
42,1000076,2016,3.8,126980,Klamath Energy LLC,GT3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.2,
43,1000076,2016,4.2,142067.0,Klamath Energy LLC,GT2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.6,
44,1000076,2016,3.2,106209,Klamath Energy LLC,GT4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.7,
45,1000076,2016,4.4,148308,Klamath Energy LLC,GT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.7,
46,1000084,2016,15.7,88044.8,Seminole (136),1,Electricity Generator,Distillate Fuel Oil No. 2,,,6.6,
47,1000084,2016,18943,39729347.2,Seminole (136),1,Electricity Generator,Bituminous,,,10925.6,
48,1000084,2016,17.1,95480.7,Seminole (136),2,Electricity Generator,Distillate Fuel Oil No. 2,,,7.2,
49,1000084,2016,16656.5,34933851.3,Seminole (136),2,Electricity Generator,Bituminous,,,9606.8,
50,1000085,2016,0,229.355,Hartwell Energy Facility,MAG2,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
51,1000085,2016,9.6,321408.2,Hartwell Energy Facility,MAG2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,8,
52,1000085,2016,.1,655.741,Hartwell Energy Facility,MAG1,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
53,1000085,2016,5.2,173001.09,Hartwell Energy Facility,MAG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,4.3,
54,1000087,2016,8.344,284833.2,NRG Energy Center Dover,3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,7.125,
55,1000087,2016,8.642,49097.3,NRG Energy Center Dover,3,Electricity Generator,Distillate Fuel Oil No. 2,,,3.675,
56,1000087,2016,0,0.0,NRG Energy Center Dover,2,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
57,1000087,2016,53.64,1800734.4,NRG Energy Center Dover,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,45.025,
58,1000095,2016,434.8,14590227,Red Oak Power LLC,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,364.8,
59,1000095,2016,426.5,14312179,Red Oak Power LLC,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,357.8,
60,1000095,2016,420.9,14122496,Red Oak Power LLC,3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,353.1,
61,1000096,2016,2.4,80167,Southeast Chicago Energy Project,CTG6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2,
62,1000096,2016,1.9,62618,Southeast Chicago Energy Project,CTG11,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.6,
63,1000096,2016,1.9,65085,Southeast Chicago Energy Project,CTG12,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.6,
64,1000096,2016,2.3,77579,Southeast Chicago Energy Project,CTG8,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.9,
65,1000096,2016,2,68522,Southeast Chicago Energy Project,CTG10,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.7,
66,1000096,2016,2.4,80642,Southeast Chicago Energy Project,CTG5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2,
67,1000096,2016,2.1,69320,Southeast Chicago Energy Project,CTG9,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.7,
68,1000096,2016,2.3,76033,Southeast Chicago Energy Project,CTG7,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.9,
69,1000097,2016,275.1,9226237,Gila River Power Station,3CTGB,Electricity Generator,Natural Gas (Weighted U.S. Average),,,230.8,
70,1000097,2016,59.6,1999784,Gila River Power Station,1CTGB,Electricity Generator,Natural Gas (Weighted U.S. Average),,,50,
71,1000097,2016,110.3,3701825,Gila River Power Station,2CTGB,Electricity Generator,Natural Gas (Weighted U.S. Average),,,92.5,
72,1000097,2016,134.1,4504515,Gila River Power Station,1CTGA,Electricity Generator,Natural Gas (Weighted U.S. Average),,,112.5,
73,1000097,2016,261.3,8767928,Gila River Power Station,3CTGA,Electricity Generator,Natural Gas (Weighted U.S. Average),,,219.2,
74,1000097,2016,112.9,3789272,Gila River Power Station,2CTGA,Electricity Generator,Natural Gas (Weighted U.S. Average),,,94.8,
75,1000097,2016,316.8,10625852,Gila River Power Station,4CTGB,Electricity Generator,Natural Gas (Weighted U.S. Average),,,265.8,
76,1000097,2016,340,11405924,Gila River Power Station,4CTGA,Electricity Generator,Natural Gas (Weighted U.S. Average),,,285.2,
77,1000098,2016,264,8859763,"Wise County Power Company, LLC",GT-2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,221.5,
78,1000098,2016,299,10032426,"Wise County Power Company, LLC",GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,250.8,
79,1000100,2016,298.3,10009389,"New Harquahala Generating Company, LLC",CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,250.2,
80,1000100,2016,166.9,5600842.0,"New Harquahala Generating Company, LLC",CTG2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,140,
81,1000100,2016,234.6,7873035,"New Harquahala Generating Company, LLC",CTG3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,196.8,
82,1000101,2016,292.7,9822763,Athens Generating Company,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,245.6,
83,1000101,2016,246.8,8280351,Athens Generating Company,3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,207,
84,1000101,2016,297,9966508,Athens Generating Company,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,249.2,
85,1000102,2016,367.5,12332680,Sunrise Power Company,CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,308.3,
86,1000102,2016,356.7,11968919,Sunrise Power Company,CTG2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,299.2,
87,1000106,2016,456.8,15330432.18,Waterford Plant,3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,383.3,
88,1000106,2016,457.3,15344266,Waterford Plant,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,383.6,
89,1000106,2016,451.2,15139638.418,Waterford Plant,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,378.5,
90,1000107,2016,343.6,11529290.0,Osprey Energy Center,CT2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,288.2,
91,1000107,2016,297.1,9970431.0,Osprey Energy Center,CT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,249.3,
92,1000108,2016,14.6,488433,North 1st,NO1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,12.2,
93,1000109,2016,2.1,11977,West Lorain,2,Electricity Generator,Distillate Fuel Oil No. 2,,,.9,
94,1000109,2016,1.9,10366,West Lorain,3,Electricity Generator,Distillate Fuel Oil No. 2,,,.8,
95,1000109,2016,2,11340,West Lorain,4,Electricity Generator,Distillate Fuel Oil No. 2,,,.9,
96,1000109,2016,1.7,9513,West Lorain,6,Electricity Generator,Distillate Fuel Oil No. 2,,,.7,
97,1000109,2016,2.4,13198,West Lorain,5,Electricity Generator,Distillate Fuel Oil No. 2,,,1,
98,1000110,2016,4.2,140403,Midulla Generating Station,4A,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.5,
99,1000110,2016,0,9.37,Midulla Generating Station,7B,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
100,1000110,2016,3.1,102625,Midulla Generating Station,4B,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.6,
