,boiler_heat_uom,boiler_ratio_b,facility_id,facility_name,fuel_type,mass_of_steam,mass_of_steam_uom,month,reporting_year,unit_name
0,mmBtu/pounds steam,0.00132,1004969,Wheelabrator Portsmouth Inc.,Municipal Solid Waste,89678333.33,pounds steam,April,2015,Unit 4
1,mmBtu/pounds steam,0.00132,1004969,Wheelabrator Portsmouth Inc.,Municipal Solid Waste,91093500,pounds steam,April,2015,Unit 3
2,mmBtu/pounds steam,0.00141,1004618,BAY COUNTY WASTE - TO - ENERGY FACILITY,Municipal Solid Waste,38898200,pounds steam,April,2015,MWC Unit No. 2
3,mmBtu/pounds steam,0.001589,1004963,Covanta WBH,Municipal Solid Waste,60597500,pounds steam,April,2015,Unit 2
4,mmBtu/pounds steam,0.001589,1004963,Covanta WBH,Municipal Solid Waste,63001916,pounds steam,April,2015,Unit 1
5,mmBtu/pounds steam,0.001589,1004963,Covanta WBH,Municipal Solid Waste,64434333,pounds steam,April,2015,Unit 3
6,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),0,pounds steam,April,2015,EU 001
7,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,72542768,pounds steam,April,2015,EU 001
8,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),0,pounds steam,April,2015,EU 002
9,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,54690498,pounds steam,April,2015,EU 002
10,mmBtu/pounds steam,0.00164000,1000219,French Island,Wood and Wood Residuals (dry basis),20321386,pounds steam,April,2015,1
11,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,18702031,pounds steam,April,2015,1
12,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),17273395,pounds steam,April,2015,2
13,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,15895326,pounds steam,April,2015,2
14,mmBtu/pounds steam,0.00215,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,75609000,pounds steam,April,2015,EU 001 - Boiler No. 1
15,mmBtu/pounds steam,0.00211,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,202317000,pounds steam,April,2015,EU 014 - Boiler No. 7
16,mmBtu/pounds steam,0.00221,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,148749000,pounds steam,April,2015,EU 009 - Boiler No. 4
17,mmBtu/pounds steam,0.00187,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,271951000,pounds steam,April,2015,EU 028 - Boiler No. 8
18,mmBtu/pounds steam,0.00215,1006008,CLEWISTON SUGAR HOUSE,Agricultural Byproducts,88638000,pounds steam,April,2015,EU 002 - Boiler No. 2
19,mmBtu/pounds steam,0.00151,1004279,"WHEELABRATOR GLOUCESTER COMPANY, L.P.",Municipal Solid Waste,42320083,pounds steam,April,2015,Unit 2
20,mmBtu/pounds steam,0.00151,1004279,"WHEELABRATOR GLOUCESTER COMPANY, L.P.",Municipal Solid Waste,43918583,pounds steam,April,2015,Unit 1
21,mmBtu/pounds steam,0.001631,1005171,COVANTA RESOURCE RECOVERY FACILITY,Municipal Solid Waste,782000,pounds steam,April,2015,GP-Combustors
22,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,156334167,pounds steam,April,2015,GP-MWC
23,mmBtu/pounds steam,0.0013,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,17837300,pounds steam,April,2015,A Boiler
24,mmBtu/pounds steam,0.0013,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,30462400,pounds steam,April,2015,B Boiler
25,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,62653083,pounds steam,April,2015,GP-01
26,mmBtu/pounds steam,0.001465,1000362,CAMDEN CNTY RESOURCE RECOVERY ASSOC,Municipal Solid Waste,200796878.40,pounds steam,April,2015,GP-Facility Emissions
27,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,36705220,pounds steam,April,2015,GP-Facility Stack
28,mmBtu/pounds steam,0.00163,1004540,Wheelabrator Lisbon Inc.,Municipal Solid Waste,47769417,pounds steam,April,2015,Unit 2
29,mmBtu/pounds steam,0.00163,1004540,Wheelabrator Lisbon Inc.,Municipal Solid Waste,47768167,pounds steam,April,2015,Unit 1
30,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,125729581.8,pounds steam,April,2015,GP-Combustors
31,mmBtu/pounds steam,0.001608,1001646,"COVANTA MARION, INC",Municipal Solid Waste,47394083,pounds steam,April,2015,MWC-1
