,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
0,1000166,2011,KapStone Paper and Packaging Corp,558059,177.35,08-PU-012,Chemical Recovery Furnace,29.558,,
1,1000166,2011,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
2,1000183,2011,P H Glatfelter Company - Chillicothe Fac,,,P001,Pulp Mill Lime Kiln,,,
3,1000183,2011,P H Glatfelter Company - Chillicothe Fac,519720,166.4,B011,Chemical Recovery Furnace,27.7,,
4,1000196,2011,International Paper - Pensacola Mill,350892.4,111.51,No. 2 Recovery Boiler,Chemical Recovery Furnace,18.59,,
5,1000196,2011,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
6,1000196,2011,International Paper - Pensacola Mill,353550.1,112.36,#1 Recovery Boiler,Chemical Recovery Furnace,18.73,,
7,1000228,2011,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
8,1000228,2011,International Paper - New Bern Mill,749588,238.22,Recovery Furnace,Chemical Recovery Furnace,39.703,,
9,1000229,2011,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
10,1000229,2011,Domtar Paper Company LLC - Plymouth,1021680.9,324.69,No. 5 Recovery Furnace,Chemical Recovery Furnace,54.114,,
11,1000230,2011,Blue Ridge Paper Products Inc.,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
12,1000230,2011,Blue Ridge Paper Products Inc.,492222.3,157.09,Recovery Furnace No.11,Chemical Recovery Furnace,26.181,0.0019,0.00042
13,1000230,2011,Blue Ridge Paper Products Inc.,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
14,1000230,2011,Blue Ridge Paper Products Inc.,537424.3,171.51,Recovery Furnace No.10,Chemical Recovery Furnace,28.586,0.0019,0.00042
15,1000256,2011,"WestRock Virginia, Covington",876743.3,280.32,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,46.72,,
16,1000256,2011,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
17,1000256,2011,"WestRock Virginia, Covington",518531.7,165.79,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,27.632,,
18,1000262,2011,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
19,1000262,2011,"WestRock Coated Board, LLC",533695.8,169.79,No 1. Recovery Furnace,Chemical Recovery Furnace,28.298,,
20,1000262,2011,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
21,1000262,2011,"WestRock Coated Board, LLC",740207.8,235.49,No. 2 Recovery Furnace,Chemical Recovery Furnace,39.248,,
22,1000273,2011,"GP Big Island, LLC",66746,20.03,REC 13,Chemical Recovery Combustion Unit,3.338,,
23,1000305,2011,Resolute Forest Product - Coosa Pines Operation,614074.8,195.15,Z003,Chemical Recovery Furnace,32.525,,
24,1000305,2011,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
25,1000311,2011,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
26,1000311,2011,Resolute Forest Products Calhoun Operation,646683,206.73,No. 3 Recovery Furnace,Chemical Recovery Furnace,34.45,,
27,1000319,2011,"WestRock CP, LLC - Florence Mill",819336,260,RF1,Chemical Recovery Furnace,43,,
28,1000319,2011,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
29,1000319,2011,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
30,1000324,2011,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
31,1000324,2011,Marlboro Paper Mill,773489,246,Recovery Boiler,Chemical Recovery Furnace,41,,
32,1000345,2011,"Foley Cellulose, LLC",400945.7,127.42,No. 3 Recovery Boiler,Chemical Recovery Furnace,21.237,,
33,1000345,2011,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
34,1000345,2011,"Foley Cellulose, LLC",378400.4,120.25,No. 2 Recovery Boiler,Chemical Recovery Furnace,20.042,,
35,1000345,2011,"Foley Cellulose, LLC",570513.9,181.31,No. 4 Recovery Boiler,Chemical Recovery Furnace,30.218,,
36,1000348,2011,Resolute FP US Inc. - Catawba Operations,,,07-2723,Pulp Mill Lime Kiln,,,
37,1000348,2011,Resolute FP US Inc. - Catawba Operations,364848.6,115.95,07-2505,Chemical Recovery Furnace,19.325,,
38,1000348,2011,Resolute FP US Inc. - Catawba Operations,698284.1,221.91,07-5105,Chemical Recovery Furnace,36.985,,
39,1000353,2011,Sonoco Products Co.,12100,3.11,Chemical Recovery Kiln,Chemical Recovery Combustion Unit,.518,,
40,1000377,2011,International Paper-Courtland Mill,674335,215,Recovery 2,Chemical Recovery Furnace,36,,
41,1000377,2011,International Paper-Courtland Mill,,,Lime Kiln 3,Pulp Mill Lime Kiln,,,
42,1000377,2011,International Paper-Courtland Mill,851325,272,Recovery 3,Chemical Recovery Furnace,45,,
