,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
0,1000166,2012,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
1,1000166,2012,KapStone Paper and Packaging Corp,605399,192.39,08-PU-012,Chemical Recovery Furnace,32.066,,
2,1000183,2012,Pixelle Specialty Solutions LLC,616306,197.3,B011,Chemical Recovery Furnace,32.9,,
3,1000183,2012,Pixelle Specialty Solutions LLC,,,P001,Pulp Mill Lime Kiln,,,
4,1000196,2012,International Paper - Pensacola Mill,484308.8,153.91,#1 Recovery Boiler,Chemical Recovery Furnace,25.65,,
5,1000196,2012,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
6,1000196,2012,International Paper - Pensacola Mill,472648,150.21,No. 2 Recovery Boiler,Chemical Recovery Furnace,25.03,,
7,1000228,2012,International Paper - New Bern Mill,712715.4,226.5,Recovery Furnace,Chemical Recovery Furnace,37.75,,
8,1000228,2012,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
9,1000229,2012,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
10,1000229,2012,Domtar Paper Company LLC - Plymouth,1077044.9,342.28,No. 5 Recovery Furnace,Chemical Recovery Furnace,57.047,,
11,1000230,2012,Blue Ridge Paper Products LLC,502059.9,160.21,Recovery Furnace No.11,Chemical Recovery Furnace,26.702,0.0019,0.00042
12,1000230,2012,Blue Ridge Paper Products LLC,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
13,1000230,2012,Blue Ridge Paper Products LLC,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
14,1000230,2012,Blue Ridge Paper Products LLC,536547.4,171.22,Recovery Furnace No.10,Chemical Recovery Furnace,28.536,0.0019,0.00042
15,1000256,2012,"WestRock Virginia, Covington",468165.5,149.69,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,24.948,,
16,1000256,2012,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
17,1000256,2012,"WestRock Virginia, Covington",866753.6,277.13,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,46.188,,
18,1000258,2012,International Paper-Franklin Mill,296709.5,94.29,Recovery Boiler 6,Chemical Recovery Furnace,15.72,0.0019,0.00042
19,1000258,2012,International Paper-Franklin Mill,,,Lime Kiln 4,Pulp Mill Lime Kiln,,,
20,1000262,2012,"WestRock Coated Board, LLC",725918.3,230.92,No. 2 Recovery Furnace,Chemical Recovery Furnace,38.486,,
21,1000262,2012,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
22,1000262,2012,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
23,1000262,2012,"WestRock Coated Board, LLC",561412.5,178.59,No 1. Recovery Furnace,Chemical Recovery Furnace,29.764,,
24,1000273,2012,"GP Big Island, LLC",64266,19.12,REC 13,Chemical Recovery Combustion Unit,3.186,,
25,1000305,2012,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
26,1000305,2012,Resolute Forest Product - Coosa Pines Operation,344216.6,109.39,Z003,Chemical Recovery Furnace,18.232,,
27,1000311,2012,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
28,1000311,2012,Resolute Forest Products Calhoun Operation,615658,196.82,No. 3 Recovery Furnace,Chemical Recovery Furnace,32.803,,
29,1000319,2012,"WestRock CP, LLC - Florence Mill",798405,254,RF1,Chemical Recovery Furnace,42,,
30,1000319,2012,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
31,1000319,2012,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
32,1000324,2012,Marlboro Paper Mill,795272,253,Recovery Boiler,Chemical Recovery Furnace,42,,
33,1000324,2012,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
34,1000345,2012,"Foley Cellulose, LLC",510738.9,162.31,No. 4 Recovery Boiler,Chemical Recovery Furnace,27.052,,
35,1000345,2012,"Foley Cellulose, LLC",314601.3,99.98,No. 3 Recovery Boiler,Chemical Recovery Furnace,16.663,,
36,1000345,2012,"Foley Cellulose, LLC",406683.2,129.24,No. 2 Recovery Boiler,Chemical Recovery Furnace,21.54,,
37,1000345,2012,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
38,1000348,2012,Resolute FP US Inc. - Catawba Operations,698571.8,222,07-5105,Chemical Recovery Furnace,37.001,,
39,1000348,2012,Resolute FP US Inc. - Catawba Operations,,,07-2723,Pulp Mill Lime Kiln,,,
40,1000348,2012,Resolute FP US Inc. - Catawba Operations,378773.2,120.37,07-2505,Chemical Recovery Furnace,20.062,,
41,1000353,2012,Sonoco Products Co.,10906.5,3.09,Chemical Recovery Kiln,Chemical Recovery Combustion Unit,.515,,
42,1000377,2012,International Paper-Courtland Mill,,,Lime Kiln 1,Pulp Mill Lime Kiln,,,
43,1000377,2012,International Paper-Courtland Mill,,,Lime Kiln 2,Pulp Mill Lime Kiln,,,
44,1000377,2012,International Paper-Courtland Mill,786459.1,251,Recovery 3,Chemical Recovery Furnace,41.8,0.0019,0.00042
45,1000377,2012,International Paper-Courtland Mill,662932.1,211.6,Recovery 2,Chemical Recovery Furnace,35.3,0.0019,0.00042
46,1000377,2012,International Paper-Courtland Mill,,,Lime Kiln 3,Pulp Mill Lime Kiln,,,
47,1000426,2012,KapStone Charleston Kraft LLC,599414.2,191.2,No. 1 Recovery Boiler/REC004,Chemical Recovery Furnace,31.9,,
48,1000426,2012,KapStone Charleston Kraft LLC,383595.6,122.36,No. 9 Recovery Boiler/REC007,Chemical Recovery Furnace,20.39,,
49,1000426,2012,KapStone Charleston Kraft LLC,,,No. 4 Lime Kiln/CP001,Pulp Mill Lime Kiln,,,
50,1000426,2012,KapStone Charleston Kraft LLC,,,No. 5 Lime Kiln/CP002,Pulp Mill Lime Kiln,,,
51,1000434,2012,International Paper - Vicksburg Mill,534166.3,170.22,RB1 (AA005),Chemical Recovery Furnace,28.37,,
52,1000434,2012,International Paper - Vicksburg Mill,,,LK1 (AA003),Pulp Mill Lime Kiln,,,
53,1000593,2012,VERSO ANDROSCOGGIN LLC,,,A Lime Kiln,Pulp Mill Lime Kiln,,,
54,1000593,2012,VERSO ANDROSCOGGIN LLC,493490,168,Recovery Boiler 2,Chemical Recovery Furnace,28,,
55,1000593,2012,VERSO ANDROSCOGGIN LLC,373499,119,Recovery Boiler 1,Chemical Recovery Furnace,19.9,,
56,1000593,2012,VERSO ANDROSCOGGIN LLC,,,B Lime Kiln,Pulp Mill Lime Kiln,,,
57,1000602,2012,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 2 Lime Kiln (L04003),Pulp Mill Lime Kiln,,,
58,1000602,2012,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",480952.2,152.84,No. 4 Recovery Boiler (L03004/L03005),Chemical Recovery Furnace,25.474,,
59,1000602,2012,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 1 Lime Kiln (L04002),Pulp Mill Lime Kiln,,,
60,1000602,2012,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",390894.2,124.22,No. 5 Recovery Boiler (L03007/L03008),Chemical Recovery Furnace,20.704,,
61,1000624,2012,WestRock Tacoma Mill,663854,211,Recovery Boiler #4,Chemical Recovery Furnace,35,,
62,1000624,2012,WestRock Tacoma Mill,,,Lime kilns,Pulp Mill Lime Kiln,,,
63,1000961,2012,DOMTAR PAPER CO LLC HAWESVILLE MILL,362873.6,116.18,No. 3 Recovery Furnace,Chemical Recovery Furnace,19.364,,
64,1000961,2012,DOMTAR PAPER CO LLC HAWESVILLE MILL,,,No. 3 Lime Kiln,Pulp Mill Lime Kiln,,,
65,1000961,2012,DOMTAR PAPER CO LLC HAWESVILLE MILL,610605.4,195.5,No. 4 Recovery Furnace,Chemical Recovery Furnace,32.583,,
