SIC,count,mean,std,min,25%,50%,75%,max
723.0,1.0,5184.0,,5184.0,5184.0,5184.0,5184.0,5184.0
2003.0,1.0,3616.0,,3616.0,3616.0,3616.0,3616.0,3616.0
2011.0,30.0,5164.766666666666,2131.4223465892983,2080.0,3022.5,5868.0,6442.5,8736.0
2013.0,66.0,5376.530303030303,2152.7255226783263,200.0,3679.0,6042.0,6864.0,8760.0
2015.0,39.0,6101.358974358975,1602.7583211973486,2730.0,4687.5,6240.0,6664.0,8760.0
2020.0,2.0,6486.0,347.8965363437814,6240.0,6363.0,6486.0,6609.0,6732.0
2021.0,4.0,6558.0,1518.6994436029797,5304.0,5772.0,6084.0,6870.0,8760.0
2022.0,36.0,7311.722222222223,2480.746254210167,2600.0,6060.0,7488.0,8736.0,17000.0
2023.0,15.0,7747.2,1894.7268253912337,3000.0,7751.5,8760.0,8760.0,8760.0
2024.0,21.0,4951.619047619048,2315.5599425666023,2000.0,2880.0,4750.0,6864.0,8688.0
2026.0,51.0,7120.0392156862745,1918.1303184172266,2686.0,5512.0,7488.0,8760.0,8760.0
2030.0,2.0,4370.0,2644.5793616376877,2500.0,3435.0,4370.0,5305.0,6240.0
2032.0,15.0,6205.533333333334,1650.0475692998614,3526.0,5091.5,6000.0,7272.0,8760.0
2033.0,50.0,5079.28,2255.3192275062047,1500.0,3108.75,4986.0,6336.0,8760.0
2034.0,8.0,4855.125,1823.3624698420695,2600.0,3732.0,4680.0,5316.25,8400.0
2035.0,20.0,4896.2,1878.3290334482765,2080.0,3250.0,4304.0,6240.0,8760.0
2037.0,35.0,5934.114285714286,2511.488388930176,1440.0,3778.5,6000.0,8496.0,8760.0
2038.0,25.0,6056.56,2031.9256482460178,2080.0,4160.0,6000.0,7800.0,8760.0
2041.0,12.0,7118.666666666667,1546.1928218770913,4208.0,6468.0,7488.0,8430.0,8760.0
2043.0,12.0,7681.916666666667,1413.6299154583523,5375.0,6840.0,8580.0,8760.0,8760.0
2044.0,18.0,5668.888888888889,2405.4809202145707,2080.0,3984.0,5880.0,8142.0,8736.0
2045.0,8.0,6848.0,2135.445620941915,2000.0,6630.0,7236.0,8234.0,8600.0
2046.0,1.0,8760.0,,8760.0,8760.0,8760.0,8760.0,8760.0
2047.0,15.0,6372.0,1503.631413801743,2080.0,6000.0,6240.0,7224.0,8400.0
2048.0,40.0,5905.75,1580.6550046071861,2600.0,5037.5,6240.0,6864.0,8760.0
2050.0,1.0,4080.0,,4080.0,4080.0,4080.0,4080.0,4080.0
2051.0,90.0,7028.422222222222,1619.5356525367706,2016.0,6240.0,7488.0,8589.75,8760.0
2052.0,23.0,6818.869565217391,1307.5097880512415,4000.0,6240.0,6808.0,7804.0,8760.0
2053.0,10.0,4733.2,2674.9594306373237,1.0,2909.75,4875.0,6450.0,8760.0
2054.0,1.0,4810.0,,4810.0,4810.0,4810.0,4810.0,4810.0
2061.0,1.0,4416.0,,4416.0,4416.0,4416.0,4416.0,4416.0
2062.0,5.0,5723.2,2841.0792315597255,2000.0,3696.0,6240.0,7920.0,8760.0
2064.0,19.0,4633.684210526316,1738.8525288129135,2080.0,3078.0,5000.0,6180.0,6936.0
2066.0,8.0,6766.5,2108.4558330683617,2340.0,6204.0,6864.0,8358.0,8760.0
2067.0,1.0,6912.0,,6912.0,6912.0,6912.0,6912.0,6912.0
2068.0,11.0,5745.090909090909,1318.9063237808405,4160.0,4680.0,6000.0,6240.0,8760.0
2074.0,1.0,8064.0,,8064.0,8064.0,8064.0,8064.0,8064.0
2075.0,3.0,6088.333333333333,4319.445373347524,1105.0,4752.5,8400.0,8580.0,8760.0
2076.0,2.0,4292.5,60.10407640085654,4250.0,4271.25,4292.5,4313.75,4335.0
2077.0,6.0,5277.333333333333,2441.9738464337956,2000.0,3315.0,6486.0,6831.0,7488.0
2079.0,9.0,6588.444444444444,1842.9025415842743,4160.0,5024.0,6240.0,8736.0,8760.0
2082.0,35.0,5945.457142857143,2507.6692405833883,2040.0,3640.0,6000.0,8748.0,8766.0
2083.0,5.0,7491.6,1992.9557947932512,4050.0,7488.0,8400.0,8760.0,8760.0
2084.0,46.0,5129.782608695652,2252.197079525714,1445.0,3420.0,4292.0,6910.0,8760.0
2085.0,3.0,6527.666666666667,3866.514752762924,2063.0,5411.5,8760.0,8760.0,8760.0
2086.0,92.0,6285.989130434783,1919.0184046129395,1938.0,5200.0,6240.0,7488.0,8760.0
2087.0,14.0,6563.571428571428,2433.0541969456262,2000.0,5160.0,7176.0,8712.0,8760.0
2091.0,4.0,3552.75,3016.2222923164445,11.0,1562.75,4040.0,6030.0,6120.0
2092.0,17.0,5642.235294117647,2119.6133942718116,2220.0,4160.0,5880.0,7488.0,8750.0
2095.0,10.0,4509.1,2577.6323524592185,2080.0,2307.5,3372.5,6648.0,8760.0
2096.0,23.0,6870.217391304348,1873.3286358419903,2652.0,5940.0,7488.0,8640.0,8760.0
2097.0,4.0,5527.75,1292.7491055885516,4380.0,4688.25,5215.5,6055.0,7300.0
2098.0,1.0,7976.0,,7976.0,7976.0,7976.0,7976.0,7976.0
2099.0,80.0,5853.8,2046.2646697663952,2000.0,4160.0,6108.0,7458.0,8760.0
2111.0,4.0,6289.0,1793.3220569657867,4420.0,5605.0,6000.0,6684.0,8736.0
2120.0,1.0,2000.0,,2000.0,2000.0,2000.0,2000.0,2000.0
2131.0,3.0,4278.333333333333,49.074772881118186,4250.0,4250.0,4250.0,4292.5,4335.0
2134.0,1.0,4916.0,,4916.0,4916.0,4916.0,4916.0,4916.0
2141.0,3.0,4486.666666666667,1747.7223272972549,3360.0,3480.0,3600.0,5050.0,6500.0
