NAICS,count,mean,std,min,25%,50%,75%,max
311111.0,15.0,6237.066666666667,1623.1556331799516,2080.0,5860.0,6240.0,7224.0,8400.0
311119.0,42.0,5862.9047619047615,1694.6981573032454,2040.0,4972.5,6180.0,6864.0,8760.0
311211.0,11.0,7050.181818181818,1632.0905500726249,4208.0,6120.0,7488.0,8460.0,8760.0
311212.0,16.0,5464.0,2450.0539313791987,2080.0,3898.0,4960.0,7764.0,8736.0
311213.0,4.0,8352.0,600.4798081534466,7488.0,8172.0,8580.0,8760.0,8760.0
311221.0,2.0,7500.0,1781.9090885900998,6240.0,6870.0,7500.0,8130.0,8760.0
311224.0,11.0,5590.363636363636,2602.5229402534483,1105.0,4292.5,6240.0,7704.0,8760.0
311225.0,8.0,6452.0,1894.3621617842773,4160.0,5018.0,5768.0,8484.0,8760.0
311230.0,11.0,7725.727272727273,1474.0586210126846,5375.0,6624.0,8760.0,8760.0,8760.0
311314.0,5.0,5358.4,2875.0312693951696,2000.0,3696.0,4416.0,7920.0,8760.0
311340.0,7.0,6168.571428571428,672.9761900550066,5000.0,5808.0,6336.0,6658.0,6912.0
311351.0,10.0,6063.2,2428.2489713097107,2210.0,4741.5,6240.0,8046.0,8760.0
311352.0,12.0,4067.3333333333335,1699.4823454288198,2080.0,2439.5,3900.0,5280.0,6936.0
311411.0,40.0,5851.65,2411.225037621184,1440.0,3951.75,6000.0,8424.0,8760.0
311412.0,22.0,5907.636363636364,1958.33774375482,2080.0,4225.0,5699.0,7593.0,8760.0
311421.0,59.0,5143.762711864407,2203.4048365559233,1500.0,3480.0,5000.0,6340.0,8760.0
311422.0,13.0,6059.692307692308,1837.8862580246625,2432.0,5472.0,6000.0,7344.0,8760.0
311423.0,11.0,5699.727272727273,2193.5076973153796,2600.0,4116.0,4992.0,7368.0,8760.0
311511.0,50.0,7204.2,1823.1476369516672,2686.0,5850.0,7500.0,8760.0,8760.0
311512.0,3.0,6976.0,1552.8451307197379,5928.0,6084.0,6240.0,7500.0,8760.0
311513.0,35.0,7179.142857142857,2516.470978349234,2600.0,6000.0,7300.0,8676.0,17000.0
311514.0,23.0,7363.913043478261,2084.2400601798486,2080.0,6330.0,8740.0,8760.0,8760.0
311520.0,20.0,4776.95,2613.970592896239,1.0,2810.0,4465.0,7020.0,8760.0
311611.0,35.0,5101.114285714286,2195.9127376242673,2080.0,2951.0,5616.0,6583.0,8736.0
311612.0,48.0,5622.0625,2070.460390843831,2080.0,4120.0,6180.0,7236.0,8760.0
311613.0,19.0,4677.473684210527,2185.327215987499,200.0,2878.0,4680.0,6240.0,8400.0
311615.0,38.0,6086.763157894737,1532.6766805998657,2730.0,4760.0,6240.0,6542.5,8760.0
311710.0,24.0,5089.041666666667,2429.1462354026803,11.0,2970.0,5410.0,7059.0,8750.0
311811.0,4.0,7771.0,1854.7256760322625,4991.0,7695.5,8666.5,8742.0,8760.0
311812.0,91.0,7004.912087912088,1598.3293962297819,2016.0,6240.0,7440.0,8496.0,8760.0
311813.0,10.0,5828.6,2136.840460950596,2080.0,4192.5,6030.0,7410.0,8760.0
311821.0,18.0,6131.111111111111,1978.7537637402838,2000.0,4966.0,6354.0,7416.0,8760.0
311824.0,6.0,7016.0,661.3634401749163,6240.0,6514.0,6980.0,7416.0,7976.0
311830.0,10.0,5362.6,2341.766484230797,2340.0,3405.0,4989.0,7410.0,8760.0
311911.0,14.0,5686.857142857143,1589.8121735767238,3625.0,4343.25,5850.0,6240.0,8760.0
311919.0,29.0,6939.275862068966,1762.0065448344421,2652.0,6000.0,7344.0,8640.0,8760.0
311920.0,12.0,4847.166666666667,2698.9325106363253,2000.0,2177.5,4560.0,7275.0,8760.0
311930.0,13.0,6420.0,2150.89264415188,2250.0,4800.0,6864.0,8568.0,8760.0
311941.0,22.0,4871.136363636364,1877.1991368970687,2000.0,3295.5,4116.5,6210.0,8760.0
311942.0,14.0,5931.285714285715,2499.6908556112244,2125.0,4040.0,6120.0,8652.0,8760.0
311991.0,21.0,6037.285714285715,1877.2993406182497,2600.0,5200.0,5928.0,7200.0,8760.0
311999.0,34.0,6055.205882352941,2073.411765729948,2200.0,4225.0,6240.0,8064.0,8760.0
312111.0,70.0,6440.871428571429,1853.899172730304,1938.0,5415.0,6250.0,7831.5,8760.0
312112.0,13.0,5636.076923076923,2613.868476082224,1990.0,3120.0,6188.0,8400.0,8760.0
312113.0,4.0,5527.75,1292.7491055885516,4380.0,4688.25,5215.5,6055.0,7300.0
312120.0,35.0,6030.085714285714,2384.9067113513556,2080.0,3692.0,6188.0,8676.0,8766.0
