SIC,Unit_Process,Heat_type,Temp_C
20111,Boiler,fuel,121
,Boiler,steam,121
,Boiler,water,60
,Boiler,clean up,121
,Boiler,space heat,121
,Drying,steam,93
,Scalding,steam,27
,Singeing,fuel,29
,Rendering,steam,93
,Rendering,steam,93
,Processing,steam,24
,Processing,fuel,24
20261,Pasturization,steam,73
,Deoderization,steam,3
,Packaging,fuel,3
,Pasturization,steam,73
,Cooking,steam,100
,Drying,fuel,82
,Boiler,fuel,121
,Boiler,space heat,121
,Boiler,clean up,121
20331,Washing,water,27
,Peeling,steam,49
,Washing,water,49
,Cooking,steam,100
,Heating,steam,93
,Exhausting,steam,91
,Sealing,steam,79
,Retort,steam,116
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,water,60
,Boiler,clean up,121
,Boiler,space heat,121
,Washing,water,60
20332,Washing,water,54
,Scalding,steam,71
,Cooking,steam,100
,Heating,steam,93
,Exhausting,steam,93
,Sealing,steam,88
,Retort,steam,121
,Boiler,fuel,149
,Boiler,steam,149
,Boiler,steam,121
,Boiler,space heat,121
,Boiler,water,60
,Boiler,clean up,121
,Washing,water,24
20333,Washing,water,29
,Heating,steam,91
,Sealing,steam,88
,Retort,steam,100
,Washing,water,24
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,water,60
,Boiler,clean up,121
20461,Steeping,steam,52
,Drying,steam,93
,Extracting,steam,93
,Separating,steam,66
,Drying,fuel,121
,Drying,steam,54
,Roasting,fuel,93
,Converting,steam,88
,Refining,steam,93
,Evaporating,steam,116
,Refining,steam,116
,Evaporating,steam,121
,Drying,fuel,49
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,clean up,93
,Boiler,space heat,121
20511,Fermenting,steam,121
,Proofing,steam,38
,Proofing,steam,38
,Baking,steam,232
,Baking,fuel,232
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,space heat,121
,Boiler,clean up,121
,Boiler,water,85
20512,Baking,fuel,100
,Baking,fuel,100
,Frying,fuel,100
,Boiler,fuel,121
,Boiler,clean up,121
,Boiler,space heat,121
,Boiler,water,82
,Boiler,steam,121
20621,Clarifying,steam,85
,Regenerating,fuel,499
,Evaporating,steam,54
,Other,steam,60
,Drying,steam,82
,Boiler,fuel,149
,Boiler,steam,149
,Boiler,steam,121
,Boiler,water,91
,Boiler,water,74
,Boiler,water,63
,Boiler,space heat,121
20631,Diffusing,steam,71
,Diffusing,water,71
,Drying,fuel,93
,Heating,steam,85
,Calcining,fuel,316
,Heating,steam,93
,Evaporating,steam,93
,Other,steam,82
,Drying,steam,66
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,steam,138
,Boiler,space heat,121
,Boiler,water,60
20751,Drying,fuel,38
,Other,steam,71
,Other,steam,102
,Drying,steam,93
,Evaporating,steam,52
,Stripping,steam,177
,Boiler,fuel,177
,Boiler,steam,177
,Boiler,clean up,60
,Boiler,space heat,177
20821,Cooking,steam,100
,Other,water,100
,Other,steam,100
,Drying,fuel,100
,Brewing,steam,100
,Cleaning,water,52
,Pasturization,water,63
,Boiler,fuel,121
,Boiler,space heat,121
,Boiler,water,85
,Boiler,steam,121
,Boiler,clean up,121
22211,Drying,steam,116
,Singeing,fuel,204
,Desizing,steam,93
,Scouring,steam,100
,Washing,steam,88
,Washing,steam,93
,Drying,steam,121
,Washing,steam,60
,Printing,steam,82
,Drying,fuel,121
,Steaming,steam,93
,Washing,steam,82
,Drying,fuel,82
,Boiler,fuel,121
,Boiler,steam,149
,Cogen,water,35
,Cogen,fuel,35
22621,Singeing,fuel,260
,Other,steam,93
,Other,steam,100
,Washing,steam,88
,Washing,steam,93
,Drying,steam,121
,Washing,steam,71
,Printing,steam,43
,Drying,fuel,121
,Steaming,steam,93
,Washing,steam,82
,Drying,fuel,82
,Boiler,fuel,121
,Boiler,steam,121
,Cogen,fuel,35
,Cogen,water,35
24991,Digesting,steam,188
