naics,enduse_cat,enduse_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
31,Direct Uses-Total Nonprocess,FALSE,Conventional Electricity Generation,0,0,1,3,19,0.01,1,0
31,Direct Uses-Total Nonprocess,FALSE,Facility HVAC (g),0,222,1.98,4,306,4,3,0
31,Direct Uses-Total Nonprocess,FALSE,Facility Lighting,0,165,0,0,0,0,0,0
31,Direct Uses-Total Nonprocess,FALSE,Onsite Transportation,0,5,0,39,1,17,0,0
31,Direct Uses-Total Nonprocess,FALSE,Other Facility Support,0,47,0.01,1,36,3,0.01,0
31,Direct Uses-Total Nonprocess,FALSE,Other Nonprocess Use,0,9,0.01,4,7,1,1,0
31,Direct Uses-Total Nonprocess,TRUE,Direct Uses-Total Nonprocess,0,448,3,52,368,26,6,0
31,Direct Uses-Total Process,FALSE,Electro-Chemical Processes,0,189,0,0,0,0,0,0
31,Direct Uses-Total Process,FALSE,Machine Drive,0,1185,0.01,28,120,3,1,0
31,Direct Uses-Total Process,FALSE,Other Process Use,0,59,0.01,10,117,1,8,0
31,Direct Uses-Total Process,FALSE,Process Cooling and Refrigeration,0,182,0.01,2,25,0.01,0,0
31,Direct Uses-Total Process,FALSE,Process Heating,0,297,25,14,2362,24,280,0
31,Direct Uses-Total Process,TRUE,Direct Uses-Total Process,0,1912,26,54,2623,29,289,0
31,End Use Not Reported,TRUE,End Use Not Reported,5585,50,5,5,86,4,1,5435
31,Indirect Uses-Boiler Fuel,FALSE,CHP and/or Cogeneration Process,0,0,26,15,1401,7,500,0
31,Indirect Uses-Boiler Fuel,FALSE,Conventional Boiler Use,0,27,20,4,733,3,72,0
31,Indirect Uses-Boiler Fuel,TRUE,Indirect Uses-Boiler Fuel,0,27,46,19,2134,10,572,0
31,TOTAL FUEL CONSUMPTION,TRUE,TOTAL FUEL CONSUMPTION,14228,2437,79,130,5211,69,868,5435
311,Direct Uses-Total Nonprocess,FALSE,Conventional Electricity Generation,0,0,0.01,2,0.01,0.01,1,0
311,Direct Uses-Total Nonprocess,FALSE,Facility HVAC (g),0,20,0.01,-0.01,33,0.01,0.01,0
311,Direct Uses-Total Nonprocess,FALSE,Facility Lighting,0,20,0,0,0,0,0,0
311,Direct Uses-Total Nonprocess,FALSE,Onsite Transportation,0,1,0,5,0.01,1,0,0
311,Direct Uses-Total Nonprocess,FALSE,Other Facility Support,0,6,0.01,0.01,16,0.01,0.01,0
311,Direct Uses-Total Nonprocess,FALSE,Other Nonprocess Use,0,1,0,3,1,0.01,0,0
311,Direct Uses-Total Nonprocess,TRUE,Direct Uses-Total Nonprocess,0,48,0.03,10,50,2,1,0
311,Direct Uses-Total Process,FALSE,Electro-Chemical Processes,0,1,0,0,0,0,0,0
311,Direct Uses-Total Process,FALSE,Machine Drive,0,112,0.01,0.01,4,0.01,0.01,0
311,Direct Uses-Total Process,FALSE,Other Process Use,0,1,0.01,2,7,0.01,1,0
311,Direct Uses-Total Process,FALSE,Process Cooling and Refrigeration,0,72,0,1,2,0.01,0,0
311,Direct Uses-Total Process,FALSE,Process Heating,0,12,1,5,175,1,17,0
311,Direct Uses-Total Process,TRUE,Direct Uses-Total Process,0,198,1,7,189,2,18,0
311,End Use Not Reported,TRUE,End Use Not Reported,116,5,1,2,7,0.01,1,101
311,Indirect Uses-Boiler Fuel,FALSE,CHP and/or Cogeneration Process,0,0,4,2,170,1,137,0
311,Indirect Uses-Boiler Fuel,FALSE,Conventional Boiler Use,0,7,5,1,164,0.01,25,0
311,Indirect Uses-Boiler Fuel,TRUE,Indirect Uses-Boiler Fuel,0,7,10,3,334,2,162,0
311,TOTAL FUEL CONSUMPTION,TRUE,TOTAL FUEL CONSUMPTION,1158,257,12,22,579,6,182,101
312,Direct Uses-Total Nonprocess,FALSE,Conventional Electricity Generation,0,0,0,0.01,0,0,0.01,0
312,Direct Uses-Total Nonprocess,FALSE,Facility HVAC (g),0,3,0.01,0.01,3,0.01,0.01,0
312,Direct Uses-Total Nonprocess,FALSE,Facility Lighting,0,2,0,0,0,0,0,0
312,Direct Uses-Total Nonprocess,FALSE,Onsite Transportation,0,0.01,0,0.01,0.01,1,0,0
312,Direct Uses-Total Nonprocess,FALSE,Other Facility Support,0,1,0,0.01,0.01,0.01,0.01,0
312,Direct Uses-Total Nonprocess,FALSE,Other Nonprocess Use,0,0.01,0,0.01,0.01,0.01,0.01,0
312,Direct Uses-Total Nonprocess,TRUE,Direct Uses-Total Nonprocess,0,6,0.01,0.05,4,1,1,0
