naics,enduse_cat,enduse_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
31.0,Direct Uses-Total Nonprocess,False,  Conventional Electricity Generation,0.0,0,1,3,19,0.01,1,0.0
31.0,Direct Uses-Total Nonprocess,False,  Facility HVAC (g),0.0,222,1.98,4,306,4,3,0.0
31.0,Direct Uses-Total Nonprocess,False,  Facility Lighting,0.0,165,0,0,0,0,0,0.0
31.0,Direct Uses-Total Nonprocess,False,  Onsite Transportation,0.0,5,0,39,1,17,0,0.0
31.0,Direct Uses-Total Nonprocess,False,  Other Facility Support,0.0,47,0.01,1,36,3,0.01,0.0
31.0,Direct Uses-Total Nonprocess,False,  Other Nonprocess Use,0.0,9,0.01,4,7,1,1,0.0
31.0,Direct Uses-Total Nonprocess,True,Direct Uses-Total Nonprocess,0,448,3,52,368,26,6,0
31.0,Direct Uses-Total Process,False,  Electro-Chemical Processes,0.0,189,0,0,0,0,0,0.0
31.0,Direct Uses-Total Process,False,  Machine Drive,0.0,1185,0.01,28,120,3,1,0.0
31.0,Direct Uses-Total Process,False,  Other Process Use,0.0,59,0.01,10,117,1,8,0.0
31.0,Direct Uses-Total Process,False,  Process Cooling and Refrigeration,0.0,182,0.01,2,25,0.01,0,0.0
31.0,Direct Uses-Total Process,False,  Process Heating,0.0,297,25,14,2362,24,280,0.0
31.0,Direct Uses-Total Process,True,Direct Uses-Total Process,0,1912,26,54,2623,29,289,0
31.0,End Use Not Reported,True,End Use Not Reported,5585,50,5,5,86,4.0,1.0,5435
31.0,Indirect Uses-Boiler Fuel,False,  CHP and/or Cogeneration Process,0.0,0,26,15,1401,7,500,0.0
31.0,Indirect Uses-Boiler Fuel,False,  Conventional Boiler Use,0.0,27,20,4,733,3,72,0.0
31.0,Indirect Uses-Boiler Fuel,True,Indirect Uses-Boiler Fuel,0,27,46,19,2134,10,572,0
31.0,TOTAL FUEL CONSUMPTION,True,TOTAL FUEL CONSUMPTION,14228,2437,79,130,5211,69,868,5435
311.0,Direct Uses-Total Nonprocess,False,  Conventional Electricity Generation,0.0,0,0.01,2,0.01,0.01,1,0.0
311.0,Direct Uses-Total Nonprocess,False,  Facility HVAC (g),0.0,20,0.01,-0.009999999999999787,33,0.01,0.01,0.0
