naics,enduse_cat,enduse_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
31.0,Direct Uses-Total Nonprocess,False,Conventional Electricity Generation,0.0,0,0.01,3,12,0.01,2,0.0
31.0,Direct Uses-Total Nonprocess,False,Facility HVAC (g),0.0,247,0.01,4,369,7,3,0.0
31.0,Direct Uses-Total Nonprocess,False,Facility Lighting,0.0,170,0.0,0,0,0,0,0.0
31.0,Direct Uses-Total Nonprocess,False,Onsite Transportation,0.0,13,0.0,39,2,20,0,0.0
31.0,Direct Uses-Total Nonprocess,False,Other Facility Support,0.0,52,0.01,2,41,0.01,0.01,0.0
31.0,Direct Uses-Total Nonprocess,False,Other Nonprocess Use,0.0,11,0.01,11,8,0.01,0.01,0.0
31.0,Direct Uses-Total Nonprocess,True,Direct Uses-Total Nonprocess,0,492,1,58,433,27,4,0
31.0,Direct Uses-Total Process,False,Electro-Chemical Processes,0.0,176,0.0,0,0,0,0,0.0
31.0,Direct Uses-Total Process,False,Machine Drive,0.0,1253,0.01,13,162,3,1,0.0
31.0,Direct Uses-Total Process,False,Other Process Use,0.0,66,0.01,8,173,3,17,0.0
31.0,Direct Uses-Total Process,False,Process Cooling and Refrigeration,0.0,189,0.01,0.01,27,0.01,0,0.0
31.0,Direct Uses-Total Process,False,Process Heating,0.0,342,7.0,5,2590,37,280,0.0
31.0,Direct Uses-Total Process,True,Direct Uses-Total Process,0,2028,8,26,2953,43,298,0
31.0,End Use Not Reported,True,End Use Not Reported,5761,48,0.01,3,168,5.0,81.0,5455
31.0,Indirect Uses-Boiler Fuel,False,CHP and/or Cogeneration Process,0.0,0,10.0,9,1549,3,344,0.0
31.0,Indirect Uses-Boiler Fuel,False,Conventional Boiler Use,0.0,33,11.0,4,756,4,48,0.0
31.0,Indirect Uses-Boiler Fuel,True,Indirect Uses-Boiler Fuel,0,33,21,12,2305,8,393,0
31.0,TOTAL FUEL CONSUMPTION,True,TOTAL FUEL CONSUMPTION,14903,2600,30,99,5858,84,776,5455
311.0,Direct Uses-Total Nonprocess,False,Conventional Electricity Generation,0.0,0,0.0,2,0.01,0.01,0,0.0
311.0,Direct Uses-Total Nonprocess,False,Facility HVAC (g),0.0,20,0.01,1,33,1,0.01,0.0
311.0,Direct Uses-Total Nonprocess,False,Facility Lighting,0.0,18,0.0,0,0,0,0,0.0
311.0,Direct Uses-Total Nonprocess,False,Onsite Transportation,0.0,2,0.0,5,0.01,1,0,0.0
311.0,Direct Uses-Total Nonprocess,False,Other Facility Support,0.0,5,0.01,1,15,0.01,0.01,0.0
311.0,Direct Uses-Total Nonprocess,False,Other Nonprocess Use,0.0,0.01,0.0,3,1,0.01,0,0.0
311.0,Direct Uses-Total Nonprocess,True,Direct Uses-Total Nonprocess,0,46,0.02,12,49,2,0.02,0
311.0,Direct Uses-Total Process,False,Electro-Chemical Processes,0.0,1,0.0,0,0,0,0,0.0
311.0,Direct Uses-Total Process,False,Machine Drive,0.0,106,0.01,1,4,0.01,0,0.0
311.0,Direct Uses-Total Process,False,Other Process Use,0.0,5,0.0,1.98,11,0.01,0,0.0
311.0,Direct Uses-Total Process,False,Process Cooling and Refrigeration,0.0,66,0.01,0.01,3,0.01,0,0.0
311.0,Direct Uses-Total Process,False,Process Heating,0.0,11,0.01,0.01,162,1,14,0.0
311.0,Direct Uses-Total Process,True,Direct Uses-Total Process,0,189,0.03,3,181,2,14,0
311.0,End Use Not Reported,True,End Use Not Reported,197,5,0.0,0.01,10,0.01,22.0,158
311.0,Indirect Uses-Boiler Fuel,False,CHP and/or Cogeneration Process,0.0,0,1.0,3,183,1,62,0.0
311.0,Indirect Uses-Boiler Fuel,False,Conventional Boiler Use,0.0,7,2.0,1,147,1,12,0.0
311.0,Indirect Uses-Boiler Fuel,True,Indirect Uses-Boiler Fuel,0,7,3,4,330,2,74,0
311.0,TOTAL FUEL CONSUMPTION,True,TOTAL FUEL CONSUMPTION,1114,247,4,20,570,6,110,158
312.0,Direct Uses-Total Nonprocess,False,Conventional Electricity Generation,0.0,0,0.0,0.01,0.01,0,0,0.0
312.0,Direct Uses-Total Nonprocess,False,Facility HVAC (g),0.0,4,0.0,0.01,5,0.01,0.01,0.0
312.0,Direct Uses-Total Nonprocess,False,Facility Lighting,0.0,3,0.0,0,0,0,0,0.0
312.0,Direct Uses-Total Nonprocess,False,Onsite Transportation,0.0,1,0.0,0.01,0.01,1,0,0.0
312.0,Direct Uses-Total Nonprocess,False,Other Facility Support,0.0,1,0.0,0.01,0.01,0.01,0,0.0
312.0,Direct Uses-Total Nonprocess,False,Other Nonprocess Use,0.0,0.01,0.0,0.01,0.01,0.01,0,0.0
312.0,Direct Uses-Total Nonprocess,True,Direct Uses-Total Nonprocess,0,9,0,1,6,1,0.01,0
312.0,Direct Uses-Total Process,False,Electro-Chemical Processes,0.0,0.01,0.0,0,0,0,0,0.0
312.0,Direct Uses-Total Process,False,Machine Drive,0.0,12,0.0,0.01,0.01,0.01,0,0.0
312.0,Direct Uses-Total Process,False,Other Process Use,0.0,1,0.0,0.01,0.01,0.01,0,0.0
312.0,Direct Uses-Total Process,False,Process Cooling and Refrigeration,0.0,7,0.0,0,0.01,0,0,0.0
312.0,Direct Uses-Total Process,False,Process Heating,0.0,1,0.0,0.01,6,0.01,0.01,0.0
312.0,Direct Uses-Total Process,True,Direct Uses-Total Process,0,21,0,0.03,6,0.03,0.01,0
312.0,End Use Not Reported,True,End Use Not Reported,9,3,0.0,0.01,2,0.01,0.0,4
312.0,Indirect Uses-Boiler Fuel,False,CHP and/or Cogeneration Process,0.0,0,0.0,0.01,13,0.01,5,0.0
312.0,Indirect Uses-Boiler Fuel,False,Conventional Boiler Use,0.0,1,0.01,0.01,21,0.01,2,0.0
312.0,Indirect Uses-Boiler Fuel,True,Indirect Uses-Boiler Fuel,0,1,0.01,0.02,34,0.02,7,0
312.0,TOTAL FUEL CONSUMPTION,True,TOTAL FUEL CONSUMPTION,95,33,0.01,1,48,1,7,4
313.0,Direct Uses-Total Nonprocess,False,Conventional Electricity Generation,0.0,0,0.0,0.01,0,0,0,0.0
313.0,Direct Uses-Total Nonprocess,False,Facility HVAC (g),0.0,6,0.01,0.01,2,0.01,0,0.0
313.0,Direct Uses-Total Nonprocess,False,Facility Lighting,0.0,3,0.0,0,0,0,0,0.0
313.0,Direct Uses-Total Nonprocess,False,Onsite Transportation,0.0,0.01,0.0,0.01,0,0.01,0,0.0
313.0,Direct Uses-Total Nonprocess,False,Other Facility Support,0.0,1,0.0,0.01,0.01,0.01,0,0.0
313.0,Direct Uses-Total Nonprocess,False,Other Nonprocess Use,0.0,0.01,0.0,0.01,0,0.01,0,0.0
313.0,Direct Uses-Total Nonprocess,True,Direct Uses-Total Nonprocess,0,11,0.01,0.05,3,0.04,0,0
313.0,Direct Uses-Total Process,False,Electro-Chemical Processes,0.0,0.01,0.0,0,0,0,0,0.0
313.0,Direct Uses-Total Process,False,Machine Drive,0.0,25,0.0,0,5.99,0.01,0,0.0
313.0,Direct Uses-Total Process,False,Other Process Use,0.0,1,0.0,0.01,1,0.01,0,0.0
313.0,Direct Uses-Total Process,False,Process Cooling and Refrigeration,0.0,2,0.0,0,0.01,0.01,0,0.0
313.0,Direct Uses-Total Process,False,Process Heating,0.0,4,0.01,0.01,12,0.01,0,0.0
313.0,Direct Uses-Total Process,True,Direct Uses-Total Process,0,31,0.01,0.02,19,0.04,0,0
313.0,End Use Not Reported,True,End Use Not Reported,12,0.01,0.0,0,1,0.01,0.0,12
313.0,Indirect Uses-Boiler Fuel,False,CHP and/or Cogeneration Process,0.0,0,0.01,0.01,9,0.01,5,0.0
313.0,Indirect Uses-Boiler Fuel,False,Conventional Boiler Use,0.0,1,0.0,0.01,4,0.01,1,0.0
313.0,Indirect Uses-Boiler Fuel,True,Indirect Uses-Boiler Fuel,0,1,0.01,0.02,13,0.02,6,0
313.0,TOTAL FUEL CONSUMPTION,True,TOTAL FUEL CONSUMPTION,97,43,0.03,0.09000000000000001,36,1,6,12
314.0,Direct Uses-Total Nonprocess,False,Conventional Electricity Generation,0.0,0,0.0,0.01,0,0,0,0.0
314.0,Direct Uses-Total Nonprocess,False,Facility HVAC (g),0.0,1,0.0,0.01,4,0.01,0,0.0
314.0,Direct Uses-Total Nonprocess,False,Facility Lighting,0.0,1,0.0,0,0,0,0,0.0
314.0,Direct Uses-Total Nonprocess,False,Onsite Transportation,0.0,0.01,0.0,0.01,0,0.01,0,0.0
314.0,Direct Uses-Total Nonprocess,False,Other Facility Support,0.0,0.01,0.0,0.01,0.01,0.01,0,0.0
314.0,Direct Uses-Total Nonprocess,False,Other Nonprocess Use,0.0,0.01,0.0,0.01,0,0.01,0,0.0
314.0,Direct Uses-Total Nonprocess,True,Direct Uses-Total Nonprocess,0,3,0,0.05,4,0.04,0,0
314.0,Direct Uses-Total Process,False,Electro-Chemical Processes,0.0,0.01,0.0,0,0,0,0,0.0
314.0,Direct Uses-Total Process,False,Machine Drive,0.0,5,0.0,0.01,0.01,0.01,0,0.0
314.0,Direct Uses-Total Process,False,Other Process Use,0.0,0.01,0.0,0.01,0.01,0.01,0,0.0
314.0,Direct Uses-Total Process,False,Process Cooling and Refrigeration,0.0,1,0.0,0,0,0,0,0.0
314.0,Direct Uses-Total Process,False,Process Heating,0.0,1,0.0,0.01,6,0.01,0,0.0
314.0,Direct Uses-Total Process,True,Direct Uses-Total Process,0,6,0,0.03,6,0.03,0,0
314.0,End Use Not Reported,True,End Use Not Reported,1,0.01,0.0,0.01,0.01,0.01,0.0,0.01
314.0,Indirect Uses-Boiler Fuel,False,CHP and/or Cogeneration Process,0.0,0,0.01,0.01,2,0.01,1,0.0
314.0,Indirect Uses-Boiler Fuel,False,Conventional Boiler Use,0.0,0.01,0.0,0.01,4,0.01,0.01,0.0
314.0,Indirect Uses-Boiler Fuel,True,Indirect Uses-Boiler Fuel,0,0.01,0.01,0.02,7,0.02,1,0
314.0,TOTAL FUEL CONSUMPTION,True,TOTAL FUEL CONSUMPTION,27,9,0.01,0.11,16,1,1,0.01
315.0,Direct Uses-Total Nonprocess,False,Conventional Electricity Generation,0.0,0,0.0,0,0,0,0,0.0
