,,ghgrp_fac,FACILITY_ID
0,211111,,20.0
1001,322130,,1.0
1005,212324,,1.0
1015,325199,,1.0
1015,928110,,1.0
1017,327993,,1.0
1023,322110,,1.0
1025,322121,,1.0
1033,325311,,1.0
1047,322121,,1.0
1047,331112,,1.0
1053,211111,,1.0
1053,211112,,1.0
1053,321113,,1.0
1053,322130,,1.0
1053,324110,,1.0
1071,322121,,1.0
1071,327420,,1.0
1071,331112,,1.0
1073,212113,,1.0
1073,324199,,1.0
1073,327310,,1.0
1073,331111,,4.0
1073,331210,,1.0
1073,331511,,1.0
1075,331492,,1.0
1077,327122,,1.0
1079,322121,,1.0
1085,325211,,1.0
1091,322130,,1.0
1091,327310,,1.0
1093,326113,,1.0
1095,311222,,1.0
1097,211111,,2.0
1097,211112,,2.0
1097,322121,,1.0
1097,322130,,1.0
1097,324110,,1.0
1097,325188,,1.0
1097,325221,,1.0
1097,327992,,1.0
1097,331111,,1.0
1097,331419,,1.0
1099,322110,,1.0
1101,331112,,1.0
1113,322121,,1.0
1121,212312,,1.0
1121,322110,,1.0
1125,211111,,1.0
1125,336111,,1.0
1129,211111,,1.0
2013,311712,,1.0
2016,311711,,1.0
2090,324110,,2.0
2122,211111,,8.0
2185,211111,,2.0
2188,212231,,1.0
4003,325311,,1.0
4007,331411,,2.0
4009,111419,,1.0
4011,212234,,1.0
4013,311514,,1.0
4013,331111,,1.0
4013,334413,,1.0
4019,327310,,1.0
4025,327310,,1.0
4025,327410,,1.0
5001,311222,,1.0
5003,322110,,1.0
5003,325211,,1.0
5007,336399,,1.0
5023,213112,,4.0
5029,213112,,6.0
5029,322130,,1.0
5031,327213,,1.0
5033,311421,,1.0
5041,322130,,1.0
5059,331315,,1.0
5063,325199,,1.0
5063,327410,,1.0
5067,331221,,1.0
5069,322121,,2.0
5069,322224,,1.0
5073,211112,,1.0
5081,322121,,1.0
5081,327310,,1.0
5091,326211,,1.0
5093,331111,,2.0
5119,333120,,1.0
5125,327910,,1.0
5141,213112,,13.0
5145,211111,,1.0
5145,213112,,2.0
5145,486210,,1.0
6001,327213,,1.0
6001,331511,,1.0
6011,311421,,1.0
6013,324110,,4.0
6013,331221,,1.0
6019,211111,,2.0
6019,311421,,2.0
6019,311514,,1.0
6019,312130,,1.0
6019,325311,,1.0
6019,327211,,2.0
6025,311313,,1.0
6025,327420,,1.0
6029,211111,,22.0
6029,211112,,2.0
6029,212391,,1.0
6029,311421,,1.0
6029,311911,,1.0
6029,311919,,1.0
6029,311991,,1.0
6029,324110,,4.0
6029,327310,,2.0
6031,311421,,2.0
6031,311513,,1.0
6037,211111,,3.0
6037,312120,,2.0
6037,324110,,11.0
6037,324199,,1.0
6037,325188,,1.0
6037,325510,,1.0
6037,327213,,1.0
6037,331492,,2.0
6037,332112,,1.0
6039,327213,,1.0
6039,327993,,1.0
6047,311421,,3.0
6047,311513,,1.0
6047,311615,,1.0
6053,211111,,2.0
6053,327410,,1.0
6059,322121,,1.0
6059,325412,,1.0
6071,212391,,1.0
6071,322130,,1.0
6071,325120,,1.0
6071,327310,,4.0
6071,331111,,1.0
6071,331221,,1.0
6073,311999,,1.0
6073,333611,,1.0
6077,311230,,1.0
6077,311421,,1.0
6077,325193,,1.0
6077,327211,,1.0
6077,327213,,1.0
