SIC,Unit_Process,Temp_F,Heat_type,E_Btu,Temp_C
,Boiler,180,water,1339,82.22222222
28223,Heating,90,steam,478.1,32.22222222
,Heating,180,steam,1105.9,82.22222222
,Drying,180,fuel,14428,82.22222222
,Boiler,250,fuel,2264,121.1111111
,Boiler,250,steam,1584,121.1111111
28231,Evaporating,200,steam,13154,93.33333333
,Melting,160,steam,5238.4,71.11111111
,Evaporating,200,steam,7869.3,93.33333333
,Drying,120,fuel,2575.2,48.88888889
,Washing,150,water,984,65.55555556
,Boiler,250,fuel,46892,121.1111111
,Boiler,250,steam,32824,121.1111111
,Boiler,200,water,984,93.33333333
28241,Heating,250,steam,2677.4,121.1111111
,Drying,120,fuel,871.8,48.88888889
,Heating,465,fuel,2179.5,240.5555556
,Melting,320,fuel,1307.7,160
,Polymerizing,450,fuel,2397.6,232.2222222
,Melting,450,fuel,1525.6,232.2222222
,Drying,150,fuel,871.8,65.55555556
,Boiler,270,fuel,5848.5,132.2222222
,Boiler,270,steam,4093.9,132.2222222
28242,Drying,180,fuel,1756,82.22222222
,Melting,75,steam,4787.2,23.88888889
,Heating,540,fuel,7024,282.2222222
,Boiler,260,fuel,9766,126.6666667
,Boiler,260,steam,6836,126.6666667
28243,Heating,120,fuel,500,48.88888889
,Heating,180,water,2060,82.22222222
,Drying,200,fuel,8970.7,93.33333333
,Boiler,180,fuel,5064.1,82.22222222
,Boiler,180,water,3059.1,82.22222222
28244,Heating,450,steam,2400,232.2222222
,Evaporating,450,steam,1920,232.2222222
,Heating,550,steam,960,287.7777778
,Boiler,600,fuel,11117,315.5555556
,Boiler,600,steam,6336,315.5555556
,Boiler,250,space heat,334,121.1111111
28245,Melting,180,steam,175,82.22222222
,Heating,500,steam,997,260
,Concentrating,180,steam,4020,82.22222222
,Distilling,180,steam,95,82.22222222
,Drying,325,fuel,526,162.7777778
,Melting,425,steam,323,218.3333333
,Boiler,550,fuel,9987,287.7777778
,Boiler,250,steam,4644,121.1111111
,Boiler,550,steam,1348,287.7777778
,Boiler,250,space heat,500,121.1111111
28341,Drying,250,fuel,335.3,121.1111111
,Heating,250,steam,51.1,121.1111111
,Sterilizing,230,steam,152.2,110
,Sterilizing,230,steam,152.2,110
,Sterilizing,230,steam,101,110
,Boiler,250,fuel,581.5,121.1111111
,Boiler,250,steam,456.6,121.1111111
28651,Distilling,298,steam,510,147.7777778
,Drying,100,steam,350,37.77777778
,Distilling,375,steam,650,190.5555556
,Heating,320,steam,710,160
,Heating,1175,steam,9456.6,635
,Heating,1200,fuel,2150,648.8888889
,Heating,750,steam,6595,398.8888889
,Heating,200,steam,450,93.33333333
,Heating,280,steam,140,137.7777778
,Distilling,200,steam,750,93.33333333
,Boiler,,fuel,14360,-17.77777778
,Boiler,230,steam,2650,110
,Boiler,300,steam,140,148.8888889
,Boiler,320,steam,835,160
,Boiler,350,steam,7655,176.6666667
,Boiler,400,steam,650,204.4444444
28691,Heating,1600,fuel,8650,871.1111111
,Heating,140,steam,253,60
,Separating,275,steam,675,135
,Boiler,,fuel,1415,-17.77777778
,Boiler,300,steam,1183,148.8888889
,Heating,350,steam,508,176.6666667
28692,Heating,250,steam,400,121.1111111
,Reforming,1450,fuel,5200,787.7777778
,Distilling,180,steam,175,82.22222222
,Distilling,200,steam,1170,93.33333333
2873,Reforming,1500,fuel,4900,815.5555556
,Reforming,1500,steam,2397,815.5555556
,Heating,425,fuel,175,218.3333333
28744,Drying,195,fuel,499999.9,90.55555556
28743,Drying,180,fuel,150,82.22222222
,Drying,180,fuel,350,82.22222222
28742,Sintering,2300,fuel,8036,1260
30691,Molding,250,fuel,651.5,121.1111111
,Other,300,fuel,651.5,148.8888889
,Casting,300,fuel,651.5,148.8888889
,Heating,350,steam,314,176.6666667
,Heating,375,steam,314,190.5555556
,Boiler,470,fuel,897,243.3333333
,Boiler,470,steam,628,243.3333333
32111,Melting,2900,fuel,4400,1593.333333
,Refining,1500,fuel,185,815.5555556
,Annealing,1100,fuel,200,593.3333333
,Heating,1600,fuel,640,871.1111111
,Heating,1100,fuel,95,593.3333333
,Heating,300,fuel,45,148.8888889
32211,Melting,2800,fuel,4400,1537.777778
,Refining,2300,fuel,185,1260
,Heating,1740,fuel,450,948.8888889
,Annealing,1200,fuel,600,648.8888889
32291,Melting,2900,fuel,4400,1593.333333
,Refining,1500,fuel,185,815.5555556
,Heating,1500,fuel,610,815.5555556
,Annealing,1100,fuel,685,593.3333333
,Drying,280,fuel,165,137.7777778
32411,Calcining,2700,fuel,1650.2,1482.222222
,Drying,325,fuel,270,162.7777778
,Calcining,2700,fuel,1050,1482.222222
32511,Drying,600,fuel,29,315.5555556
,Heating,2100,fuel,2300,1148.888889
32741,Calcining,2650,fuel,2800,1454.444444
32751,Calcining,340,fuel,475,171.1111111
,Drying,440,fuel,750,226.6666667
32961,Melting,2900,fuel,4400,1593.333333
,Heating,200,steam,1870,93.33333333
,Curing,500,fuel,2010,260
,Boiler,320,fuel,2495,160
,Boiler,320,steam,1870,160
33121,Coking,2600,fuel,888.1,1426.666667
,Coking,350,steam,150,176.6666667
,Sintering,2500,fuel,380.1,1371.111111
,Pelletizing,2400,fuel,222.3,1315.555556
,Melting,2600,fuel,325,1426.666667
,Melting,1600,fuel,860,871.1111111
,Heating,2400,fuel,750,1315.555556
,Annealing,1400,fuel,320,760
,Annealing,320,steam,125,160
,Heating,2400,fuel,500,1315.555556
,Heating,2400,fuel,435,1315.555556
,Boiler,800,fuel,670,426.6666667
33131,Drying,400,fuel,340,204.4444444
,Heating,1500,fuel,1300,815.5555556
33211,Melting,2900,fuel,2530,1593.333333
,Baking,420,fuel,650,215.5555556
,Drying,550,fuel,1950,287.7777778
,Heating,1000,fuel,210,537.7777778
,Other,300,fuel,3000,148.8888889
33311,Melting,2200,fuel,11750,1204.444444
,Baking,2200,fuel,1750,1204.444444
,Refining,140,steam,150,60
,Melting,2200,fuel,1500,1204.444444
33341,Baking,2200,fuel,1300,1204.444444
33411,Drying,1000,fuel,450,537.7777778
,Melting,1000,fuel,192.5,537.7777778
,Smelting,1460,fuel,870,793.3333333
,Heating,500,fuel,75,260
33412,Melting,600,fuel,50,315.5555556
,Melting,1300,fuel,15.5,704.4444444
,Melting,1500,fuel,125,815.5555556
,Melting,2100,fuel,182,1148.888889
,Heating,400,fuel,75.5,204.4444444
33413,Melting,1000,fuel,142.5,537.7777778
,Melting,1000,fuel,470,537.7777778
,Melting,2300,fuel,1400,1260
,Heating,300,fuel,42.5,148.8888889
33414,Melting,1000,fuel,54,537.7777778
,Drying,1000,fuel,49.5,537.7777778
,Burning,1000,fuel,115,537.7777778
,Melting,2000,fuel,195.5,1093.333333
,Melting,2400,fuel,415,1315.555556
,Refining,2050,fuel,295,1121.111111
,Melting,2050,fuel,334,1121.111111
33531,Melting,2360,fuel,2410,1293.333333
,Heating,1000,fuel,1300,537.7777778
,Annealing,800,fuel,1020,426.6666667
34621,Heating,2400,fuel,4500,1315.555556
,Forging,2400,fuel,700,1315.555556
,Heating,1600,fuel,8000,871.1111111
35231,Heating,1350,fuel,1273.6,732.2222222
,Cleaning,75,steam,290.7,23.88888889
,Drying,165,steam,873,73.88888889
,Boiler,320,fuel,2904,160
,Boiler,320,space heat,1206.4,160
,Boiler,320,steam,1163.7,160
35311,Heating,300,fuel,226.8,148.8888889
,Heating,1350,fuel,1010.8,732.2222222
,Cleaning,75,steam,235.4,23.88888889
,Drying,165,steam,705.2,73.88888889
,Boiler,320,fuel,2339,160
,Boiler,320,steam,940.6,160
,Boiler,250,space heat,978.4,121.1111111
37111,Cleaning,100,steam,582,37.77777778
,Drying,180,fuel,411,82.22222222
,Drying,300,fuel,1513,148.8888889
,Washing,90,water,151,32.22222222
,Washing,75,water,151,23.88888889
,Boiler,350,steam,582,176.6666667
,Boiler,120,water,302,48.88888889
,Boiler,350,fuel,1264,176.6666667
37141,Melting,2900,fuel,1500,1593.333333
,Heating,1000,fuel,255,537.7777778
,Drying,180,fuel,1000,82.22222222
