MECS_NAICS,MECS_FT,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating
31,Net_electricity,0.0,0.012692307692307692,0.0,0.06769230769230769,0.095,0.06538461538461539,0.4819230769230769,0.005,0.02,0.004230769230769231,0.025384615384615384,0.0726923076923077,0.13153846153846155
31,Residual_fuel_oil,0.3333333333333333,0.36666666666666664,0.0003333333333333333,0.0,0.0003333333333333333,0.0,0.0003333333333333333,0.0,0.0003333333333333333,0.0003333333333333333,0.0003333333333333333,0.0003333333333333333,0.23333333333333334
31,Diesel,0.09090909090909091,0.04040404040404041,0.030303030303030304,0.0,0.04040404040404041,0.0,0.13131313131313133,0.3939393939393939,0.020202020202020204,0.1111111111111111,0.08080808080808081,0.00010101010101010101,0.050505050505050504
31,Natural_gas,0.26442471833390235,0.12905428473881872,0.0020484807101399795,0.0,0.06299078183680437,0.0,0.027654489586889725,0.0003414134516899966,0.00699897575964493,0.0013656538067599864,0.029532263571184703,0.004609081597814954,0.44213041993854557
31,LPG_NGL,0.03571428571428571,0.047619047619047616,0.00011904761904761905,0.0,0.08333333333333333,0.0,0.03571428571428571,0.23809523809523808,0.00011904761904761905,0.00011904761904761905,0.03571428571428571,0.00011904761904761905,0.44047619047619047
31,Coal,0.44329896907216493,0.061855670103092786,0.002577319587628866,0.0,0.003865979381443299,0.0,0.001288659793814433,0.0,1.288659793814433e-05,1.288659793814433e-05,0.02190721649484536,0.0,0.36082474226804123
31,Other,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Coke_and_breeze,0.44329896907216493,0.061855670103092786,0.002577319587628866,0.0,0.003865979381443299,0.0,0.001288659793814433,0.0,1.288659793814433e-05,1.288659793814433e-05,0.02190721649484536,0.0,0.36082474226804123
311,Net_electricity,0.0,0.02834008097165992,0.0,0.004048582995951417,0.08097165991902834,0.0728744939271255,0.4291497975708502,0.008097165991902834,0.020242914979757085,4.048582995951417e-05,0.020242914979757085,0.26720647773279355,0.044534412955465584
311,Residual_fuel_oil,0.25,0.5,0.0,0.0,0.0025,0.0,0.005,0.0,0.0025,0.0,0.0,0.005,0.005
311,Diesel,0.15,0.05,0.1,0.0,0.05,0.0,0.05,0.25,0.05,0.15,0.099,0.0005,0.0005
311,Natural_gas,0.32105263157894737,0.2578947368421053,1.7543859649122806e-05,0.0,0.05789473684210526,0.0,0.007017543859649123,1.7543859649122806e-05,0.02631578947368421,0.0017543859649122807,0.01929824561403509,0.005263157894736842,0.28421052631578947
311,LPG_NGL,0.16666666666666666,0.16666666666666666,0.0016666666666666668,0.0,0.16666666666666666,0.0,0.0016666666666666668,0.16666666666666666,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.16666666666666666
311,Coal,0.5636363636363636,0.10909090909090909,0.0,0.0,9.090909090909092e-05,0.0,0.0,0.0,9.090909090909092e-05,0.0,0.0,0.0,0.12727272727272726
311,Other,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Coke_and_breeze,0.5636363636363636,0.10909090909090909,0.0,0.0,9.090909090909092e-05,0.0,0.0,0.0,9.090909090909092e-05,0.0,0.0,0.0,0.12727272727272726
3112,Net_electricity,0.0,0.04,0.0,0.0002,0.04,0.04,0.72,0.0002,0.0002,0.0002,0.0002,0.1,0.02
3112,Residual_fuel_oil,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
3112,Diesel,0.01,0.01,0.01,0.0,0.01,0.0,0.01,1.0,0.01,0.01,0.01,0.01,0.01
3112,Natural_gas,0.2706766917293233,0.37593984962406013,7.518796992481203e-05,0.0,0.022556390977443608,0.0,0.007518796992481203,7.518796992481203e-05,0.007518796992481203,7.518796992481203e-05,0.03759398496240601,0.015037593984962405,0.2631578947368421
3112,LPG_NGL,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
3112,Coal,0.46153846153846156,0.18461538461538463,0.0,0.0,0.00015384615384615385,0.0,0.0,0.0,0.00015384615384615385,0.0,0.0,0.0,0.015384615384615385
3112,Other,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3112,Coke_and_breeze,0.46153846153846156,0.18461538461538463,0.0,0.0,0.00015384615384615385,0.0,0.0,0.0,0.00015384615384615385,0.0,0.0,0.0,0.015384615384615385
311221,Net_electricity,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.7272727272727273,0.00045454545454545455,0.00045454545454545455,0.0,0.00045454545454545455,0.13636363636363635,0.00045454545454545455
311221,Residual_fuel_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311221,Diesel,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
311221,Natural_gas,0.2916666666666667,0.375,0.0,0.0,0.020833333333333332,0.0,0.00020833333333333335,0.00020833333333333335,0.00020833333333333335,0.0,0.00020833333333333335,0.00020833333333333335,0.3125
311221,LPG_NGL,0.0,0.0,0.16666666666666669,0.0,0.16666666666666669,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.16666666666666669
311221,Coal,0.41818181818181815,0.16363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
311221,Other,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311221,Coke_and_breeze,0.41818181818181815,0.16363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
31131,Net_electricity,0.0,0.0025,0.0,0.0025,0.05,0.05,0.75,0.05,0.05,0.05,0.0,0.0025,0.0025
31131,Residual_fuel_oil,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0
31131,Diesel,0.5,0.0,0.0,0.0,0.0,0.0,0.005,0.5,0.0,0.005,0.0,0.0,0.0
31131,Natural_gas,0.5,0.1875,0.0,0.0,0.000625,0.0,0.0,0.0,0.000625,0.0,0.000625,0.0,0.3125
31131,LPG_NGL,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
31131,Coal,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28888888888888886
31131,Other,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31131,Coke_and_breeze,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28888888888888886
3114,Net_electricity,0.0,0.030303030303030304,0.0,0.00030303030303030303,0.09090909090909091,0.06060606060606061,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.00030303030303030303,0.00030303030303030303,0.3939393939393939,0.06060606060606061
