Fraction,Heat_type,TN_Match,Temp_C
0.25,boiler,31122.0,72.924475
0.25,fuel,31122.0,67.0825
0.25,boiler,31131.0,67.2631
0.25,fuel,31131.0,236.64985
0.25,boiler,31142.0,66.08435595238096
0.25,boiler,31151.0,48.477925
0.25,fuel,31151.0,41.3515
0.25,boiler,31161.0,41.994225
0.25,fuel,31161.0,25.852
0.25,boiler,31181.0,98.40235
0.25,fuel,31181.0,116.5286
0.25,boiler,31194.0,72.5294
0.25,fuel,31194.0,100.0
0.25,boiler,31212.0,72.4189
0.25,fuel,31212.0,100.0
0.25,boiler,31321.0,77.0428125
0.25,fuel,31321.0,85.4765
0.25,boiler,31331.0,60.5698625
0.25,fuel,31331.0,92.3564
0.25,boiler,31332.0,184.0
0.25,fuel,31332.0,135.4144
0.25,boiler,31491.0,184.0
0.25,fuel,31491.0,135.4088
0.25,boiler,31528.0,184.0
0.25,fuel,31528.0,135.4704
0.25,boiler,31599.0,184.0
0.25,fuel,31599.0,135.6874
0.25,boiler,32192.0,189.8384
0.25,fuel,32192.0,177.0
0.25,boiler,32199.0,189.8726
0.25,fuel,32199.0,177.0
0.25,boiler,32211.0,64.21823333333333
0.25,fuel,32211.0,408.8314
0.25,boiler,32212.0,54.58558000000001
0.25,fuel,32212.0,358.2614
0.25,boiler,32213.0,58.100746666666666
0.25,fuel,32213.0,405.0192
0.25,boiler,32419.0,166.364375
0.25,fuel,32419.0,1141.03065
0.25,boiler,32511.0,97.910876875
0.25,fuel,32511.0,770.3278
0.25,boiler,32512.0,100.67588333333333
0.25,fuel,32512.0,793.1616125
0.25,boiler,32513.0,72.941025
0.25,fuel,32513.0,240.5391
0.25,boiler,32518.0,86.0252
0.25,fuel,32518.0,314.25562
0.25,boiler,32519.0,99.69935666666666
0.25,fuel,32519.0,785.029025
0.25,boiler,32521.0,59.98485
0.25,fuel,32521.0,118.6453
0.25,boiler,32522.0,82.91468166666668
0.25,fuel,32522.0,153.802
0.25,boiler,32531.0,816.0
0.25,fuel,32531.0,336.769125
0.25,boiler,32541.0,114.15415
0.25,fuel,32541.0,121.0
0.25,boiler,32599.0,84.0324
0.25,fuel,32599.0,333.5404
0.25,boiler,32619.0,184.0
0.25,fuel,32619.0,135.6118
0.25,boiler,32629.0,184.0
0.25,fuel,32629.0,135.5698
0.25,fuel,32712.0,630.186775
0.25,fuel,32721.0,637.4194666666667
0.25,fuel,32731.0,658.383425
0.25,fuel,32733.0,629.437075
0.25,fuel,32741.0,1454.0
0.25,fuel,32742.0,192.0938
