C_T3EQC3C8MONTHLYINPUTS.FACILITY_ID,C_T3EQC3C8MONTHLYINPUTS.REPORTING_YEAR,C_T3EQC3C8MONTHLYINPUTS.FACILITY_NAME,C_T3EQC3C8MONTHLYINPUTS.UNIT_NAME,C_T3EQC3C8MONTHLYINPUTS.FUEL_TYPE,C_T3EQC3C8MONTHLYINPUTS.CARBON_CONTENT,C_T3EQC3C8MONTHLYINPUTS.CARBON_CONTENT_UOM,C_T3EQC3C8MONTHLYINPUTS.FUEL_COMBUSTED,C_T3EQC3C8MONTHLYINPUTS.FUEL_COMBUSTED_UOM,C_T3EQC3C8MONTHLYINPUTS.HIGH_HEAT_VALUE,C_T3EQC3C8MONTHLYINPUTS.HIGH_HEAT_VALUE_UOM,C_T3EQC3C8MONTHLYINPUTS.MONTH
1006878,2015,American Crystal Sugar Company - Drayton,BL1,Subbituminous,0.520,percent by weight  expressed as a decimal fraction,0,short tons/month,,,May
1002172,2015,RAIN CII CARBON LLC,AA-001,Petroleum Coke,0.896,percent by weight  expressed as a decimal fraction,1087,short tons/month,,,May
1005645,2015,Rain CII CARBON LLC - GRAMERCY COKE PLANT,GRP 001  Kiln,Petroleum Coke,0.883,percent by weight  expressed as a decimal fraction,217.89,short tons/month,,,September
1001644,2015,METTIKI COAL  LLC,Thermal Dryer,Bituminous,0.7847,percent by weight  expressed as a decimal fraction,1201,short tons/month,,,February
1001644,2015,METTIKI COAL  LLC,Thermal Dryer,Bituminous,0.7938,percent by weight  expressed as a decimal fraction,850,short tons/month,,,November
1005132,2015,RAIN CII CARBON LLC/CHALMETTE COKE PLANT,UNF0001/Kiln 1,Petroleum Coke,0.875,percent by weight  expressed as a decimal fraction,172.89,short tons/month,,,August
1006024,2015,Duluth Steam One,GP-1,Subbituminous,0.3535,percent by weight  expressed as a decimal fraction,3564.5,short tons/month,,,January
1005645,2016,Rain CII CARBON LLC - GRAMERCY COKE PLANT,GRP 001  Kiln,Petroleum Coke,0,percent by weight  expressed as a decimal fraction,0,short tons/month,,,May
1005716,2016,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.896,percent by weight  expressed as a decimal fraction,0,short tons/month,,,January
1005716,2016,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.912,percent by weight  expressed as a decimal fraction,48.8,short tons/month,,,February
1001644,2016,METTIKI COAL  LLC,Thermal Dryer,Bituminous,0.8117,percent by weight  expressed as a decimal fraction,1020,short tons/month,,,December
1005716,2015,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.903,percent by weight  expressed as a decimal fraction,43.32,short tons/month,,,January
1005716,2015,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.803,percent by weight  expressed as a decimal fraction,47.16,short tons/month,,,August
1002172,2016,RAIN CII CARBON LLC,AA-001,Petroleum Coke,0.882,percent by weight  expressed as a decimal fraction,1229.7,short tons/month,,,April
1002172,2016,RAIN CII CARBON LLC,AA-001,Petroleum Coke,0.888,percent by weight  expressed as a decimal fraction,856.8,short tons/month,,,May
1006024,2016,Duluth Steam One,GP-1,Subbituminous,0.3593,percent by weight  expressed as a decimal fraction,3545,short tons/month,,,November
