,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,MONTH,MASS_OF_STEAM,MASS_OF_STEAM_UOM,BOILER_RATIO_B,BOILER_HEAT_UOM
0,1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),April,0.0,pounds steam,0.00160681,mmBtu/pounds steam
1,1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),July,0.0,pounds steam,0.00160681,mmBtu/pounds steam
2,1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),September,79758.0,pounds steam,0.00160681,mmBtu/pounds steam
3,1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),October,13531.0,pounds steam,0.00160681,mmBtu/pounds steam
4,1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),November,0.0,pounds steam,0.00160681,mmBtu/pounds steam
5,1006774,2015,Red Wing Plant,EU 001,Municipal Solid Waste,April,72542768.0,pounds steam,0.00160681,mmBtu/pounds steam
6,1006774,2015,Red Wing Plant,EU 001,Municipal Solid Waste,September,55017420.0,pounds steam,0.00160681,mmBtu/pounds steam
7,1006774,2015,Red Wing Plant,EU 002,Wood and Wood Residuals (dry basis),February,0.0,pounds steam,0.00160681,mmBtu/pounds steam
8,1006008,2015,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,July,0.0,pounds steam,0.00215,mmBtu/pounds steam
9,1006008,2015,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,September,0.0,pounds steam,0.00215,mmBtu/pounds steam
10,1006008,2015,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,December,96631000.0,pounds steam,0.00215,mmBtu/pounds steam
11,1006008,2015,CLEWISTON SUGAR HOUSE,EU 014 - Boiler No. 7,Agricultural Byproducts,March,205143000.0,pounds steam,0.0021100000000000003,mmBtu/pounds steam
12,1006008,2015,CLEWISTON SUGAR HOUSE,EU 028 - Boiler No. 8,Agricultural Byproducts,October,372497000.0,pounds steam,0.00187,mmBtu/pounds steam
13,1006008,2015,CLEWISTON SUGAR HOUSE,EU 002 - Boiler No. 2,Agricultural Byproducts,February,88185000.0,pounds steam,0.00215,mmBtu/pounds steam
14,1006008,2015,CLEWISTON SUGAR HOUSE,EU 002 - Boiler No. 2,Agricultural Byproducts,November,95915000.0,pounds steam,0.00215,mmBtu/pounds steam
15,1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,October,21171113.1,pounds steam,0.0012026,mmBtu/pounds steam
16,1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,November,21171113.1,pounds steam,0.0012026,mmBtu/pounds steam
17,1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,January,10275513.4,pounds steam,0.001389,mmBtu/pounds steam
18,1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,February,10275513.4,pounds steam,0.001389,mmBtu/pounds steam
19,1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,November,10275513.4,pounds steam,0.001389,mmBtu/pounds steam
20,1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,November,10559612.3,pounds steam,0.001389,mmBtu/pounds steam
21,1000219,2015,French Island,1,Municipal Solid Waste,March,14155707.0,pounds steam,0.00164,mmBtu/pounds steam
22,1000219,2015,French Island,2,Wood and Wood Residuals (dry basis),June,20380529.0,pounds steam,0.00166333,mmBtu/pounds steam
23,1000219,2015,French Island,2,Wood and Wood Residuals (dry basis),November,19213788.0,pounds steam,0.00166333,mmBtu/pounds steam
24,1000219,2015,French Island,2,Municipal Solid Waste,July,15761090.0,pounds steam,0.00166333,mmBtu/pounds steam
25,1000219,2015,French Island,2,Municipal Solid Waste,September,15719028.0,pounds steam,0.00166333,mmBtu/pounds steam
26,1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),February,0.0,pounds steam,0.00160681,mmBtu/pounds steam
27,1001646,2015,COVANTA MARION  INC,MWC-1,Municipal Solid Waste,November,47394083.0,pounds steam,0.0016079999999999998,mmBtu/pounds steam
28,1001646,2015,COVANTA MARION  INC,MWC-2,Municipal Solid Waste,January,46398167.0,pounds steam,0.0016079999999999998,mmBtu/pounds steam
29,1001646,2015,COVANTA MARION  INC,MWC-2,Municipal Solid Waste,April,46398167.0,pounds steam,0.0016079999999999998,mmBtu/pounds steam
30,1001646,2015,COVANTA MARION  INC,MWC-2,Municipal Solid Waste,September,46398167.0,pounds steam,0.0016079999999999998,mmBtu/pounds steam
31,1004540,2015,Wheelabrator Lisbon Inc.,Unit 2,Municipal Solid Waste,April,47769417.0,pounds steam,0.0016300000000000002,mmBtu/pounds steam
32,1004540,2015,Wheelabrator Lisbon Inc.,Unit 1,Municipal Solid Waste,August,47768167.0,pounds steam,0.0016300000000000002,mmBtu/pounds steam
33,1004540,2015,Wheelabrator Lisbon Inc.,Unit 1,Municipal Solid Waste,September,47768167.0,pounds steam,0.0016300000000000002,mmBtu/pounds steam
34,1004540,2015,Wheelabrator Lisbon Inc.,Unit 1,Municipal Solid Waste,October,47768167.0,pounds steam,0.0016300000000000002,mmBtu/pounds steam
35,1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,A Boiler,Municipal Solid Waste,March,47448000.0,pounds steam,0.0013,mmBtu/pounds steam
36,1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,A Boiler,Municipal Solid Waste,August,53608200.0,pounds steam,0.0013,mmBtu/pounds steam
37,1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,B Boiler,Municipal Solid Waste,March,51386400.0,pounds steam,0.0013,mmBtu/pounds steam
38,1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,B Boiler,Municipal Solid Waste,July,51398000.0,pounds steam,0.0013,mmBtu/pounds steam
39,1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,B Boiler,Municipal Solid Waste,October,41790800.0,pounds steam,0.0013,mmBtu/pounds steam
40,1005171,2015,COVANTA RESOURCE RECOVERY FACILITY,GP-Combustors,Municipal Solid Waste,March,25420000.0,pounds steam,0.0016309999999999999,mmBtu/pounds steam
41,1005171,2015,COVANTA RESOURCE RECOVERY FACILITY,GP-Combustors,Municipal Solid Waste,June,0.0,pounds steam,0.0016309999999999999,mmBtu/pounds steam
42,1005172,2015,COVANTA BRISTOL  INC,GP-Combustors,Municipal Solid Waste,January,125729581.8,pounds steam,0.0016649999999999998,mmBtu/pounds steam
43,1005172,2015,COVANTA BRISTOL  INC,GP-Combustors,Municipal Solid Waste,December,125729581.8,pounds steam,0.0016649999999999998,mmBtu/pounds steam
44,1004963,2015,Covanta WBH,Unit 2,Municipal Solid Waste,March,60597500.0,pounds steam,0.0015890000000000001,mmBtu/pounds steam
45,1004963,2015,Covanta WBH,Unit 2,Municipal Solid Waste,November,60597500.0,pounds steam,0.0015890000000000001,mmBtu/pounds steam
46,1004963,2015,Covanta WBH,Unit 3,Municipal Solid Waste,January,64434333.0,pounds steam,0.0015890000000000001,mmBtu/pounds steam
47,1004963,2015,Covanta WBH,Unit 3,Municipal Solid Waste,December,64434333.0,pounds steam,0.0015890000000000001,mmBtu/pounds steam
48,1003410,2015,Key City/Wilmarth Plant,1,Municipal Solid Waste,September,43004124.0,pounds steam,0.00159027,mmBtu/pounds steam
49,1003410,2015,Key City/Wilmarth Plant,2,Municipal Solid Waste,September,53804078.0,pounds steam,0.00159027,mmBtu/pounds steam
50,1004969,2015,Wheelabrator Portsmouth Inc.,Unit 1,Municipal Solid Waste,August,91057916.67,pounds steam,0.00132,mmBtu/pounds steam
51,1004969,2015,Wheelabrator Portsmouth Inc.,Unit 1,Municipal Solid Waste,November,91057916.67,pounds steam,0.00132,mmBtu/pounds steam
52,1004969,2015,Wheelabrator Portsmouth Inc.,Unit 2,Municipal Solid Waste,August,93833083.33,pounds steam,0.00132,mmBtu/pounds steam
53,1004969,2015,Wheelabrator Portsmouth Inc.,Unit 2,Municipal Solid Waste,September,93833083.33,pounds steam,0.00132,mmBtu/pounds steam
54,1004969,2015,Wheelabrator Portsmouth Inc.,Unit 3,Municipal Solid Waste,February,91093500.0,pounds steam,0.00132,mmBtu/pounds steam
55,1004969,2015,Wheelabrator Portsmouth Inc.,Unit 3,Municipal Solid Waste,October,91093500.0,pounds steam,0.00132,mmBtu/pounds steam
56,1002744,2015,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,GP-Boilers 1 and 2,Municipal Solid Waste,October,125502287.65,pounds steam,0.00179,mmBtu/pounds steam
57,1002744,2015,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,GP-Boilers 1 and 2,Municipal Solid Waste,December,125502287.65,pounds steam,0.00179,mmBtu/pounds steam
58,1004279,2015,WHEELABRATOR GLOUCESTER COMPANY  L.P.,Unit 2,Municipal Solid Waste,February,42320083.0,pounds steam,0.00151,mmBtu/pounds steam
59,1004279,2015,WHEELABRATOR GLOUCESTER COMPANY  L.P.,Unit 2,Municipal Solid Waste,March,42320083.0,pounds steam,0.00151,mmBtu/pounds steam
60,1004279,2015,WHEELABRATOR GLOUCESTER COMPANY  L.P.,Unit 1,Municipal Solid Waste,January,43918583.0,pounds steam,0.00151,mmBtu/pounds steam
61,1004279,2015,WHEELABRATOR GLOUCESTER COMPANY  L.P.,Unit 1,Municipal Solid Waste,December,43918583.0,pounds steam,0.00151,mmBtu/pounds steam
62,1005528,2015,OLMSTED WASTE-TO-ENERGY FACILITY,GP-01,Municipal Solid Waste,September,62653083.0,pounds steam,0.0015584479999999998,mmBtu/pounds steam
63,1005528,2015,OLMSTED WASTE-TO-ENERGY FACILITY,GP-01,Municipal Solid Waste,October,62653083.0,pounds steam,0.0015584479999999998,mmBtu/pounds steam
64,1004865,2015,COVANTA SPRINGFIELD LLC,GP-Facility Stack,Municipal Solid Waste,May,61416840.0,pounds steam,0.001607717,mmBtu/pounds steam
65,1006369,2015,WHEELABRATOR CONCORD COMPANY LP,Unit 1,Municipal Solid Waste,September,46730500.0,pounds steam,0.00156,mmBtu/pounds steam
66,1006369,2015,WHEELABRATOR CONCORD COMPANY LP,Unit 1,Municipal Solid Waste,October,46730500.0,pounds steam,0.00156,mmBtu/pounds steam
67,1004968,2015,WHEELABRATOR HUDSON FALLS LLC,Unit 1,Municipal Solid Waste,September,41921000.0,pounds steam,0.00148,mmBtu/pounds steam
68,1004968,2015,WHEELABRATOR HUDSON FALLS LLC,Unit 1,Municipal Solid Waste,November,41921000.0,pounds steam,0.00148,mmBtu/pounds steam
69,1004968,2015,WHEELABRATOR HUDSON FALLS LLC,Unit 2,Municipal Solid Waste,October,40265417.0,pounds steam,0.00148,mmBtu/pounds steam
