,facility_id,facility_name,fuel_combusted,fuel_combusted_uom,fuel_type,high_heat_value,high_heat_value_uom,month,reporting_year,unit_name
0,1001575,Riverton,0,scf/month,Natural Gas (Weighted U.S. Average),0.0,mmBtu/scf,December,2015,GP-91011
1,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.137,mmBtu/gallon,January,2015,SJCC6
2,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.138,mmBtu/gallon,July,2015,SJCC6
3,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.138,mmBtu/gallon,August,2015,SJCC6
4,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.138,mmBtu/gallon,September,2015,SJCC6
5,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.137,mmBtu/gallon,October,2015,SJCC6
6,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.137,mmBtu/gallon,November,2015,SJCC6
7,1003649,PREPA San Juan Steam Power Plant,0,gallons/month,Distillate Fuel Oil No. 2,0.137,mmBtu/gallon,December,2015,SJCC6
8,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,June,2015,SEGS IV Auxiliary Heater
9,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001028,mmBtu/scf,July,2015,SEGS IV Auxiliary Heater
10,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,August,2015,SEGS IV Auxiliary Heater
11,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,February,2015,SEGS V Boiler
12,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.00102,mmBtu/scf,March,2015,SEGS V Boiler
13,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001026,mmBtu/scf,April,2015,SEGS V Boiler
14,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,October,2015,SEGS V Boiler
15,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,December,2015,SEGS V Boiler
16,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,February,2015,SEGS III Boiler
17,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.00102,mmBtu/scf,March,2015,SEGS III Boiler
18,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001026,mmBtu/scf,April,2015,SEGS III Boiler
19,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,October,2015,SEGS III Boiler
20,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,June,2015,SEGS III Auxiliary Heater
21,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001028,mmBtu/scf,July,2015,SEGS III Auxiliary Heater
22,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,August,2015,SEGS III Auxiliary Heater
23,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,February,2015,SEGS IV Boiler
24,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.00102,mmBtu/scf,March,2015,SEGS IV Boiler
25,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001026,mmBtu/scf,April,2015,SEGS IV Boiler
26,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,October,2015,SEGS IV Boiler
27,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,December,2015,SEGS IV Boiler
28,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,June,2015,SEGS V Auxiliary Heater
29,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001028,mmBtu/scf,July,2015,SEGS V Auxiliary Heater
30,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,August,2015,SEGS V Auxiliary Heater
31,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,September,2015,SEGS V Auxiliary Heater
32,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.00102,mmBtu/scf,March,2015,SEGS VI Boiler
33,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001026,mmBtu/scf,April,2015,SEGS VI Boiler
34,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,October,2015,SEGS VI Boiler
35,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001029,mmBtu/scf,November,2015,SEGS VI Boiler
36,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,June,2015,SEGS VII Auxiliary Heater
37,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001028,mmBtu/scf,July,2015,SEGS VII Auxiliary Heater
38,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,August,2015,SEGS VII Auxiliary Heater
39,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001024,mmBtu/scf,September,2015,SEGS VII Auxiliary Heater
40,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001026,mmBtu/scf,April,2015,SEGS VI Auxiliary Heater
41,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001027,mmBtu/scf,June,2015,SEGS VI Auxiliary Heater
42,1003617,Luz Solar Partners III - VII,0,scf/month,Natural Gas (Weighted U.S. Average),0.001028,mmBtu/scf,July,2015,SEGS VI Auxiliary Heater
