,FACILITY_ID,FACILITY_NAME,ADDRESS1,ADDRESS2,CITY,STATE,STATE_NAME,ZIP,COUNTY_FIPS,COUNTY,LATITUDE,LONGITUDE,YEAR,CEMS_USED,PARENT_COMPANY,ADDITIONAL_NAICS_CODES,COGENERATION_UNIT_EMISS_IND,PLANT_CODE_INDICATOR,PRIMARY_NAICS_CODE,SECONDARY_NAICS_CODE,EPA_VERIFIED
0,1000001,PSE Ferndale Generating Station,5105 LAKE TERRELL ROAD,,FERNDALE,WA,WASHINGTON,98248,53073,WHATCOM COUNTY,48.828707,-122.685533,2017,,PUGET SOUND ENERGY (100%),,N,Y,221112,,
1,1000002,Ardagh Glass Inc. (Dunkirk),524 E. CENTER STREET,,DUNKIRK,IN,INDIANA,47336,18075,JAY COUNTY,40.371053,-85.198134,2017,,ARDAGH GROUP (100%),,N,N,327213,,
2,1000003,Ardagh Glass Inc. (Henderson),620 Facet Road,,Henderson,NC,NORTH CAROLINA,27537,37181,VANCE COUNTY,36.291066,-78.391883,2017,,ARDAGH GROUP (100%),,N,N,327213,,
3,1000004,Ardagh Glass Inc. (Lincoln),1200 NORTH LOGAN STREET,,LINCOLN,IL,ILLINOIS,62656,17107,LOGAN COUNTY,40.157643,-89.353796,2017,,ARDAGH GROUP (100%),,N,N,327213,,
4,1000005,Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,,MADERA,CA,CALIFORNIA,93637,06039,MADERA COUNTY,36.92375,-120.10412,2017,,ARDAGH GROUP (100%),,N,N,327213,,
5,1000006,Ardagh Glass Inc. (Milford),1 NATIONAL STREET,,MILFORD,MA,MASSACHUSETTS,01757,25027,WORCESTER,42.127778,-71.510556,2017,,ARDAGH GROUP (100%),,N,N,327213,,
6,1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,,BERNALILLO,NM,NEW MEXICO,87004,35043,SANDOVAL,35.329352,-106.525777,2017,,EAGLE MATERIALS INC (100%),,N,Y,327420,,
7,1000010,SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,,MILTON,FL,FLORIDA,32583,12113,SANTA ROSA COUNTY,30.5804,-87.0621,2017,,SANTA ROSA BOARD OF COUNTY COMMISSIONERS (100%),,N,N,562212,,
8,1000011,Central Hudson Gas and Electric Corporation,284 South Avenue,,Poughkeepsie,NY,NEW YORK,12601,36027,DUTCHESS,41.690648,-73.931605,2017,,CENTRAL HUDSON GAS & ELECTRIC CORP (100%),221210,NA,N,221122,221121,
9,1000015,"TYSON FARMS, INC.",704 FACTORY STREET,,WILKESBORO,NC,NORTH CAROLINA,28697,37193,WILKES COUNTY,36.143889,-81.163333,2017,,TYSON FOODS INC (100%),,NA,N,311615,,
10,1000016,TYSON FARMS INCORPORATED HARMONY,501 SHEFFIELD ROAD,,HARMONY,NC,NORTH CAROLINA,28634,37097,IREDELL COUNTY,35.95458,-80.72108,2017,,TYSON FOODS INC (100%),,N,N,311613,,
11,1000017,BASF CORPORATION,3150 HWY JJ,,PALMYRA,MO,MISSOURI,63461,29127,MARION,39.834118,-91.436791,2017,,BASF CORP (100%),,N,N,325320,,
12,1000019,WESTERN SUGAR COMPANY,2100 E. OVERLAND DR.,,SCOTTSBLUFF,NE,NEBRASKA,69361,31157,SCOTTS BLUFF COUNTY,41.859603,-103.637032,2017,,WESTERN SUGAR COOPERATIVE (100%),,N,Y,311313,,
13,1000020,Ardagh Glass Inc. (Port Allegany),ONE GLASS PLACE,,PORT ALLEGANY,PA,PENNSYLVANIA,16743,42083,MCKEAN COUNTY,41.81787,-78.28699,2017,,ARDAGH GROUP (100%),,N,N,327213,,
14,1000021,Ardagh Glass Inc. (Ruston),4241 HIGHWAY 563,,SIMSBORO,LA,LOUISIANA,71275,22061,LINCOLN PARISH,32.546411,-92.763639,2017,,ARDAGH GROUP (100%),,N,N,327213,,
15,1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,4501 ATTWATER AVENUE,,TEXAS CITY,TX,TEXAS,77590,48167,GALVESTON,29.423189,-94.968849,2017,,ASHLAND INC (100%),,N,N,325199,,
16,1000023,Ardagh Glass Inc. (Sapulpa),1000 NORTH MISSION STREET,,SAPULPA,OK,OKLAHOMA,74066,40037,CREEK COUNTY,36.009924,-96.099233,2017,,ARDAGH GROUP (100%),,N,N,327213,,
17,1000024,Ardagh Glass Inc. (Seattle),5801 EAST MARGINAL WAY SOUTH,,SEATTLE,WA,WASHINGTON,98134,53033,KING COUNTY,47.55262,-122.33655,2017,,ARDAGH GROUP (100%),,N,N,327213,,
18,1000025,PLACID REFINING CO LLC - PORT ALLEN REFINERY,"1940 LA HWY 1, NORTH",,PORT ALLEN,LA,LOUISIANA,70767,22121,WEST BATON ROUGE PARISH,30.475803,-91.208107,2017,,PLACID REFINING CO LLC (100%),,N,N,324110,,
19,1000026,Ardagh Glass Inc. (Wilson),2201 FIRESTONE PARKWAY,,WILSON,NC,NORTH CAROLINA,27893,37195,WILSON COUNTY,35.7608,-77.8833,2017,,ARDAGH GROUP (100%),,N,N,327213,,
20,1000027,The Children\s Hospital of Philadelphia,34th Street and Civic Center Boulevard,,Philadelphia,PA,PENNSYLVANIA,19104,42101,PHILADELPHIA,39.94776,-75.19391,2017,,THE CHILDREN'S HOSPITAL OF PHILADELPHIA (100%),,N,Y,622110,,
21,1000028,Ardagh Glass Inc. (Pevely),1500 Ardagh Group Drive,,PEVELY,MO,MISSOURI,63070,29099,JEFFERSON COUNTY,38.295167,-90.400944,2017,,ARDAGH GROUP (100%),,N,N,327213,,
22,1000029,NUCOR STEEL SEATTLE INC,2424 SOUTHWEST ANDOVER STREET,,SEATTLE,WA,WASHINGTON,98106,53033,KING,47.569331,-122.367332,2017,,NUCOR CORP (100%),,N,N,331111,,
23,1000031,Northwest Regional Landfill,19401 W. Deer Valley Rd,,Surprise,AZ,ARIZONA,85387,04013,MARICOPA COUNTY,33.68202,-112.4701,2017,,WASTE MANAGEMENT INC (100%),,N,Y,562212,,
24,1000032,KRATON POLYMERS U S LLC,2419 State Route 618,,BELPRE,OH,OHIO,45714,39167,WASHINGTON COUNTY,39.281072,-81.637901,2017,,KRATON POLYMERS US LLC (100%),325991,N,N,325212,,
25,1000033,San Gabriel Cogeneration Facility,1507 Mount Vernon Ave.,,Pomona,CA,CALIFORNIA,91768,06037,LOS ANGELES,34.05845,-117.775114,2017,,ALTAGAS LTD (100%),,N,Y,221112,,
26,1000034,ADM MILLING COMPANY,1935 EAST EUCLID AVENUE,,DES MOINES,IA,IOWA,50313,19153,POLK COUNTY,41.626329,-93.583205,2017,,ARCHER DANIELS MIDLAND CO (100%),325199,N,N,311222,,
27,1000035,ANDERSONS MARATHON ETHANOL LLC,5728 E SEBRING WARNER RD,,GREENVILLE,OH,OHIO,45331,39037,DARKE,40.081111,-84.591667,2017,,THE ANDERSONS INC (50%); MARATHON PETROLEUM CO LP (25%); MARATHON PETROLEUM CO LP (25%),,N,N,325193,,
28,1000036,UNIVERSITY OF CINCINNATI,3000 Glendora Ave.,,CINCINNATI,OH,OHIO,45219,39061,HAMILTON COUNTY,39.13457,-84.50982,2017,,UNIVERSITY OF CINCINNATI (100%),,Y,Y,611310,,
29,1000037,TYSON FRESH MEATS INC,28424 38th Avenue North,,Hillsdale,IL,ILLINOIS,61257,17161,ROCK ISLAND COUNTY,41.551434,-90.225723,2017,,TYSON FOODS INC (100%),"316110,311613",N,N,311611,311612,
30,1000038,TYSON FRESH MEATS,13983 DODD ROAD,,WALLULA,WA,WASHINGTON,99363,53071,WALLA WALLA,46.131256,-118.910823,2017,,TYSON FOODS INC (100%),,N,N,311611,,
31,1000039,Alstom Grid LLC,One Power Lane,,Charleroi,PA,PENNSYLVANIA,15022,42125,WASHINGTON,40.124713,-79.930463,2017,,GENERAL ELECTRIC CO (50.1%); ALSTOM INC (49.9%),,N,Y,335313,,
32,1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",5200 Highway 35 & IBP Avenue,,DAKOTA CITY,NE,NEBRASKA,68731,31043,DAKOTA,42.425506,-96.416315,2017,,TYSON FOODS INC (100%),"311613,316110",N,N,311611,311612,
33,1000041,WISCONSIN PAPERBOARD CORP,1514 E THOMAS AVE,,MILWAUKEE,WI,WISCONSIN,53211,55079,MILWAUKEE COUNTY,43.06139,-87.89162,2017,,PAPERBOARD PARENT INC (100%),,N,N,322130,,
34,1000043,PRAXAIR Texas City Hydrogen Complex,"1720 GRANT AVE, GATE 16",,TEXAS CITY,TX,TEXAS,77590,48167,GALVESTON,29.365859,-94.936113,2017,,PRAXAIR INC (100%),,N,N,325120,,
35,1000045,TYSON POULTRY INC.-SEDALIA,19571 WHITFIELD RD,,SEDALIA,MO,MISSOURI,65301,29159,PETTIS,38.75087,-93.326088,2017,,TYSON FOODS INC (100%),,N,N,311615,,
36,1000046,BADLANDS SANITARY LANDFILL,31125 IRONWOOD AVENUE,,MORENO VALLEY,CA,CALIFORNIA,92555,06065,RIVERSIDE COUNTY,33.9541,-117.1168,2017,,COUNTY OF RIVERSIDE (100%),,N,Y,562212,,
37,1000047,PENOBSCOT ENERGY RECOVERY CO.,29 INDUSTRIAL WAY,,ORRINGTON,ME,MAINE,04474,23019,PENOBSCOT COUNTY,44.738333,-68.825833,2017,,"USA ENERGY GROUP, LLC (52.7%); PERC HOLDINGS LLC (24.3%); EQUITY CHARTER MUNICIPALITIES (23%)",,N,N,562213,,
38,1000048,"ALLISON TRANSMISSION, Inc.",One Allison Way,,INDIANAPOLIS,IN,INDIANA,46222,18097,MARION COUNTY,39.78039,-86.238893,2017,,ALLISON TRANSMISSION INC (100%),,N,N,336350,,
39,1000049,Lange,2900 LANGE ROAD,,RAPID CITY,SD,SOUTH DAKOTA,57702,46103,Pennington,44.1212,-103.2608,2017,,BLACK HILLS CORP (100%),,N,Y,221112,,
40,1000050,Wygen I,13151 HIGHWAY 51,,GILLETTE,WY,WYOMING,82718,56005,Campbell,44.2862,-105.3843,2017,,BLACK HILLS CORP (76.5%); MUNICIPAL ENERGY AGENCY OF NEBRASKA (23.5%),,N,Y,221112,,
41,1000051,"Mariposa Energy, LLC",4887 Bruns Road,,Byron,CA,CALIFORNIA,94514,06001,ALAMEDA,37.7965,-121.6049,2017,,MITSUBISHI CORP (AMERICAS) (100%),,N,Y,221112,,
42,1000052,Mesquite Generating Station,37625 W ELLIOT RD,,ARLINGTON,AZ,ARIZONA,85322,04013,Maricopa,33.3451,-112.8638,2017,,ARCLIGHT CAPITAL PARTNERS LLC (50%); SALT RIVER PROJECT (50%),,N,Y,221112,,
43,1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,1615 BRAESWOOD,,HOUSTON,TX,TEXAS,77030,48201,HARRIS,29.703682,-95.396186,2017,,TEXAS MEDICAL CENTER CENTRAL HEATING & COOLING SERVICES CORP (100%),221330,Y,N,221310,,
44,1000054,City of Tallahassee Natural Gas Utility,2602 Jackson Bluff Road,,Tallahassee,FL,FLORIDA,32304,12073,LEON COUNTY,30.438696,-84.332473,2017,,CITY OF TALLAHASSEE (100%),,N,N,221210,,
45,1000056,SPECIALTY MINERALS,260 COLUMBIA STREET,,ADAMS,MA,MASSACHUSETTS,01220,25003,BERKSHIRE COUNTY,42.6432,-73.1135,2017,,MINERALS TECHNOLOGIES INC (100%),,N,Y,327410,,
46,1000059,Tenaska Kiamichi Generating Station,4386 Old 69 Road,,KIOWA,OK,OKLAHOMA,74553,40121,Pittsburg,34.6831,-95.9349,2017,,TENASKA ENERGY INC (65%); ITOCHU INTERNATIONAL INC (35%),,N,Y,221112,,
47,1000060,Limon Generating Station,48303 STATE ROAD 71,,LIMON,CO,COLORADO,80828,08073,Lincoln,39.2038,-103.7005,2017,,TRI-STATE GENERATION & TRANSMISSION (100%),,N,Y,221112,,
48,1000062,MT JEWETT COMPLEX,149 Temple Drive,,KANE,PA,PENNSYLVANIA,16735,42083,MCKEAN,41.7,-78.48,2017,,KOCH INDUSTRIES INC (100%),,N,N,321219,,
49,1000063,CHIEF ETHANOL FUELS INC,4225 E SOUTH ST,,HASTINGS,NE,NEBRASKA,68901,31001,ADAMS COUNTY,40.585,-98.318889,2017,,CHIEF INDUSTRIES INC (100%),,N,Y,325193,,
50,1000064,LONE STAR GAS LIQUIDS,19430 BEECH AVENUE,,SHAFTER,CA,CALIFORNIA,93263,06029,KERN,35.447778,-119.26,2017,,PLAINS ALL AMERICAN GP LLC (100%),,N,N,211112,,
51,1000066,"INGOMAR PACKING COMPANY, LLC",9950 SOUTH INGOMAR GRADE,,LOS BANOS,CA,CALIFORNIA,93635,06047,MERCED COUNTY,37.07479,-120.877445,2017,,INGOMAR PACKING CO LLC (100%),,N,N,311421,,
52,1000068,Apex Generating Station,15555 APEX POWER PARKWAY,,LAS VEGAS,NV,NEVADA,89165,32003,Clark,36.4178,-114.9622,2017,,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY (100%),,N,Y,221112,,
53,1000069,"Wallingford Energy, LLC",115 JOHN ST,,WALLINGFORD,CT,CONNECTICUT,06460,09009,New Haven,41.4486,-72.8358,2017,,"LS POWER DEVELOPMENT, LLC (100%)",,N,Y,221112,,
54,1000070,High Desert Power Project,19000 PERIMETER RD/STE 102,,VICTORVILLE,CA,CALIFORNIA,92394,06071,San Bernardino,34.5953,-117.3647,2017,,MIDDLE RIVER POWER II LLC (100%),,N,Y,221112,,
55,1000071,York Energy Center,1055 Pikes Peak Road,,Delta,PA,PENNSYLVANIA,17314,42133,York,39.738,-76.3072,2017,,CALPINE CORP (100%),,N,Y,221112,,
56,1000074,"Escondido Energy Center, LLC",1968 DON LEE PLACE,,ESCONDIDO,CA,CALIFORNIA,92029,06073,San Diego,33.1261,-117.1172,2017,,WELLHEAD ELECTRIC CO (100%),,N,Y,221112,,
