,FACILITY_ID,REPORTING_YEAR,N2O_EMISSIONS_CO2E,TOTAL_ANNUAL_HEAT_INPUT,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,CH4_EMISSIONS_CO2E,OTHER_OR_BLEND_FUEL_TYPE
0,1000001,2014,91.4,3066625,PSE Ferndale Generating Station,CT-1A,Electricity Generator,Natural Gas (Weighted U.S. Average),,,76.7,
1,1000001,2014,92.6,3107051,PSE Ferndale Generating Station,CT-1B,Electricity Generator,Natural Gas (Weighted U.S. Average),,,77.7,
2,1000049,2014,1.2,40450,Lange,CT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1,
3,1000050,2014,4207.2,8823793,Wygen I,001,Electricity Generator,Subbituminous,,,220.6,
4,1000051,2014,7.7,257621.0,"Mariposa Energy, LLC",GT-4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,6.4,
5,1000051,2014,7.9,265746.8,"Mariposa Energy, LLC",GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,6.6,
6,1000051,2014,7.9,265683.1,"Mariposa Energy, LLC",GT-2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,6.6,
7,1000051,2014,7.8,262917.7,"Mariposa Energy, LLC",GT-3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,6.6,
8,1000052,2014,205.5,6894450,Mesquite Generating Station,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,172.4,
9,1000052,2014,362.6,12168249,Mesquite Generating Station,6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,304.2,
10,1000052,2014,203.5,6827646,Mesquite Generating Station,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,170.7,
11,1000052,2014,356,11945469,Mesquite Generating Station,5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,298.6,
12,1000057,2014,0,0,Tri-Center Naniwa Energy,CT4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
13,1000057,2014,0,0,Tri-Center Naniwa Energy,CT3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
14,1000057,2014,0,0,Tri-Center Naniwa Energy,CT5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
15,1000057,2014,0,0,Tri-Center Naniwa Energy,CT6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
16,1000059,2014,146.6,4919971.00,Tenaska Kiamichi Generating Station,CTGDB3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,123,
17,1000059,2014,174.3,5848266.0,Tenaska Kiamichi Generating Station,CTGDB2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,146.2,
18,1000059,2014,172.4,5784371.0,Tenaska Kiamichi Generating Station,CTGDB1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,144.6,
19,1000059,2014,143,4798080.00,Tenaska Kiamichi Generating Station,CTGDB4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,120,
20,1000060,2014,10.5,352006,Limon Generating Station,L2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,8.8,
21,1000060,2014,2.6,87451,Limon Generating Station,L1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.2,
22,1000060,2014,.3,1530,Limon Generating Station,L1,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
23,1000060,2014,.7,3881,Limon Generating Station,L2,Electricity Generator,Distillate Fuel Oil No. 2,,,.3,
24,1000061,2014,2.5,83747,Frank Knutson Station,BR1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.1,
25,1000061,2014,.4,2341,Frank Knutson Station,BR2,Electricity Generator,Distillate Fuel Oil No. 2,,,.2,
26,1000061,2014,2.9,98462,Frank Knutson Station,BR2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.5,
27,1000061,2014,.3,1600,Frank Knutson Station,BR1,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
28,1000065,2014,5.1,171202,CalPeak Power - Border LLC,GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,4.3,
29,1000067,2014,7.8,260558,Cuyamaca Energy Facility,GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,6.5,
30,1000068,2014,178.5,5988323,Apex Generating Station,CTG01,Electricity Generator,Natural Gas (Weighted U.S. Average),,,149.7,
31,1000068,2014,169.3,5681188,Apex Generating Station,CTG02,Electricity Generator,Natural Gas (Weighted U.S. Average),,,142,
32,1000069,2014,2.5,83056.3,"Wallingford Energy, LLC",CT05,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.1,
33,1000069,2014,3.1,103959.0,"Wallingford Energy, LLC",CT04,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.6,
34,1000069,2014,3.4,114836.9,"Wallingford Energy, LLC",CT01,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.9,
35,1000069,2014,2.6,88448.7,"Wallingford Energy, LLC",CT02,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.2,
36,1000069,2014,2.6,86515.9,"Wallingford Energy, LLC",CT03,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.2,
37,1000070,2014,307.4,10314491.00,High Desert Power Project,CTG3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,257.9,
38,1000070,2014,276.5,9279446.00,High Desert Power Project,CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,232,
39,1000070,2014,292.4,9812423,High Desert Power Project,CTG2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,245.3,
40,1000071,2014,4.5,25017.7,York Energy Center,1,Electricity Generator,Distillate Fuel Oil No. 2,,,1.9,
41,1000071,2014,203.6,6831381.5,York Energy Center,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,170.8,
42,1000071,2014,3.9,21595.5,York Energy Center,2,Electricity Generator,Distillate Fuel Oil No. 2,,,1.6,
43,1000071,2014,205,6877680.8,York Energy Center,3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,171.9,
44,1000071,2014,3.9,21853.2,York Energy Center,3,Electricity Generator,Distillate Fuel Oil No. 2,,,1.6,
45,1000071,2014,190.7,6399763.3,York Energy Center,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,160,
46,1000074,2014,5.8,193270,"Escondido Energy Center, LLC",CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,4.8,
47,1000075,2014,.3,9625,Chula Vista Energy Center,1A,Electricity Generator,Natural Gas (Weighted U.S. Average),,,.2,
48,1000075,2014,.3,9596,Chula Vista Energy Center,1B,Electricity Generator,Natural Gas (Weighted U.S. Average),,,.2,
49,1000076,2014,2.4,80721,Klamath Energy LLC,GT4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2,
50,1000076,2014,3.3,110403,Klamath Energy LLC,GT3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.8,
51,1000076,2014,2.4,80783,Klamath Energy LLC,GT2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2,
52,1000076,2014,3,100127,Klamath Energy LLC,GT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.5,
53,1000080,2014,3.7,123153,Creed Energy Center,UNIT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.1,
54,1000081,2014,3.8,126001,Lambie Energy Center,UNIT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.2,
55,1000082,2014,3.8,126261,Goose Haven Energy Center,UNIT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.2,
56,1000084,2014,20.4,113909.8,Seminole (136),1,Electricity Generator,Distillate Fuel Oil No. 2,,,8.5,
57,1000084,2014,18854.6,39544123.1,Seminole (136),1,Electricity Generator,Mixed (Electric Power sector),,,10874.6,
58,1000084,2014,21.3,118995.4,Seminole (136),2,Electricity Generator,Distillate Fuel Oil No. 2,,,8.9,
59,1000084,2014,17497.1,36696885.9,Seminole (136),2,Electricity Generator,Mixed (Electric Power sector),,,10091.6,
60,1000085,2014,1.3,43034,Hartwell Energy Facility,MAG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.1,
61,1000085,2014,6.8,38058,Hartwell Energy Facility,MAG1,Electricity Generator,Distillate Fuel Oil No. 2,,,2.9,
62,1000085,2014,12.1,67769,Hartwell Energy Facility,MAG2,Electricity Generator,Distillate Fuel Oil No. 2,,,5.1,
