,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,MONTH,CARBON_CONTENT,CARBON_CONTENT_UOM,FUEL_COMBUSTED,FUEL_COMBUSTED_UOM,HIGH_HEAT_VALUE,HIGH_HEAT_VALUE_UOM,MOLECULAR_WEIGHT,MOLECULAR_WEIGHT_UOM
0,1007844,2016,Paulsboro Refining Company LLC,FURF-2 B101 Heater,Fuel Gas,May,0.716,kg C per kg,28180580.0,scf/month,,,22.56,kg/kg-mole
1,1007844,2016,Paulsboro Refining Company LLC,FURF-2 B101 Heater,Fuel Gas,December,0.693,kg C per kg,28228439.0,scf/month,,,19.500999999999998,kg/kg-mole
2,1007844,2016,Paulsboro Refining Company LLC,PDA BB-1 Heater,Fuel Gas,August,0.716,kg C per kg,0.0,scf/month,,,22.72,kg/kg-mole
3,1007844,2016,Paulsboro Refining Company LLC,CHD-2 Heater,Fuel Gas,February,0.728,kg C per kg,7439475.0,scf/month,,,25.79,kg/kg-mole
4,1007844,2016,Paulsboro Refining Company LLC,CHD-2 Heater,Fuel Gas,August,0.6940000000000001,kg C per kg,8424621.0,scf/month,,,19.46,kg/kg-mole
5,1007844,2016,Paulsboro Refining Company LLC,CHD-2 Heater,Fuel Gas,September,0.6920000000000001,kg C per kg,7970393.0,scf/month,,,20.67,kg/kg-mole
6,1007844,2016,Paulsboro Refining Company LLC,MLDW Heater,Fuel Gas,July,0.701,kg C per kg,12521744.0,scf/month,,,21.78,kg/kg-mole
7,1007844,2016,Paulsboro Refining Company LLC,MLDW Heater,Fuel Gas,December,0.7140000000000001,kg C per kg,14551756.0,scf/month,,,22.737,kg/kg-mole
8,1007844,2016,Paulsboro Refining Company LLC,NHT Heater,Fuel Gas,February,0.691,kg C per kg,10552240.0,scf/month,,,9.98,kg/kg-mole
9,1007844,2016,Paulsboro Refining Company LLC,NHT Heater,Fuel Gas,March,0.631,kg C per kg,8618077.0,scf/month,,,9.55,kg/kg-mole
10,1007844,2016,Paulsboro Refining Company LLC,NHT Heater,Fuel Gas,October,0.6609999999999999,kg C per kg,9001314.0,scf/month,,,8.53,kg/kg-mole
11,1007844,2016,Paulsboro Refining Company LLC,NHT Heater,Fuel Gas,December,0.621,kg C per kg,10553247.0,scf/month,,,7.602,kg/kg-mole
12,1007844,2016,Paulsboro Refining Company LLC,Coker B-Heater,Fuel Gas,April,0.745,kg C per kg,37937471.0,scf/month,,,20.93,kg/kg-mole
13,1007322,2016,Delaware City Refinery,CP-Power Plant,Fuel Gas,April,0.72,kg C per kg,599600290.0,scf/month,,,19.68,kg/kg-mole
14,1007322,2016,Delaware City Refinery,CP-Power Plant,Fuel Gas,November,0.73,kg C per kg,590454410.0,scf/month,,,18.58,kg/kg-mole
15,1009080,2016,Valero Refining - New Orleans  L.L.C.,HTHC,Fuel Gas,January,0.75361,kg C per kg,6836860.0,scf/month,,,20.4236,kg/kg-mole
16,1009080,2016,Valero Refining - New Orleans  L.L.C.,HTHC,Fuel Gas,April,0.75361,kg C per kg,5729928.04,scf/month,,,20.4236,kg/kg-mole
17,1009080,2016,Valero Refining - New Orleans  L.L.C.,HTHC,Fuel Gas,June,0.75361,kg C per kg,8579822.94,scf/month,,,20.4236,kg/kg-mole
18,1009080,2016,Valero Refining - New Orleans  L.L.C.,HTHC,Fuel Gas,August,0.75361,kg C per kg,7851592.31,scf/month,,,20.4236,kg/kg-mole
19,1009080,2016,Valero Refining - New Orleans  L.L.C.,2004-10,Fuel Gas,August,0.72834,kg C per kg,14630680.8,scf/month,,,18.07381,kg/kg-mole
20,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-43,Fuel Gas,April,0.72821,kg C per kg,74432205.6,scf/month,,,17.964570000000002,kg/kg-mole
21,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-43,Fuel Gas,November,0.72821,kg C per kg,91107895.2,scf/month,,,17.964570000000002,kg/kg-mole
22,1009080,2016,Valero Refining - New Orleans  L.L.C.,2005-2,Fuel Gas,December,0.7248399999999999,kg C per kg,121917600.0,scf/month,,,18.08781,kg/kg-mole
23,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-29,Fuel Gas,August,0.7268100000000001,kg C per kg,8081659.23,scf/month,,,18.11104,kg/kg-mole
24,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-28,Fuel Gas,February,0.72513,kg C per kg,4678420.91,scf/month,,,18.06241,kg/kg-mole
25,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-28,Fuel Gas,May,0.72513,kg C per kg,4679217.53,scf/month,,,18.06241,kg/kg-mole
26,1009080,2016,Valero Refining - New Orleans  L.L.C.,DHT Feed Heaters,Fuel Gas,January,0.72415,kg C per kg,48003133.56,scf/month,,,18.0122,kg/kg-mole
27,1009080,2016,Valero Refining - New Orleans  L.L.C.,DHT Feed Heaters,Fuel Gas,February,0.72415,kg C per kg,47946224.49,scf/month,,,18.0122,kg/kg-mole
28,1009080,2016,Valero Refining - New Orleans  L.L.C.,DHT Feed Heaters,Fuel Gas,July,0.72415,kg C per kg,52832218.68,scf/month,,,18.0122,kg/kg-mole
29,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-CCR,Fuel Gas,January,0.718296754,kg C per kg,68656060.8,scf/month,,,19.18304874,kg/kg-mole
30,1009080,2016,Valero Refining - New Orleans  L.L.C.,HCU Heaters,Fuel Gas,December,0.7176013590000001,kg C per kg,71763435.37,scf/month,,,19.14264335,kg/kg-mole
31,1009080,2016,Valero Refining - New Orleans  L.L.C.,2005-1,Fuel Gas,January,0.725203026,kg C per kg,290354508.0,scf/month,,,18.07141384,kg/kg-mole
32,1009080,2016,Valero Refining - New Orleans  L.L.C.,Coker Heaters,Fuel Gas,February,0.72548,kg C per kg,168003063.12,scf/month,,,18.0859,kg/kg-mole
33,1009080,2016,Valero Refining - New Orleans  L.L.C.,Coker Heaters,Fuel Gas,October,0.72548,kg C per kg,207036050.647,scf/month,,,18.0859,kg/kg-mole
34,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-30,Fuel Gas,March,0.72577,kg C per kg,12141929.25,scf/month,,,18.07591,kg/kg-mole
35,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-30,Fuel Gas,May,0.72577,kg C per kg,12410678.23,scf/month,,,18.07591,kg/kg-mole
36,1009080,2016,Valero Refining - New Orleans  L.L.C.,94-30,Fuel Gas,July,0.72577,kg C per kg,12591826.85,scf/month,,,18.07591,kg/kg-mole
