,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,FUEL_TYPE,CARBON_CONTENT,CARBON_CONTENT_UOM,FUEL_COMBUSTED,FUEL_COMBUSTED_UOM,HIGH_HEAT_VALUE,HIGH_HEAT_VALUE_UOM,MONTH
0,1006015,2017,United States Pipe and Foundry Company  LLC,Cupola,Coal Coke,0.9179999999999999,percent by weight  expressed as a decimal fraction,2667.333,short tons/month,,,April
1,1006015,2017,United States Pipe and Foundry Company  LLC,Cupola,Coal Coke,0.917,percent by weight  expressed as a decimal fraction,2667.333,short tons/month,,,September
2,1005716,2017,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.8809999999999999,percent by weight  expressed as a decimal fraction,295.8,short tons/month,,,January
3,1005716,2017,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.8909999999999999,percent by weight  expressed as a decimal fraction,656.0,short tons/month,,,May
4,1005716,2017,Rain CII CARBON LLC - NORCO COKE PLANT,Kiln 1,Petroleum Coke,0.87,percent by weight  expressed as a decimal fraction,58.1,short tons/month,,,October
5,1005132,2017,RAIN CII CARBON LLC/CHALMETTE COKE PLANT,UNF0001/Kiln 1,Petroleum Coke,0.884,percent by weight  expressed as a decimal fraction,106.1,short tons/month,,,June
6,1005848,2017,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,EQT 0003 Kiln 2 Kiln Stack,Petroleum Coke,0.88,percent by weight  expressed as a decimal fraction,1615.4,short tons/month,,,May
7,1005848,2017,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,EQT 0003 Kiln 2 Kiln Stack,Petroleum Coke,0.8859999999999999,percent by weight  expressed as a decimal fraction,55.7,short tons/month,,,June
8,1005848,2017,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,EQT 0003 Kiln 2 Kiln Stack,Petroleum Coke,0.87,percent by weight  expressed as a decimal fraction,1462.7,short tons/month,,,October
9,1005848,2017,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,EQT 0002 Kiln 1 Kiln Stack,Petroleum Coke,0.883,percent by weight  expressed as a decimal fraction,1365.2,short tons/month,,,January
10,1005848,2017,Rain CII CARBON LLC - LAKE CHARLES CALCINING PLANT,EQT 0002 Kiln 1 Kiln Stack,Petroleum Coke,0.887,percent by weight  expressed as a decimal fraction,149.4,short tons/month,,,July
11,1000348,2017,Resolute FP US Inc. - Catawba Operations,08-2605,Tires,0.8285,percent by weight  expressed as a decimal fraction,34.0,short tons/month,,,April
12,1000348,2017,Resolute FP US Inc. - Catawba Operations,08-2605,Tires,0.8321,percent by weight  expressed as a decimal fraction,122.0,short tons/month,,,June
13,1000348,2017,Resolute FP US Inc. - Catawba Operations,08-2605,Tires,0.8656,percent by weight  expressed as a decimal fraction,76.0,short tons/month,,,November
14,1000348,2017,Resolute FP US Inc. - Catawba Operations,08-3705,Tires,0.8576,percent by weight  expressed as a decimal fraction,493.0,short tons/month,,,May
15,1006852,2017,Lake Road,EU-0050,Subbituminous,0.5207,percent by weight  expressed as a decimal fraction,9079.0,short tons/month,,,August
16,1006852,2017,Lake Road,EU-0050,Subbituminous,0.4882,percent by weight  expressed as a decimal fraction,2828.0,short tons/month,,,September
17,1005991,2017,Expera Specialty Solutions  LLC,B26,,0.759,percent by weight  expressed as a decimal fraction,7402.0,short tons/month,,,December
18,1005939,2017,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,Unit 02 Kiln 1,Petroleum Coke,0.902,percent by weight  expressed as a decimal fraction,1373.1,short tons/month,,,February
19,1005939,2017,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,Unit 02 Kiln 1,Petroleum Coke,0.9129999999999999,percent by weight  expressed as a decimal fraction,4868.6,short tons/month,,,March
20,1005939,2017,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,Unit 2 Kiln 2,Petroleum Coke,0.902,percent by weight  expressed as a decimal fraction,4027.1,short tons/month,,,July
21,1005939,2017,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,Unit 2 Kiln 2,Petroleum Coke,0.899,percent by weight  expressed as a decimal fraction,3854.8,short tons/month,,,August
22,1000183,2017,P H Glatfelter Company - Chillicothe Fac,B013,Tires,0.6829999999999999,percent by weight  expressed as a decimal fraction,856.0,short tons/month,,,June
23,1005707,2017,AMALGAMATED SUGAR CO LLC,S-B3,Bituminous,0.0,percent by weight  expressed as a decimal fraction,0.0,short tons/month,,,September
24,1005707,2017,AMALGAMATED SUGAR CO LLC,S-B3,Bituminous,0.0,percent by weight  expressed as a decimal fraction,0.0,short tons/month,,,December
25,1006878,2017,American Crystal Sugar Company - Drayton,BL1,Subbituminous,0.6,percent by weight  expressed as a decimal fraction,10967.0,short tons/month,,,March
