,FACILITY_ID,REPORTING_YEAR,N2O_EMISSIONS_CO2E,TOTAL_ANNUAL_HEAT_INPUT,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,CH4_EMISSIONS_CO2E,OTHER_OR_BLEND_FUEL_TYPE
0,1000001,2012,115.5,3725813,PSE Ferndale Generating Station,CT-1B,Electricity Generator,Natural Gas (Weighted U.S. Average),,,78.2,
1,1000001,2012,115.5,3725813,PSE Ferndale Generating Station,CT-1A,Electricity Generator,Natural Gas (Weighted U.S. Average),,,78.2,
2,1000049,2012,4.5,144010,Lange,CT1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3,
3,1000050,2012,4233.2,8534732,Wygen I,001,Electricity Generator,Subbituminous,,,179.1,
4,1000051,2012,1.5,49302,"Mariposa Energy, LLC",GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1,
5,1000051,2012,1.1,36753,"Mariposa Energy, LLC",GT-4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,.8,
6,1000051,2012,1.6,50485,"Mariposa Energy, LLC",GT-3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.1,
7,1000051,2012,1.4,45936,"Mariposa Energy, LLC",GT-2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1,
8,1000052,2012,296.1,9552244,Mesquite Generating Station,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,200.6,
9,1000052,2012,293,9450629,Mesquite Generating Station,1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,198.5,
10,1000052,2012,360,11611467,Mesquite Generating Station,6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,243.8,
11,1000052,2012,358,11549335,Mesquite Generating Station,5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,242.5,
12,1000057,2012,0,0,Tri-Center Naniwa Energy,CT3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
13,1000057,2012,0,0,Tri-Center Naniwa Energy,CT6,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
14,1000057,2012,0,0,Tri-Center Naniwa Energy,CT5,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
15,1000057,2012,0,0,Tri-Center Naniwa Energy,CT4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,0,
16,1000058,2012,3.9,125731.0,CalPeak Power - Vaca Dixon LLC,GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,2.6,
17,1000059,2012,249.1,8035366,Tenaska Kiamichi Generating Station,CTGDB1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,168.7,
18,1000059,2012,246.2,7941397,Tenaska Kiamichi Generating Station,CTGDB4,Electricity Generator,Natural Gas (Weighted U.S. Average),,,166.8,
19,1000059,2012,241.1,7776050,Tenaska Kiamichi Generating Station,CTGDB3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,163.3,
20,1000059,2012,259.7,8378985,Tenaska Kiamichi Generating Station,CTGDB2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,176,
21,1000060,2012,29.7,956764,Limon Generating Station,L2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,20.1,
22,1000060,2012,.7,3926,Limon Generating Station,L1,Electricity Generator,Distillate Fuel Oil No. 2,,,.2,
23,1000060,2012,24.3,785420,Limon Generating Station,L1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,16.5,
24,1000060,2012,1.9,10435,Limon Generating Station,L2,Electricity Generator,Distillate Fuel Oil No. 2,,,.7,
25,1000061,2012,2.4,78338,Frank Knutson Station,BR1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,1.6,
26,1000061,2012,.4,2233,Frank Knutson Station,BR2,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
27,1000061,2012,1.2,38981,Frank Knutson Station,BR2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,.8,
28,1000061,2012,.3,1555,Frank Knutson Station,BR1,Electricity Generator,Distillate Fuel Oil No. 2,,,.1,
29,1000065,2012,5.5,178796,CalPeak Power - Border LLC,GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.8,
30,1000067,2012,16.1,518705,Cuyamaca Energy Facility,GT-1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,10.9,
31,1000068,2012,154,4969019,Apex Generating Station,CTG02,Electricity Generator,Natural Gas (Weighted U.S. Average),,,104.3,
32,1000068,2012,145.4,4689658,Apex Generating Station,CTG01,Electricity Generator,Natural Gas (Weighted U.S. Average),,,98.5,
33,1000069,2012,6.5,210945.2,"Wallingford Energy, LLC",CT01,Electricity Generator,Natural Gas (Weighted U.S. Average),,,4.4,
34,1000069,2012,7.6,245854.4,"Wallingford Energy, LLC",CT02,Electricity Generator,Natural Gas (Weighted U.S. Average),,,5.2,
35,1000069,2012,5.7,183785.3,"Wallingford Energy, LLC",CT05,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.9,
36,1000069,2012,7.3,235384.1,"Wallingford Energy, LLC",CT04,Electricity Generator,Natural Gas (Weighted U.S. Average),,,4.9,
37,1000069,2012,5.7,185116.6,"Wallingford Energy, LLC",CT03,Electricity Generator,Natural Gas (Weighted U.S. Average),,,3.9,
38,1000070,2012,371.2,11975052,High Desert Power Project,CTG1,Electricity Generator,Natural Gas (Weighted U.S. Average),,,251.5,
39,1000070,2012,374.8,12089275,High Desert Power Project,CTG3,Electricity Generator,Natural Gas (Weighted U.S. Average),,,253.9,
40,1000070,2012,364.3,11753201,High Desert Power Project,CTG2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,246.8,
41,1000071,2012,271,8742206,York Energy Center,2,Electricity Generator,Natural Gas (Weighted U.S. Average),,,183.6,
42,1000071,2012,0,0,York Energy Center,2,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
43,1000071,2012,0,0,York Energy Center,1,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
44,1000071,2012,0,0,York Energy Center,3,Electricity Generator,Distillate Fuel Oil No. 2,,,0,
