C_T2EQC2CMONTHLYINPUTS.FACILITY_ID,C_T2EQC2CMONTHLYINPUTS.REPORTING_YEAR,C_T2EQC2CMONTHLYINPUTS.FACILITY_NAME,C_T2EQC2CMONTHLYINPUTS.UNIT_NAME,C_T2EQC2CMONTHLYINPUTS.FUEL_TYPE,C_T2EQC2CMONTHLYINPUTS.MONTH,C_T2EQC2CMONTHLYINPUTS.MASS_OF_STEAM,C_T2EQC2CMONTHLYINPUTS.MASS_OF_STEAM_UOM,C_T2EQC2CMONTHLYINPUTS.BOILER_RATIO_B,C_T2EQC2CMONTHLYINPUTS.BOILER_HEAT_UOM
1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),April,0,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),July,0,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),September,79758,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),October,13531,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),November,0,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Municipal Solid Waste,April,72542768,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Municipal Solid Waste,September,55017420,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 002,Wood and Wood Residuals (dry basis),February,0,pounds steam,0.00160681,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,July,0,pounds steam,0.00215,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,September,0,pounds steam,0.00215,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,December,96631000,pounds steam,0.00215,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 014 - Boiler No. 7,Agricultural Byproducts,March,205143000,pounds steam,0.00211,mmBtu/pounds steam
1003410,2014,Key City/Wilmarth Plant,2,Municipal Solid Waste,June,53457833,pounds steam,0.00159027,mmBtu/pounds steam
1007282,2014,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler A,Municipal Solid Waste,January,33848410,pounds steam,0.00122,mmBtu/pounds steam
1007282,2014,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler A,Municipal Solid Waste,March,35667790,pounds steam,0.00122,mmBtu/pounds steam
1007282,2014,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler B,Municipal Solid Waste,April,28057590,pounds steam,0.00122,mmBtu/pounds steam
1007282,2014,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler B,Municipal Solid Waste,October,24510760,pounds steam,0.00122,mmBtu/pounds steam
1007282,2014,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler B,Municipal Solid Waste,November,30415010,pounds steam,0.00122,mmBtu/pounds steam
1000219,2016,French Island,1,Wood and Wood Residuals (dry basis),May,21410203,pounds steam,0.00164,mmBtu/pounds steam
1000219,2016,French Island,1,Municipal Solid Waste,January,10779011.4,pounds steam,0.00164,mmBtu/pounds steam
1000219,2016,French Island,2,Wood and Wood Residuals (dry basis),June,22466491,pounds steam,0.00166333,mmBtu/pounds steam
1000219,2016,French Island,2,Wood and Wood Residuals (dry basis),October,23800280,pounds steam,0.00166333,mmBtu/pounds steam
1004475,2017,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,June,10003521.2,pounds steam,0.001389,mmBtu/pounds steam
1004475,2017,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,January,10368175.7,pounds steam,0.001389,mmBtu/pounds steam
1004475,2017,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,February,10368175.7,pounds steam,0.001389,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 028 - Boiler No. 8,Agricultural Byproducts,October,372497000,pounds steam,0.00187,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 002 - Boiler No. 2,Agricultural Byproducts,February,88185000,pounds steam,0.00215,mmBtu/pounds steam
1006008,2015,CLEWISTON SUGAR HOUSE,EU 002 - Boiler No. 2,Agricultural Byproducts,November,95915000,pounds steam,0.00215,mmBtu/pounds steam
1000219,2017,French Island,1,Wood and Wood Residuals (dry basis),January,23241946,pounds steam,0.00164,mmBtu/pounds steam
1000219,2017,French Island,1,Wood and Wood Residuals (dry basis),February,24940777,pounds steam,0.00164,mmBtu/pounds steam
1000219,2017,French Island,1,Wood and Wood Residuals (dry basis),October,22178561,pounds steam,0.00164,mmBtu/pounds steam
1000219,2017,French Island,1,Municipal Solid Waste,February,13539285,pounds steam,0.00164,mmBtu/pounds steam
1000219,2017,French Island,1,Municipal Solid Waste,July,16782985,pounds steam,0.00164,mmBtu/pounds steam
1000219,2017,French Island,2,Wood and Wood Residuals (dry basis),September,20899580,pounds steam,0.00166333,mmBtu/pounds steam
1000219,2017,French Island,2,Municipal Solid Waste,February,12012700,pounds steam,0.00166333,mmBtu/pounds steam
1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,October,21171113.1,pounds steam,0.0012026,mmBtu/pounds steam
1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,November,21171113.1,pounds steam,0.0012026,mmBtu/pounds steam
1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,January,10275513.4,pounds steam,0.001389,mmBtu/pounds steam
1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,February,10275513.4,pounds steam,0.001389,mmBtu/pounds steam
1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,November,10275513.4,pounds steam,0.001389,mmBtu/pounds steam
1004475,2015,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,November,10559612.3,pounds steam,0.001389,mmBtu/pounds steam
1000219,2015,French Island,1,Municipal Solid Waste,March,14155707,pounds steam,0.00164,mmBtu/pounds steam
1000219,2015,French Island,2,Wood and Wood Residuals (dry basis),June,20380529,pounds steam,0.00166333,mmBtu/pounds steam
1000219,2015,French Island,2,Wood and Wood Residuals (dry basis),November,19213788,pounds steam,0.00166333,mmBtu/pounds steam
1000219,2015,French Island,2,Municipal Solid Waste,July,15761090,pounds steam,0.00166333,mmBtu/pounds steam
1000219,2015,French Island,2,Municipal Solid Waste,September,15719028,pounds steam,0.00166333,mmBtu/pounds steam
1006774,2017,Red Wing Plant,EU 001,Municipal Solid Waste,August,74943281,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2017,Red Wing Plant,EU 001,Municipal Solid Waste,September,75772308,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2017,Red Wing Plant,EU 002,Municipal Solid Waste,January,63678733,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2017,Red Wing Plant,EU 002,Municipal Solid Waste,June,66418615,pounds steam,0.00160681,mmBtu/pounds steam
1007282,2017,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler A,Municipal Solid Waste,January,35324000,pounds steam,0.00122,mmBtu/pounds steam
1007282,2017,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler B,Municipal Solid Waste,May,27953000,pounds steam,0.00122,mmBtu/pounds steam
1007282,2017,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler B,Municipal Solid Waste,June,,,0.00122,mmBtu/pounds steam
1006774,2014,Red Wing Plant,EU 001,Municipal Solid Waste,March,0,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2014,Red Wing Plant,EU 001,Municipal Solid Waste,October,70186107,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2014,Red Wing Plant,EU 002,Municipal Solid Waste,August,41857277,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2014,Red Wing Plant,EU 002,Municipal Solid Waste,December,46050273,pounds steam,0.00160681,mmBtu/pounds steam
1003410,2014,Key City/Wilmarth Plant,1,Municipal Solid Waste,June,48826718,pounds steam,0.00159027,mmBtu/pounds steam
1003410,2014,Key City/Wilmarth Plant,1,Municipal Solid Waste,December,48070709,pounds steam,0.00159027,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,February,20763608.6,pounds steam,0.001203,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,October,20763608.6,pounds steam,0.001203,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,November,20763608.6,pounds steam,0.001203,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,June,9636685.5,pounds steam,0.001389,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,September,9636685.5,pounds steam,0.001389,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,March,10163782,pounds steam,0.001389,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,June,10163782,pounds steam,0.001389,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,July,10163782,pounds steam,0.001389,mmBtu/pounds steam
1004475,2014,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 2,Municipal Solid Waste,December,10163782,pounds steam,0.001389,mmBtu/pounds steam
1006774,2015,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),February,0,pounds steam,0.00160681,mmBtu/pounds steam
1005172,2014,COVANTA BRISTOL  INC,GP-Combustors,Municipal Solid Waste,November,103739500,pounds steam,0.001665,mmBtu/pounds steam
1000362,2014,CAMDEN CNTY RESOURCE RECOVERY ASSOC,GP-Facility Emissions,Municipal Solid Waste,May,145292200,pounds steam,0.00146,mmBtu/pounds steam
1000362,2014,CAMDEN CNTY RESOURCE RECOVERY ASSOC,GP-Facility Emissions,Municipal Solid Waste,July,178637700,pounds steam,0.00146,mmBtu/pounds steam
1005673,2014,REGIONAL WASTE SYSTEMS INCORPORATED,A Boiler,Municipal Solid Waste,April,24803400,pounds steam,0.0013,mmBtu/pounds steam
1001646,2015,COVANTA MARION  INC,MWC-1,Municipal Solid Waste,November,47394083,pounds steam,0.001608,mmBtu/pounds steam
1001646,2015,COVANTA MARION  INC,MWC-2,Municipal Solid Waste,January,46398167,pounds steam,0.001608,mmBtu/pounds steam
1001646,2015,COVANTA MARION  INC,MWC-2,Municipal Solid Waste,April,46398167,pounds steam,0.001608,mmBtu/pounds steam
1001646,2015,COVANTA MARION  INC,MWC-2,Municipal Solid Waste,September,46398167,pounds steam,0.001608,mmBtu/pounds steam
1004540,2015,Wheelabrator Lisbon Inc.,Unit 2,Municipal Solid Waste,April,47769417,pounds steam,0.00163,mmBtu/pounds steam
1004540,2015,Wheelabrator Lisbon Inc.,Unit 1,Municipal Solid Waste,August,47768167,pounds steam,0.00163,mmBtu/pounds steam
1004540,2015,Wheelabrator Lisbon Inc.,Unit 1,Municipal Solid Waste,September,47768167,pounds steam,0.00163,mmBtu/pounds steam
1004540,2015,Wheelabrator Lisbon Inc.,Unit 1,Municipal Solid Waste,October,47768167,pounds steam,0.00163,mmBtu/pounds steam
1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,A Boiler,Municipal Solid Waste,March,47448000,pounds steam,0.0013,mmBtu/pounds steam
1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,A Boiler,Municipal Solid Waste,August,53608200,pounds steam,0.0013,mmBtu/pounds steam
1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,B Boiler,Municipal Solid Waste,March,51386400,pounds steam,0.0013,mmBtu/pounds steam
1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,B Boiler,Municipal Solid Waste,July,51398000,pounds steam,0.0013,mmBtu/pounds steam
1005673,2015,REGIONAL WASTE SYSTEMS INCORPORATED,B Boiler,Municipal Solid Waste,October,41790800,pounds steam,0.0013,mmBtu/pounds steam
1005171,2015,COVANTA RESOURCE RECOVERY FACILITY,GP-Combustors,Municipal Solid Waste,March,25420000,pounds steam,0.001631,mmBtu/pounds steam
1005171,2015,COVANTA RESOURCE RECOVERY FACILITY,GP-Combustors,Municipal Solid Waste,June,0,pounds steam,0.001631,mmBtu/pounds steam
1005172,2015,COVANTA BRISTOL  INC,GP-Combustors,Municipal Solid Waste,January,125729581.8,pounds steam,0.001665,mmBtu/pounds steam
1005172,2015,COVANTA BRISTOL  INC,GP-Combustors,Municipal Solid Waste,December,125729581.8,pounds steam,0.001665,mmBtu/pounds steam
1004618,2017,BAY COUNTY WASTE - TO - ENERGY FACILITY,MWC Unit No. 1,Municipal Solid Waste,November,35742400,pounds steam,0.00141,mmBtu/pounds steam
1004618,2017,BAY COUNTY WASTE - TO - ENERGY FACILITY,MWC Unit No. 2,Municipal Solid Waste,November,43462700,pounds steam,0.00141,mmBtu/pounds steam
1006008,2017,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,March,111033290,pounds steam,0.00215,mmBtu/pounds steam
1006008,2017,CLEWISTON SUGAR HOUSE,EU 001 - Boiler No. 1,Agricultural Byproducts,October,48302300,pounds steam,0.00215,mmBtu/pounds steam
1006008,2017,CLEWISTON SUGAR HOUSE,EU 028 - Boiler No. 8,Agricultural Byproducts,June,0,pounds steam,0.00187,mmBtu/pounds steam
1006008,2017,CLEWISTON SUGAR HOUSE,EU 002 - Boiler No. 2,Agricultural Byproducts,March,103770500,pounds steam,0.00215,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),April,92681,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),June,41832,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 001,Wood and Wood Residuals (dry basis),November,193815,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 001,Municipal Solid Waste,June,70165265,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 001,Municipal Solid Waste,August,52342933,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 001,Municipal Solid Waste,November,66135279,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 002,Wood and Wood Residuals (dry basis),April,158889,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 002,Wood and Wood Residuals (dry basis),June,38605,pounds steam,0.00160681,mmBtu/pounds steam
1006774,2016,Red Wing Plant,EU 002,Municipal Solid Waste,May,58704263,pounds steam,0.00160681,mmBtu/pounds steam
1003410,2016,Key City/Wilmarth Plant,1,Municipal Solid Waste,January,10169603,pounds steam,0.00159027,mmBtu/pounds steam
1003410,2016,Key City/Wilmarth Plant,1,Municipal Solid Waste,August,59176702,pounds steam,0.00159027,mmBtu/pounds steam
1003410,2016,Key City/Wilmarth Plant,2,Municipal Solid Waste,July,67110598,pounds steam,0.00159027,mmBtu/pounds steam
1003410,2016,Key City/Wilmarth Plant,2,Municipal Solid Waste,August,56546992,pounds steam,0.00159027,mmBtu/pounds steam
1004475,2016,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,January,21468473.7,pounds steam,0.0012026,mmBtu/pounds steam
1004475,2016,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 3,Municipal Solid Waste,August,21468473.7,pounds steam,0.0012026,mmBtu/pounds steam
1004475,2016,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,April,9802784.6,pounds steam,0.001389,mmBtu/pounds steam
1004475,2016,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,July,9802784.6,pounds steam,0.001389,mmBtu/pounds steam
1004475,2016,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,November,9802784.6,pounds steam,0.001389,mmBtu/pounds steam
1004475,2016,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Unit 1,Municipal Solid Waste,December,9802784.6,pounds steam,0.001389,mmBtu/pounds steam
1002561,2017,SUSQUEHANNA RESOURCE MGMT COMPLEX,MWC Unit 1,Municipal Solid Waste,October,48941083,pounds steam,0.001685,mmBtu/pounds steam
1002561,2017,SUSQUEHANNA RESOURCE MGMT COMPLEX,MWC Unit 1,Municipal Solid Waste,December,48941083,pounds steam,0.001685,mmBtu/pounds steam
1002561,2017,SUSQUEHANNA RESOURCE MGMT COMPLEX,MWC Unit 2,Municipal Solid Waste,March,45667666,pounds steam,0.001685,mmBtu/pounds steam
1002561,2017,SUSQUEHANNA RESOURCE MGMT COMPLEX,MWC Unit 2,Municipal Solid Waste,August,45667666,pounds steam,0.001685,mmBtu/pounds steam
1002561,2017,SUSQUEHANNA RESOURCE MGMT COMPLEX,MWC Unit 3,Municipal Solid Waste,June,44954166,pounds steam,0.001685,mmBtu/pounds steam
1007282,2016,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Boiler A,Municipal Solid Waste,July,33564000,pounds steam,0.00122,mmBtu/pounds steam
