NAICS12,og_HT,Temp_C,%_Btu
311221,steam,52,0.0811965811965812
311221,steam,54,0.21367521367521367
311221,steam,66,0.042735042735042736
311221,steam,88,0.08547008547008547
311221,steam,93,0.32051282051282054
311221,steam,116,0.17094017094017094
311221,steam,121,0.08547008547008547
311224,steam,52,0.08973322554567502
311224,steam,71,0.22473726758286175
311224,steam,93,0.32336297493936944
311224,steam,102,0.33710590137429264
311224,steam,177,0.025060630557801132
311225,steam,52,0.08699231613611416
311225,steam,54,0.06860592755214051
311225,steam,66,0.013721185510428101
311225,steam,71,0.1525795828759605
311225,steam,88,0.027442371020856202
311225,steam,93,0.3224478594950604
311225,steam,102,0.22886937431394072
311225,steam,116,0.054884742041712405
311225,steam,121,0.027442371020856202
311225,steam,177,0.017014270032930844
311313,steam,66,0.006711409395973154
311313,steam,71,0.042953020134228186
311313,steam,82,0.1342281879194631
311313,steam,85,0.08053691275167785
311313,steam,93,0.6577181208053692
311313,water,71,0.07785234899328859
311314,steam,54,0.2563403653191993
311314,steam,60,0.6835734530499804
311314,steam,82,0.03017980567691373
311314,steam,85,0.029906375953906585
311421,steam,49,0.02937720329024677
311421,steam,71,0.07050528789659224
311421,steam,79,0.011750881316098707
311421,steam,88,0.023501762632197415
311421,steam,91,0.07050528789659224
311421,steam,93,0.10575793184488837
311421,steam,100,0.15276145710928318
311421,steam,116,0.04700352526439483
311421,steam,121,0.07638072855464159
311421,water,24,0.09165687426556991
311421,water,27,0.07638072855464159
311421,water,29,0.07638072855464159
311421,water,49,0.07638072855464159
311421,water,54,0.07638072855464159
311421,water,60,0.01527614571092832
311511,steam,73,0.6930232558139535
311511,steam,100,0.30697674418604654
311514,steam,73,0.6930232558139535
311514,steam,100,0.30697674418604654
311611,steam,24,0.03787053841500303
311611,steam,27,0.10090744101633395
311611,steam,93,0.8612220205686629
311812,steam,38,0.2571428571428571
311812,steam,121,0.5257142857142857
311812,steam,232,0.21714285714285714
311942,steam,100,0.2877738251263808
311942,water,52,0.17225238719340946
311942,water,63,0.491480996068152
311942,water,100,0.04849279161205766
312120,steam,100,0.2877738251263808
312120,water,52,0.17225238719340946
312120,water,63,0.491480996068152
312120,water,100,0.04849279161205766
313210,steam,60,0.146163215590743
313210,steam,82,0.07612667478684532
313210,steam,88,0.012180267965895249
313210,steam,93,0.16138855054811205
313210,steam,100,0.0730816077953715
313210,steam,116,0.438489646772229
313210,steam,121,0.08526187576126674
313210,water,35,0.007308160779537149
313310,steam,43,0.030959752321981424
313310,steam,71,0.26831785345717235
313310,steam,82,0.030959752321981424
313310,steam,88,0.07739938080495357
313310,steam,93,0.29411764705882354
313310,steam,100,0.1238390092879257
313310,steam,121,0.15479876160990713
313310,water,35,0.0196078431372549
313320,steam,177,0.5
313320,steam,191,0.5
314910,steam,177,0.5
314910,steam,191,0.5
315280,steam,177,0.5
315280,steam,191,0.5
315990,steam,177,0.5
315990,steam,191,0.5
321920,steam,188,0.30144167758846657
321920,steam,191,0.1651376146788991
321920,steam,193,0.5334207077326344
321999,steam,188,0.30144167758846657
321999,steam,191,0.1651376146788991
321999,steam,193,0.5334207077326344
322110,steam,29,0.18121821919290274
322110,steam,38,0.16228497241155468
322110,steam,66,0.20285621551444336
322110,steam,110,0.12203829925348912
322110,steam,116,0.16228497241155468
322110,steam,171,0.1693173212160554
322121,steam,29,0.1757083241818581
322121,steam,38,0.09412945938313827
322121,steam,60,0.006275297292209219
322121,steam,66,0.33729722945624546
322121,steam,110,0.13447962097204355
322121,steam,116,0.09412945938313827
322121,steam,171,0.15798060933136707
322122,steam,29,0.1757083241818581
322122,steam,38,0.09412945938313827
322122,steam,60,0.006275297292209219
322122,steam,66,0.33729722945624546
322122,steam,110,0.13447962097204355
322122,steam,116,0.09412945938313827
322122,steam,171,0.15798060933136707
322130,steam,29,0.1120363867429183
322130,steam,38,0.10033109260559847
322130,steam,60,0.007357613457743888
322130,steam,66,0.3595197485033945
322130,steam,110,0.14785458680311694
322130,steam,116,0.10033109260559847
322130,steam,171,0.17256947928162938
324110,steam,21,0.039313795568263046
324110,steam,24,0.30843459614010005
324110,steam,193,0.09899928520371694
324110,steam,204,0.02466047176554682
324110,steam,217,0.5285918513223731
324121,steam,163,1.0
324199,steam,160,0.45454545454545453
324199,steam,177,0.5454545454545454
325110,steam,38,0.015355861112817318
325110,steam,60,0.011100093890122233
325110,steam,82,0.007677930556408659
